34'拉拉纳前场右路得球内切左脚远射，球速不快但乔哈特倒地没有摸到球，球从右立柱内侧入网！                   34'利物浦第34分钟取得领先，米尔纳传球，拉拉纳30码处低射入右下死角
34'斯特林左路的断球，加速，科洛图雷抢断                   34'利物浦第34分钟取得领先，米尔纳传球，拉拉纳30码处低射入右下死角
35'米尔纳右路的传中，菲尔米诺跌入越位位置                   34'利物浦第34分钟取得领先，米尔纳传球，拉拉纳30码处低射入右下死角
36'阿圭罗右路的突破被克莱恩破坏出底线                   34'利物浦第34分钟取得领先，米尔纳传球，拉拉纳30码处低射入右下死角
36'纳瓦斯战术角球传中，高度不够被克莱恩解围出禁区                   34'利物浦第34分钟取得领先，米尔纳传球，拉拉纳30码处低射入右下死角
37'萨巴莱塔长传前场右路，洛夫伦转身解围                   34'利物浦第34分钟取得领先，米尔纳传球，拉拉纳30码处低射入右下死角
37'费尔南迪奥传给席尔瓦，直传                   34'利物浦第34分钟取得领先，米尔纳传球，拉拉纳30码处低射入右下死角
37'阿圭罗护球回传，萨巴莱塔交给席尔瓦                   34'利物浦第34分钟取得领先，米尔纳传球，拉拉纳30码处低射入右下死角
37'纳瓦斯下底传中被弗拉纳根头球顶出来                   34'利物浦第34分钟取得领先，米尔纳传球，拉拉纳30码处低射入右下死角
37'亨德森长传前场右路，奥塔门迪抢在奥里基之前将球控制                   34'利物浦第34分钟取得领先，米尔纳传球，拉拉纳30码处低射入右下死角
57'利物浦的进攻，好机会                   57'利物浦第57分钟锁定胜局，拉拉纳传球，菲尔米诺15码处推射右下角入网，3-0
57'菲尔米诺进球了！                   57'利物浦第57分钟锁定胜局，拉拉纳传球，菲尔米诺15码处推射右下角入网，3-0
57'此时此刻值得来杯嘉士伯！                   57'利物浦第57分钟锁定胜局，拉拉纳传球，菲尔米诺15码处推射右下角入网，3-0
58'亨德森中圈拿球直传，克里希挡一下，拉拉纳上抢将球带走突进到弧顶处横拔，菲尔米诺顺势推射球门右下角球进                   57'利物浦第57分钟锁定胜局，拉拉纳传球，菲尔米诺15码处推射右下角入网，3-0
59'奥里基护球往前传，拉拉纳强行突破没有成功                   57'利物浦第57分钟锁定胜局，拉拉纳传球，菲尔米诺15码处推射右下角入网，3-0
59'回复：博客用户480123  皮皮鲁加油！（谢谢支持）                   57'利物浦第57分钟锁定胜局，拉拉纳传球，菲尔米诺15码处推射右下角入网，3-0
60'奥里基右路下底传中，孔帕尼将球铲出禁区                   57'利物浦第57分钟锁定胜局，拉拉纳传球，菲尔米诺15码处推射右下角入网，3-0
60'米尔纳迎球远射，乔哈特跃起将球托出横梁                   57'利物浦第57分钟锁定胜局，拉拉纳传球，菲尔米诺15码处推射右下角入网，3-0
