4'马乔右路试图人球分过突破佩卢索，尤文后卫转身速度还是很快的卡住身位                   4'第4分钟，哈姆西克左路突至禁区角上左脚抽射高出
5'那不勒斯左路断球，又是哈姆西克禁区外左脚斜射高出球门                   4'第4分钟，哈姆西克左路突至禁区角上左脚抽射高出
5'尤文图斯中场倒脚，球迷嘘声还是比较大的                   4'第4分钟，哈姆西克左路突至禁区角上左脚抽射高出
6'圣保罗球场堪称意甲一个魔鬼主场                   4'第4分钟，哈姆西克左路突至禁区角上左脚抽射高出
6'利希施泰纳右路低平球传中被后卫解围出来                   4'第4分钟，哈姆西克左路突至禁区角上左脚抽射高出
6'边线球出来，还是利希施泰纳的传中送入德桑克蒂斯怀中                   4'第4分钟，哈姆西克左路突至禁区角上左脚抽射高出
7'这次佩卢索左路的传中还是被门将德桑克蒂斯把球拿到                   4'第4分钟，哈姆西克左路突至禁区角上左脚抽射高出
9'武齐尼奇和乔文科两个人都倒在场内                   9'尤文第9分钟取得领先
9'裁判吹了因勒对乔文科的犯规                   9'尤文第9分钟取得领先
9'皮尔洛禁区外的任意球，比较正                   9'尤文第9分钟取得领先
9'传到点球点，卡纳瓦罗把球顶出底线，角球                   9'尤文第9分钟取得领先
10'基耶里尼暴力头槌！！！！！进球了！！！！！！                   9'尤文第9分钟取得领先
11'皮尔洛的战术角球配合，左路晃开贝赫拉米后左路传中到后点，基耶里尼插上冲顶把球砸进球门！！！！                   9'尤文第9分钟取得领先
11'客场作战的尤文图斯1比0领先那不勒斯                   9'尤文第9分钟取得领先
12'尤文图斯等了基耶里尼这么长时间真是没有白等啊                   9'尤文第9分钟取得领先
11'皮尔洛的战术角球配合，左路晃开贝赫拉米后左路传中到后点，基耶里尼插上冲顶把球砸进球门！！！！                   11'第11分钟，坎帕尼亚罗右路传中，苏尼加后点距门9米处左脚被封堵
11'客场作战的尤文图斯1比0领先那不勒斯                   11'第11分钟，坎帕尼亚罗右路传中，苏尼加后点距门9米处左脚被封堵
12'尤文图斯等了基耶里尼这么长时间真是没有白等啊                   11'第11分钟，坎帕尼亚罗右路传中，苏尼加后点距门9米处左脚被封堵
13'利希施泰纳肋部插上后和因勒接触后倒地，裁判没有表示                   11'第11分钟，坎帕尼亚罗右路传中，苏尼加后点距门9米处左脚被封堵
13'那不勒斯右路策动攻势                   11'第11分钟，坎帕尼亚罗右路传中，苏尼加后点距门9米处左脚被封堵
14'潘德夫回传禁区外，因勒得球直传禁区力量太大了，直接出了底线                   11'第11分钟，坎帕尼亚罗右路传中，苏尼加后点距门9米处左脚被封堵
14'皮尔洛中场丢球                   11'第11分钟，坎帕尼亚罗右路传中，苏尼加后点距门9米处左脚被封堵
14'潘德夫回传禁区外，因勒得球直传禁区力量太大了，直接出了底线                   14'第14分钟，皮尔洛被断球，那不勒斯形成三打三，哈姆西克直传，卡瓦尼禁区右侧受到巴尔扎利阻截没拿好球，潘德夫在门前8米处左脚推射也没打上力量，布冯将球没收
14'皮尔洛中场丢球                   14'第14分钟，皮尔洛被断球，那不勒斯形成三打三，哈姆西克直传，卡瓦尼禁区右侧受到巴尔扎利阻截没拿好球，潘德夫在门前8米处左脚推射也没打上力量，布冯将球没收
15'哈姆西克断球突破直传禁区                   14'第14分钟，皮尔洛被断球，那不勒斯形成三打三，哈姆西克直传，卡瓦尼禁区右侧受到巴尔扎利阻截没拿好球，潘德夫在门前8米处左脚推射也没打上力量，布冯将球没收
15'卡瓦尼得球没有起脚机会，在后卫紧逼下回给了身后的潘德夫                   14'第14分钟，皮尔洛被断球，那不勒斯形成三打三，哈姆西克直传，卡瓦尼禁区右侧受到巴尔扎利阻截没拿好球，潘德夫在门前8米处左脚推射也没打上力量，布冯将球没收
15'还是没有起脚机会，布冯把球拿到                   14'第14分钟，皮尔洛被断球，那不勒斯形成三打三，哈姆西克直传，卡瓦尼禁区右侧受到巴尔扎利阻截没拿好球，潘德夫在门前8米处左脚推射也没打上力量，布冯将球没收
16'尤文三名中卫在这个球的防守上还是很到位的                   14'第14分钟，皮尔洛被断球，那不勒斯形成三打三，哈姆西克直传，卡瓦尼禁区右侧受到巴尔扎利阻截没拿好球，潘德夫在门前8米处左脚推射也没打上力量，布冯将球没收
16'比达尔右路接到后场长传起球到后点                   14'第14分钟，皮尔洛被断球，那不勒斯形成三打三，哈姆西克直传，卡瓦尼禁区右侧受到巴尔扎利阻截没拿好球，潘德夫在门前8米处左脚推射也没打上力量，布冯将球没收
16'武齐尼奇头球攻门偏出远门柱                   14'第14分钟，皮尔洛被断球，那不勒斯形成三打三，哈姆西克直传，卡瓦尼禁区右侧受到巴尔扎利阻截没拿好球，潘德夫在门前8米处左脚推射也没打上力量，布冯将球没收
17'哈姆西克禁区里停球失误，把球碰出了底线                   14'第14分钟，皮尔洛被断球，那不勒斯形成三打三，哈姆西克直传，卡瓦尼禁区右侧受到巴尔扎利阻截没拿好球，潘德夫在门前8米处左脚推射也没打上力量，布冯将球没收
15'哈姆西克断球突破直传禁区                   15'第15分钟，比达尔右路传中，武齐尼奇在门前7米处头球偏出右门柱
15'卡瓦尼得球没有起脚机会，在后卫紧逼下回给了身后的潘德夫                   15'第15分钟，比达尔右路传中，武齐尼奇在门前7米处头球偏出右门柱
15'还是没有起脚机会，布冯把球拿到                   15'第15分钟，比达尔右路传中，武齐尼奇在门前7米处头球偏出右门柱
16'尤文三名中卫在这个球的防守上还是很到位的                   15'第15分钟，比达尔右路传中，武齐尼奇在门前7米处头球偏出右门柱
16'比达尔右路接到后场长传起球到后点                   15'第15分钟，比达尔右路传中，武齐尼奇在门前7米处头球偏出右门柱
16'武齐尼奇头球攻门偏出远门柱                   15'第15分钟，比达尔右路传中，武齐尼奇在门前7米处头球偏出右门柱
17'哈姆西克禁区里停球失误，把球碰出了底线                   15'第15分钟，比达尔右路传中，武齐尼奇在门前7米处头球偏出右门柱
18'乔文科接应武齐尼奇直传时越位了                   15'第15分钟，比达尔右路传中，武齐尼奇在门前7米处头球偏出右门柱
18'马乔右路准备过人时把球带出了边线                   15'第15分钟，比达尔右路传中，武齐尼奇在门前7米处头球偏出右门柱
18'布冯大脚开球也出现失误，直接出了边线                   15'第15分钟，比达尔右路传中，武齐尼奇在门前7米处头球偏出右门柱
29'坎帕尼亚罗右路强行传中被佩卢索挡下                   29'第29分钟，因勒防守比达尔时与布里托斯头部相撞双双倒地，布里托斯伤势更重接受治疗
30'布里托斯和因勒撞在了一起                   29'第29分钟，因勒防守比达尔时与布里托斯头部相撞双双倒地，布里托斯伤势更重接受治疗
30'布里托斯看上去伤的很严重                   29'第29分钟，因勒防守比达尔时与布里托斯头部相撞双双倒地，布里托斯伤势更重接受治疗
30'身边的比达尔都赶紧示意队医马上上场                   29'第29分钟，因勒防守比达尔时与布里托斯头部相撞双双倒地，布里托斯伤势更重接受治疗
31'布里托斯前额撞在了因勒的后脑                   29'第29分钟，因勒防守比达尔时与布里托斯头部相撞双双倒地，布里托斯伤势更重接受治疗
31'因勒倒是很快起来                   29'第29分钟，因勒防守比达尔时与布里托斯头部相撞双双倒地，布里托斯伤势更重接受治疗
31'布里托斯这下绝对懵了                   29'第29分钟，因勒防守比达尔时与布里托斯头部相撞双双倒地，布里托斯伤势更重接受治疗
32'经过队医的紧急治疗，布里托斯回到球场，应该是被撞在了下巴                   29'第29分钟，因勒防守比达尔时与布里托斯头部相撞双双倒地，布里托斯伤势更重接受治疗
