1'上半场比赛开始！！                   1'双方第1分钟打出快节奏
1'首先开球的是利物浦                   1'双方第1分钟打出快节奏
1'利物浦左路接球被破坏                   1'双方第1分钟打出快节奏
1'镜头也是给到双方的主教练                   1'双方第1分钟打出快节奏
2'菲尔-琼斯后场拿球回敲                   1'双方第1分钟打出快节奏
2'利物浦这边上抢的很积极                   1'双方第1分钟打出快节奏
3'利物浦这边获得角球机会                   1'双方第1分钟打出快节奏
3'角球送前点                   1'双方第1分钟打出快节奏
4'达米安这边将球顶出底线                   1'双方第1分钟打出快节奏
4'利物浦继续角球                   1'双方第1分钟打出快节奏
4'角球这次给了后点                   1'双方第1分钟打出快节奏
4'德赫亚后撤几步将球得到                   1'双方第1分钟打出快节奏
18'底线的下底没有给好啊                   18'第18分钟，洛夫伦回传力量稍轻，米尼奥莱出击解围打中伊布反弹向球门，但皮球高出横梁
18'利物浦这边还有机会                   18'第18分钟，洛夫伦回传力量稍轻，米尼奥莱出击解围打中伊布反弹向球门，但皮球高出横梁
18'克拉万起球直接送出底线                   18'第18分钟，洛夫伦回传力量稍轻，米尼奥莱出击解围打中伊布反弹向球门，但皮球高出横梁
18'曼联这边有球员受伤倒地                   18'第18分钟，洛夫伦回传力量稍轻，米尼奥莱出击解围打中伊布反弹向球门，但皮球高出横梁
18'罗霍也是被闷了一下                   18'第18分钟，洛夫伦回传力量稍轻，米尼奥莱出击解围打中伊布反弹向球门，但皮球高出横梁
18'问题不大                   18'第18分钟，洛夫伦回传力量稍轻，米尼奥莱出击解围打中伊布反弹向球门，但皮球高出横梁
19'曼联后场门球开出来                   18'第18分钟，洛夫伦回传力量稍轻，米尼奥莱出击解围打中伊布反弹向球门，但皮球高出横梁
19'洛夫伦后场回敲给门将                   18'第18分钟，洛夫伦回传力量稍轻，米尼奥莱出击解围打中伊布反弹向球门，但皮球高出横梁
19'力量小了                   18'第18分钟，洛夫伦回传力量稍轻，米尼奥莱出击解围打中伊布反弹向球门，但皮球高出横梁
19'伊布这边高速插上                   18'第18分钟，洛夫伦回传力量稍轻，米尼奥莱出击解围打中伊布反弹向球门，但皮球高出横梁
19'米尼奥莱解围正好跟伊布有一个对角                   18'第18分钟，洛夫伦回传力量稍轻，米尼奥莱出击解围打中伊布反弹向球门，但皮球高出横梁
19'球险些弹入球门！！                   18'第18分钟，洛夫伦回传力量稍轻，米尼奥莱出击解围打中伊布反弹向球门，但皮球高出横梁
19'曼联这边机会又来了                   18'第18分钟，洛夫伦回传力量稍轻，米尼奥莱出击解围打中伊布反弹向球门，但皮球高出横梁
