2'佛罗伦萨球员巴德尔吉一脚直塞球给巴巴卡尔,但是边裁举旗显示后者已经越位.                   1'第1分钟节奏不快
4'佛罗伦萨球员帕斯奎尔拼抢犯规,对手获得控球权.                   1'第1分钟节奏不快
4'瓜林为国际米兰在右路,赢得一个任意球.                   1'第1分钟节奏不快
31'佛罗伦萨球员库尔蒂奇大禁区中央尝试右脚射门,可惜皮球高出右上角球门.给他传球的是托莫维奇.                   31'第31分钟，托莫维奇右路突破桑顿传中，库尔蒂奇在门前12米处推射偏出
32'库尔蒂奇为佛罗伦萨赢得一个任意球.                   31'第31分钟，托莫维奇右路突破桑顿传中，库尔蒂奇在门前12米处推射偏出
32'国际米兰球员布罗佐维奇拼抢犯规,对手获得控球权.                   31'第31分钟，托莫维奇右路突破桑顿传中，库尔蒂奇在门前12米处推射偏出
32'伊利西奇为佛罗伦萨在对方半场,赢得一个任意球.                   31'第31分钟，托莫维奇右路突破桑顿传中，库尔蒂奇在门前12米处推射偏出
32'国际米兰球员维迪奇拼抢犯规,对手获得控球权.                   31'第31分钟，托莫维奇右路突破桑顿传中，库尔蒂奇在门前12米处推射偏出
34'阿奎拉尼将球处理出底线,国际米兰获得角球.                   31'第31分钟，托莫维奇右路突破桑顿传中，库尔蒂奇在门前12米处推射偏出
55'国际米兰球员瓜林一脚直塞球给伊卡尔迪,但是边裁举旗显示后者已经越位.                   55'国米第55分钟首先失球
55'进球啦！！！佛罗伦萨球员萨拉赫大禁区中央左脚射门,球从左下角飞进球门,球进了! 国际米兰 0-1 佛罗伦萨.                   55'国米第55分钟首先失球
59'射门!!!国际米兰球员瓜林大禁区外右脚射门,被对方守门员横身扑出.给他传球的是桑顿.                   59'第59分钟，伊卡尔迪接梅德尔的身后球，没有直接打门，机会稍纵即逝
61'萨拉赫为佛罗伦萨在右路,赢得一个任意球.                   59'第59分钟，伊卡尔迪接梅德尔的身后球，没有直接打门，机会稍纵即逝
61'国际米兰球员瓜林拼抢犯规,对手获得控球权.                   59'第59分钟，伊卡尔迪接梅德尔的身后球，没有直接打门，机会稍纵即逝
62'佛罗伦萨球员帕斯奎尔一脚直塞球给伊利西奇,但是边裁举旗显示后者已经越位.                   59'第59分钟，伊卡尔迪接梅德尔的身后球，没有直接打门，机会稍纵即逝
