7'AC米兰球员博内拉大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是卡卡.                   7'开场7分钟，卡卡开出角球，博内拉争顶偏出
9'卡塔尼亚球员巴里恩托斯大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是普拉希尔.                   7'开场7分钟，卡卡开出角球，博内拉争顶偏出
12'康斯坦特将球处理出底线,卡塔尼亚获得角球.                   12'第12分钟，巴里恩托斯右侧禁区前沿左脚弧线球被阿比亚蒂单手托出横梁，卡塔尼亚左侧开出角球，斯波利抢点偏出左门柱
12'射门!!!卡塔尼亚球员巴里恩托斯大禁区右侧左脚射门,被对方守门员横身扑出.给他传球的是洛迪.                   12'第12分钟，巴里恩托斯右侧禁区前沿左脚弧线球被阿比亚蒂单手托出横梁，卡塔尼亚左侧开出角球，斯波利抢点偏出左门柱
13'阿比亚蒂将球处理出底线,卡塔尼亚获得角球.                   12'第12分钟，巴里恩托斯右侧禁区前沿左脚弧线球被阿比亚蒂单手托出横梁，卡塔尼亚左侧开出角球，斯波利抢点偏出左门柱
13'卡塔尼亚球员斯波利大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.                   12'第12分钟，巴里恩托斯右侧禁区前沿左脚弧线球被阿比亚蒂单手托出横梁，卡塔尼亚左侧开出角球，斯波利抢点偏出左门柱
14'射门!!!卡塔尼亚球员洛迪大禁区外左脚射门,被对方守门员横身扑出.                   12'第12分钟，巴里恩托斯右侧禁区前沿左脚弧线球被阿比亚蒂单手托出横梁，卡塔尼亚左侧开出角球，斯波利抢点偏出左门柱
15'塔拉布特为AC米兰在右路,赢得一个任意球.                   12'第12分钟，巴里恩托斯右侧禁区前沿左脚弧线球被阿比亚蒂单手托出横梁，卡塔尼亚左侧开出角球，斯波利抢点偏出左门柱
15'卡塔尼亚球员蒙松拼抢犯规,对手获得控球权.                   12'第12分钟，巴里恩托斯右侧禁区前沿左脚弧线球被阿比亚蒂单手托出横梁，卡塔尼亚左侧开出角球，斯波利抢点偏出左门柱
15'波利为AC米兰在对方半场,赢得一个任意球.                   12'第12分钟，巴里恩托斯右侧禁区前沿左脚弧线球被阿比亚蒂单手托出横梁，卡塔尼亚左侧开出角球，斯波利抢点偏出左门柱
15'卡塔尼亚球员戈约姆贝拼抢犯规,对手获得控球权.                   12'第12分钟，巴里恩托斯右侧禁区前沿左脚弧线球被阿比亚蒂单手托出横梁，卡塔尼亚左侧开出角球，斯波利抢点偏出左门柱
20'康斯坦特为AC米兰在左路,赢得一个任意球.                   20'第20分钟，卡卡左侧开出任意球，梅克斯前点头球一蹭，拉米在门前3米处凌空垫射打飞，不过已越位在先
20'卡塔尼亚球员拼抢犯规,对手获得控球权.                   20'第20分钟，卡卡左侧开出任意球，梅克斯前点头球一蹭，拉米在门前3米处凌空垫射打飞，不过已越位在先
