6'张诚左路套边上来，这里比较空                   6'第6分钟，此战担任左后卫的张诚似传似射直接形成吊门，皮球稍稍高出横梁
6'伟中球形成一脚吊门，只是稍稍高出横梁                   6'第6分钟，此战担任左后卫的张诚似传似射直接形成吊门，皮球稍稍高出横梁
6'塔利斯卡中场绊倒了裴帅                   6'第6分钟，此战担任左后卫的张诚似传似射直接形成吊门，皮球稍稍高出横梁
7'长传左侧，苏缘杰得球禁区前沿的盘带，球被了                   6'第6分钟，此战担任左后卫的张诚似传似射直接形成吊门，皮球稍稍高出横梁
7'张琳芃回传给曾诚                   6'第6分钟，此战担任左后卫的张诚似传似射直接形成吊门，皮球稍稍高出横梁
7'曾诚长传中场，权敬源拉倒了塔利斯卡                   6'第6分钟，此战担任左后卫的张诚似传似射直接形成吊门，皮球稍稍高出横梁
7'黄博文控球交给冯潇霆                   6'第6分钟，此战担任左后卫的张诚似传似射直接形成吊门，皮球稍稍高出横梁
7'分工侧的邹正                   6'第6分钟，此战担任左后卫的张诚似传似射直接形成吊门，皮球稍稍高出横梁
8'回传后场                   6'第6分钟，此战担任左后卫的张诚似传似射直接形成吊门，皮球稍稍高出横梁
8'梅方交给曾诚                   6'第6分钟，此战担任左后卫的张诚似传似射直接形成吊门，皮球稍稍高出横梁
8'长传中场，邹正上来                   6'第6分钟，此战担任左后卫的张诚似传似射直接形成吊门，皮球稍稍高出横梁
8'直传，高拉特接应直传                   6'第6分钟，此战担任左后卫的张诚似传似射直接形成吊门，皮球稍稍高出横梁
8'于汉超下底传中，权敬源顶出                   6'第6分钟，此战担任左后卫的张诚似传似射直接形成吊门，皮球稍稍高出横梁
8'杨立瑜得球传中，打在吴伟身上                   6'第6分钟，此战担任左后卫的张诚似传似射直接形成吊门，皮球稍稍高出横梁
8'保利尼奥上来，禁区右侧的小角度劲射，击中了立柱                   6'第6分钟，此战担任左后卫的张诚似传似射直接形成吊门，皮球稍稍高出横梁
9'再去争，裁判认为保利尼奥犯规                   6'第6分钟，此战担任左后卫的张诚似传似射直接形成吊门，皮球稍稍高出横梁
