22'巴黎圣日耳曼球员卡瓦尼手球犯规,对手获得球权.                   19'第19分钟，小卢卡斯传球，卡瓦尼小禁区边上冲顶击中右门柱
29'巴黎圣日耳曼球员小卢卡斯大禁区中央头球,被防守球员封堵.给他传球的是马图伊迪.                   29'第29分钟，马图伊迪传禁区中央，小卢卡斯头球被挡出底线，拉维齐开出角球，卡瓦尼头球偏出
29'Nicholas Ioannou将球处理出底线,巴黎圣日耳曼获得角球.                   29'第29分钟，马图伊迪传禁区中央，小卢卡斯头球被挡出底线，拉维齐开出角球，卡瓦尼头球偏出
29'巴黎圣日耳曼球员卡瓦尼小禁区左侧尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是拉维齐.                   29'第29分钟，马图伊迪传禁区中央，小卢卡斯头球被挡出底线，拉维齐开出角球，卡瓦尼头球偏出
31'德耶博尔为APOEL Nicosia赢得一个任意球.                   29'第29分钟，马图伊迪传禁区中央，小卢卡斯头球被挡出底线，拉维齐开出角球，卡瓦尼头球偏出
31'巴黎圣日耳曼球员蒂亚戈-席尔瓦拼抢犯规,对手获得控球权.                   29'第29分钟，马图伊迪传禁区中央，小卢卡斯头球被挡出底线，拉维齐开出角球，卡瓦尼头球偏出
32'射门!!!巴黎圣日耳曼球员小卢卡斯大禁区外右脚射门,被对方守门员横身扑出.给他传球的是马克斯维尔.                   29'第29分钟，马图伊迪传禁区中央，小卢卡斯头球被挡出底线，拉维齐开出角球，卡瓦尼头球偏出
32'卡尔劳将球处理出底线,巴黎圣日耳曼获得角球.                   29'第29分钟，马图伊迪传禁区中央，小卢卡斯头球被挡出底线，拉维齐开出角球，卡瓦尼头球偏出
60'射门!!!巴黎圣日耳曼球员帕斯托雷大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是马图伊迪.                   60'下半时开始15分钟，帕斯托雷连过3人，小禁区边缘推射被帕尔多不可思议地扑出
80'巴黎圣日耳曼球员卡瓦尼大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是范德维尔.                   80'第80分钟，范德维尔传中，卡瓦尼禁区边缘推射偏出远门柱
81'APOEL Nicosia球员谢里登拼抢犯规,对手获得控球权.                   80'第80分钟，范德维尔传中，卡瓦尼禁区边缘推射偏出远门柱
81'莫塔为巴黎圣日耳曼赢得一个任意球.                   80'第80分钟，范德维尔传中，卡瓦尼禁区边缘推射偏出远门柱
