4'邱盛炯有点受伤，接受治疗后继续比赛                   4'第4分钟辽宁队右路反击，詹姆斯中路接球时被破坏，奥里斯禁区外射门打偏
4'詹姆斯左路拿球，分到中场，比亚特里抢断                   4'第4分钟辽宁队右路反击，詹姆斯中路接球时被破坏，奥里斯禁区外射门打偏
4'比亚特里摆脱被拉拽，申花中场任意球                   4'第4分钟辽宁队右路反击，詹姆斯中路接球时被破坏，奥里斯禁区外射门打偏
5'柏佳俊左路下底垫传，被头球解围                   4'第4分钟辽宁队右路反击，詹姆斯中路接球时被破坏，奥里斯禁区外射门打偏
5'辽宁队右路反击，横敲中路被保罗破坏                   4'第4分钟辽宁队右路反击，詹姆斯中路接球时被破坏，奥里斯禁区外射门打偏
6'申花后场解围稍晚，出了右路边线                   4'第4分钟辽宁队右路反击，詹姆斯中路接球时被破坏，奥里斯禁区外射门打偏
6'奥里斯禁区前做球，还是被破坏了                   4'第4分钟辽宁队右路反击，詹姆斯中路接球时被破坏，奥里斯禁区外射门打偏
7'恩里克前场胸部停球趟入禁区，小角度射门打偏了                   4'第4分钟辽宁队右路反击，詹姆斯中路接球时被破坏，奥里斯禁区外射门打偏
7'恩里克前场胸部停球趟入禁区，小角度射门打偏了                   7'第7分钟辽宁队后场丁海峰回传门将张鹭，但此球传得稍慢，曹S定立刻快速冲刺跟进，不能用手接的张鹭先用头点了一下，接着他强行用肩膀顺球想过掉曹S定，但没有成功，曹S定顺利截下皮球，轻松推射入门，1比0，申花开场第二脚射门就取得领先
8'柏佳俊左路防守卡住身位，把球回传门将                   7'第7分钟辽宁队后场丁海峰回传门将张鹭，但此球传得稍慢，曹S定立刻快速冲刺跟进，不能用手接的张鹭先用头点了一下，接着他强行用肩膀顺球想过掉曹S定，但没有成功，曹S定顺利截下皮球，轻松推射入门，1比0，申花开场第二脚射门就取得领先
8'申花进球了！！！                   7'第7分钟辽宁队后场丁海峰回传门将张鹭，但此球传得稍慢，曹S定立刻快速冲刺跟进，不能用手接的张鹭先用头点了一下，接着他强行用肩膀顺球想过掉曹S定，但没有成功，曹S定顺利截下皮球，轻松推射入门，1比0，申花开场第二脚射门就取得领先
8'曹赟定！！！辽宁队后场玩火啊！                   7'第7分钟辽宁队后场丁海峰回传门将张鹭，但此球传得稍慢，曹S定立刻快速冲刺跟进，不能用手接的张鹭先用头点了一下，接着他强行用肩膀顺球想过掉曹S定，但没有成功，曹S定顺利截下皮球，轻松推射入门，1比0，申花开场第二脚射门就取得领先
9'张鹭接后卫回传，胸部停球稍大，被上抢的曹赟定断球，推空门入网！                   7'第7分钟辽宁队后场丁海峰回传门将张鹭，但此球传得稍慢，曹S定立刻快速冲刺跟进，不能用手接的张鹭先用头点了一下，接着他强行用肩膀顺球想过掉曹S定，但没有成功，曹S定顺利截下皮球，轻松推射入门，1比0，申花开场第二脚射门就取得领先
9'绿地申花1-0领先辽宁宏运！                   7'第7分钟辽宁队后场丁海峰回传门将张鹭，但此球传得稍慢，曹S定立刻快速冲刺跟进，不能用手接的张鹭先用头点了一下，接着他强行用肩膀顺球想过掉曹S定，但没有成功，曹S定顺利截下皮球，轻松推射入门，1比0，申花开场第二脚射门就取得领先
10'辽宁队右路斜传前场，曹秉局头球解围                   7'第7分钟辽宁队后场丁海峰回传门将张鹭，但此球传得稍慢，曹S定立刻快速冲刺跟进，不能用手接的张鹭先用头点了一下，接着他强行用肩膀顺球想过掉曹S定，但没有成功，曹S定顺利截下皮球，轻松推射入门，1比0，申花开场第二脚射门就取得领先
10'恩里克右路拿球被绊倒，任意球                   7'第7分钟辽宁队后场丁海峰回传门将张鹭，但此球传得稍慢，曹S定立刻快速冲刺跟进，不能用手接的张鹭先用头点了一下，接着他强行用肩膀顺球想过掉曹S定，但没有成功，曹S定顺利截下皮球，轻松推射入门，1比0，申花开场第二脚射门就取得领先
19'柏佳俊的45度角传中，高度不够被解围                   19'第19分钟申花由保罗策划反击，曹S定带球到禁区右侧前沿，自己突然起脚冷射，皮球擦着远门柱而出
19'曹赟定中场拿球转身被勾倒                   19'第19分钟申花由保罗策划反击，曹S定带球到禁区右侧前沿，自己突然起脚冷射，皮球擦着远门柱而出
20'詹姆斯回防，断球了                   19'第19分钟申花由保罗策划反击，曹S定带球到禁区右侧前沿，自己突然起脚冷射，皮球擦着远门柱而出
20'保罗断球，曹赟定右路插上接应                   19'第19分钟申花由保罗策划反击，曹S定带球到禁区右侧前沿，自己突然起脚冷射，皮球擦着远门柱而出
20'曹赟定禁区前远射被张鹭扑出！角球！                   19'第19分钟申花由保罗策划反击，曹S定带球到禁区右侧前沿，自己突然起脚冷射，皮球擦着远门柱而出
21'裁判还是给了球门球                   19'第19分钟申花由保罗策划反击，曹S定带球到禁区右侧前沿，自己突然起脚冷射，皮球擦着远门柱而出
21'高迪本方半场背身拿球，被推倒了                   19'第19分钟申花由保罗策划反击，曹S定带球到禁区右侧前沿，自己突然起脚冷射，皮球擦着远门柱而出
22'恩里克右路拿球，被杨宇断下                   19'第19分钟申花由保罗策划反击，曹S定带球到禁区右侧前沿，自己突然起脚冷射，皮球擦着远门柱而出
22'王长庆右路传中，到后点被张鹭跃起没收                   19'第19分钟申花由保罗策划反击，曹S定带球到禁区右侧前沿，自己突然起脚冷射，皮球擦着远门柱而出
33'肇俊哲任意球去后点，奥里斯越位了                   33'第33分钟辽宁队由詹姆斯策划进攻，金泰延拿球右路传中，奥里斯中路头球稍稍偏出
