1'上半场比赛开始                   1'第1分钟，利罗拉任意球长传，拉古萨后点推射偏出
1'国米开球，伊卡尔迪把球回传后场                   1'第1分钟，利罗拉任意球长传，拉古萨后点推射偏出
2'球被佩莱格里尼顶出底线                   1'第1分钟，利罗拉任意球长传，拉古萨后点推射偏出
2' 汉达诺维奇大脚开球门球                   1'第1分钟，利罗拉任意球长传，拉古萨后点推射偏出
3'萨索洛前场右侧外围的定位球                   1'第1分钟，利罗拉任意球长传，拉古萨后点推射偏出
3'利罗拉开球，向前方一脚过顶挑传！到了前场中路                   1'第1分钟，利罗拉任意球长传，拉古萨后点推射偏出
3' 球被布罗佐维奇摘出来                   1'第1分钟，利罗拉任意球长传，拉古萨后点推射偏出
16'马里奥拿球被森西拉犯规                   16'国米第16分钟险些破门
16'国米后场定位球                   16'国米第16分钟险些破门
17'拉古萨左路杀入空当，到了禁区内左侧                   16'国米第16分钟险些破门
17'横敲中路， 中路德弗雷尔一脚碰到稍稍偏出                   16'国米第16分钟险些破门
18'里奇中圈右侧控球                   16'国米第16分钟险些破门
18'被伊卡尔迪回防把球踢出界外                   16'国米第16分钟险些破门
34'汉达诺维奇大脚开出门球                   34'汉达诺维奇第34分钟作出精彩扑救，森西中场精准长传，德弗雷尔在门前12米处飞身左脚凌空垫射被汉达腾身封出左门柱
34'被利罗拉上抢断下                   34'汉达诺维奇第34分钟作出精彩扑救，森西中场精准长传，德弗雷尔在门前12米处飞身左脚凌空垫射被汉达腾身封出左门柱
37' 左侧低平球传中                   34'汉达诺维奇第34分钟作出精彩扑救，森西中场精准长传，德弗雷尔在门前12米处飞身左脚凌空垫射被汉达腾身封出左门柱
37'前点伊卡尔迪一蹭，后点坎德雷瓦再要打门                   34'汉达诺维奇第34分钟作出精彩扑救，森西中场精准长传，德弗雷尔在门前12米处飞身左脚凌空垫射被汉达腾身封出左门柱
37'后卫封堵出来                   34'汉达诺维奇第34分钟作出精彩扑救，森西中场精准长传，德弗雷尔在门前12米处飞身左脚凌空垫射被汉达腾身封出左门柱
63'马里奥前场左路外围拿球                   63'萨索洛同时换上米西罗利和马特里，第63分钟险些扳平，马齐泰利妙传，森西突入禁区左侧半凌空射门被汉达诺维奇并腿挡出
63'被米西罗利铲翻在地                   63'萨索洛同时换上米西罗利和马特里，第63分钟险些扳平，马齐泰利妙传，森西突入禁区左侧半凌空射门被汉达诺维奇并腿挡出
63'这下米西罗利吃到黄牌                   63'萨索洛同时换上米西罗利和马特里，第63分钟险些扳平，马齐泰利妙传，森西突入禁区左侧半凌空射门被汉达诺维奇并腿挡出
64'后场左路德尔厄尔科发动反击                   63'萨索洛同时换上米西罗利和马特里，第63分钟险些扳平，马齐泰利妙传，森西突入禁区左侧半凌空射门被汉达诺维奇并腿挡出
64'带球到了中圈附近                   63'萨索洛同时换上米西罗利和马特里，第63分钟险些扳平，马齐泰利妙传，森西突入禁区左侧半凌空射门被汉达诺维奇并腿挡出
65'低平球给到右侧，利罗拉右路带球内切                   63'萨索洛同时换上米西罗利和马特里，第63分钟险些扳平，马齐泰利妙传，森西突入禁区左侧半凌空射门被汉达诺维奇并腿挡出
65'低平球往前传禁区内马特里拿球， 面对逼抢回传身后                   63'萨索洛同时换上米西罗利和马特里，第63分钟险些扳平，马齐泰利妙传，森西突入禁区左侧半凌空射门被汉达诺维奇并腿挡出
85'阿切尔比向前方一脚过顶挑传                   85'国米第85分钟错过机会，布罗佐维奇接到伊卡尔迪传中，中路突至禁区边缘低射偏出
85'外围中路德弗雷尔分球左侧                   85'国米第85分钟错过机会，布罗佐维奇接到伊卡尔迪传中，中路突至禁区边缘低射偏出
87' 丹布罗西奥中圈上抢，但是犯规在先了                   85'国米第85分钟错过机会，布罗佐维奇接到伊卡尔迪传中，中路突至禁区边缘低射偏出
88'布罗佐维奇横敲中路                   85'国米第85分钟错过机会，布罗佐维奇接到伊卡尔迪传中，中路突至禁区边缘低射偏出
47'孔西利向前方一脚过顶挑传                   47'补时第2分钟，巴内加禁区右侧低射偏出近门柱，萨索洛打出反击，梅洛背后放倒德弗雷尔，吃到第2张黄牌被罚下
47'两队拼抢， 佩里西奇中圈前沿被森西侵犯了                   47'补时第2分钟，巴内加禁区右侧低射偏出近门柱，萨索洛打出反击，梅洛背后放倒德弗雷尔，吃到第2张黄牌被罚下
48'国米进球啦                   47'补时第2分钟，巴内加禁区右侧低射偏出近门柱，萨索洛打出反击，梅洛背后放倒德弗雷尔，吃到第2张黄牌被罚下
48'伊卡尔迪射门被扑，坎德雷瓦补射得手                   47'补时第2分钟，巴内加禁区右侧低射偏出近门柱，萨索洛打出反击，梅洛背后放倒德弗雷尔，吃到第2张黄牌被罚下
49'右路里奇带球突破                   47'补时第2分钟，巴内加禁区右侧低射偏出近门柱，萨索洛打出反击，梅洛背后放倒德弗雷尔，吃到第2张黄牌被罚下
49'横敲中路                   47'补时第2分钟，巴内加禁区右侧低射偏出近门柱，萨索洛打出反击，梅洛背后放倒德弗雷尔，吃到第2张黄牌被罚下
50'穆里略头球解围出了底线                   47'补时第2分钟，巴内加禁区右侧低射偏出近门柱，萨索洛打出反击，梅洛背后放倒德弗雷尔，吃到第2张黄牌被罚下
50'萨索洛左路角球                   47'补时第2分钟，巴内加禁区右侧低射偏出近门柱，萨索洛打出反击，梅洛背后放倒德弗雷尔，吃到第2张黄牌被罚下
