1'上半场比赛开始！！                   1'双方第1分钟均显得小心谨慎
1'首先由绿衣绿裤的曼城开球，从画面的右侧向左进攻！                   1'双方第1分钟均显得小心谨慎
1'拉莫斯后场过顶长传找前场贝尔                   1'双方第1分钟均显得小心谨慎
2'可惜力量太大，被克里希目送出底线！！                   1'双方第1分钟均显得小心谨慎
2'德布劳内前场头球摆渡找阿圭罗                   1'双方第1分钟均显得小心谨慎
2'阿圭罗胸部停球回传亚亚-图雷                   1'双方第1分钟均显得小心谨慎
3'亚亚-图雷再直塞想给阿圭罗，主裁判鸣哨，阿圭罗越位在先！                   1'双方第1分钟均显得小心谨慎
3'卡瓦哈尔右路拿球，直塞找前插的赫塞                   1'双方第1分钟均显得小心谨慎
3'边裁举旗，赫塞越位在先！！                   1'双方第1分钟均显得小心谨慎
4'纳瓦斯右路拿球，强突摆脱放铲的马塞洛                   1'双方第1分钟均显得小心谨慎
4'右路45度斜传球到禁区，皇马门将纳瓦斯单掌打出！！                   1'双方第1分钟均显得小心谨慎
4'亚亚-图雷前场右路拿球，横传中间给费尔南迪奥                   1'双方第1分钟均显得小心谨慎
20'慢镜头回放显示，莫德里奇禁区弧顶变向强突，好像被费尔南多踢了一下，有犯规嫌疑哦                   20'皇马第20分钟取得领先，卡瓦哈尔斜传，贝尔禁区右侧小角度射门被费尔南多封堵后稍稍偏转，皮球吊过乔-哈特击中远角立柱入网
20'克罗斯中圈拿球，分球左侧给伊斯科                   20'皇马第20分钟取得领先，卡瓦哈尔斜传，贝尔禁区右侧小角度射门被费尔南多封堵后稍稍偏转，皮球吊过乔-哈特击中远角立柱入网
20'1-0！！！                   20'皇马第20分钟取得领先，卡瓦哈尔斜传，贝尔禁区右侧小角度射门被费尔南多封堵后稍稍偏转，皮球吊过乔-哈特击中远角立柱入网
20'贝尔的进球！！                   20'皇马第20分钟取得领先，卡瓦哈尔斜传，贝尔禁区右侧小角度射门被费尔南多封堵后稍稍偏转，皮球吊过乔-哈特击中远角立柱入网
21'只要有进球，本场比赛就不会出现加时了！！                   20'皇马第20分钟取得领先，卡瓦哈尔斜传，贝尔禁区右侧小角度射门被费尔南多封堵后稍稍偏转，皮球吊过乔-哈特击中远角立柱入网
21'卡瓦哈尔右路拿球，斜塞禁区给前插的贝尔，贝尔拿球一趟，小角度起脚打门，击中远端的立柱弹进网窝！！                   20'皇马第20分钟取得领先，卡瓦哈尔斜传，贝尔禁区右侧小角度射门被费尔南多封堵后稍稍偏转，皮球吊过乔-哈特击中远角立柱入网
22'曼城前场进攻，赢得右侧的角球机会！！                   20'皇马第20分钟取得领先，卡瓦哈尔斜传，贝尔禁区右侧小角度射门被费尔南多封堵后稍稍偏转，皮球吊过乔-哈特击中远角立柱入网
22'德布劳内角球开出到禁区，费尔南多的头球，顶高！！                   20'皇马第20分钟取得领先，卡瓦哈尔斜传，贝尔禁区右侧小角度射门被费尔南多封堵后稍稍偏转，皮球吊过乔-哈特击中远角立柱入网
23'卡瓦哈尔右路拿球，面对德布劳内的上抢，横传莫德里奇                   20'皇马第20分钟取得领先，卡瓦哈尔斜传，贝尔禁区右侧小角度射门被费尔南多封堵后稍稍偏转，皮球吊过乔-哈特击中远角立柱入网
36'球被费尔南迪奥上抢破坏，莫德里奇拿到                   36'第36分钟，拉莫斯任意球混战中近距离破门，但佩佩越位在先，进球被判无效
36'莫德里奇再给克罗斯，踢墙配合，克罗斯被费尔南迪奥撞翻在地                   36'第36分钟，拉莫斯任意球混战中近距离破门，但佩佩越位在先，进球被判无效
36'皇马获得前场中路的任意球机会！！                   36'第36分钟，拉莫斯任意球混战中近距离破门，但佩佩越位在先，进球被判无效
37'皇马再进一球，可惜越位在先，无效啊！！                   36'第36分钟，拉莫斯任意球混战中近距离破门，但佩佩越位在先，进球被判无效
38'克罗斯任意球斜传门前，佩佩和拉莫斯前插抢点，混战中拉莫斯的捅射进网，主裁鸣哨，吹罚佩佩越位在先，无效！                   36'第36分钟，拉莫斯任意球混战中近距离破门，但佩佩越位在先，进球被判无效
