3'皇家社会长传打身后                   3'开场仅3分钟，威廉-赫塞横敲，尤里禁区左侧12码处射门被皮克封堵
3'队友停球后给到中路                   3'开场仅3分钟，威廉-赫塞横敲，尤里禁区左侧12码处射门被皮克封堵
3'祖鲁图萨接球给到位置更好的尤里                   3'开场仅3分钟，威廉-赫塞横敲，尤里禁区左侧12码处射门被皮克封堵
4'尤里停球后直接起左脚打门                   3'开场仅3分钟，威廉-赫塞横敲，尤里禁区左侧12码处射门被皮克封堵
4'球被皮克挡了出来                   3'开场仅3分钟，威廉-赫塞横敲，尤里禁区左侧12码处射门被皮克封堵
4'巴萨这次防守还是很到位的                   3'开场仅3分钟，威廉-赫塞横敲，尤里禁区左侧12码处射门被皮克封堵
5'巴萨左路进攻上来                   3'开场仅3分钟，威廉-赫塞横敲，尤里禁区左侧12码处射门被皮克封堵
5'马丁内斯将球先解围出去                   3'开场仅3分钟，威廉-赫塞横敲，尤里禁区左侧12码处射门被皮克封堵
5'巴萨边路拿球                   3'开场仅3分钟，威廉-赫塞横敲，尤里禁区左侧12码处射门被皮克封堵
5'没有机会将球回敲                   3'开场仅3分钟，威廉-赫塞横敲，尤里禁区左侧12码处射门被皮克封堵
5'中场巴萨横向转移                   3'开场仅3分钟，威廉-赫塞横敲，尤里禁区左侧12码处射门被皮克封堵
5'这球给到了队友的身后                   3'开场仅3分钟，威廉-赫塞横敲，尤里禁区左侧12码处射门被皮克封堵
5'戈麦斯前场拿球分边                   3'开场仅3分钟，威廉-赫塞横敲，尤里禁区左侧12码处射门被皮克封堵
6'梅西禁区内低平球给到中路                   3'开场仅3分钟，威廉-赫塞横敲，尤里禁区左侧12码处射门被皮克封堵
6'苏亚雷斯这边抢点先滑倒了                   3'开场仅3分钟，威廉-赫塞横敲，尤里禁区左侧12码处射门被皮克封堵
6'这球送出助攻的是阿尔巴                   3'开场仅3分钟，威廉-赫塞横敲，尤里禁区左侧12码处射门被皮克封堵
6'梅西在中路塞球给到阿尔巴                   3'开场仅3分钟，威廉-赫塞横敲，尤里禁区左侧12码处射门被皮克封堵
6'苏亚雷斯这边滑倒也是运气不佳                   3'开场仅3分钟，威廉-赫塞横敲，尤里禁区左侧12码处射门被皮克封堵
13'皇家这边机会又来了                   13'皇家社会第13分钟险些破门，纳瓦斯左路传中，奥雅萨巴尔小禁区边缘推射被特尔施特根扑出
13'左路低平球给到禁区                   13'皇家社会第13分钟险些破门，纳瓦斯左路传中，奥雅萨巴尔小禁区边缘推射被特尔施特根扑出
