30'汉诺威96球员施米德巴赫大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是马梅-迪乌夫.                   30'第30分钟，赫劳谢克外围起脚折射入网
30'进球啦！！！纽伦堡球员赫洛谢克大禁区外左脚射门,球从右下角飞进球门,球进了!助攻的是长谷部诚. 汉诺威96 0-1 纽伦堡.                   30'第30分钟，赫劳谢克外围起脚折射入网
32'德尔米奇将球处理出底线,汉诺威96获得角球.                   30'第30分钟，赫劳谢克外围起脚折射入网
48'纽伦堡球员赫洛谢克拼抢犯规,对手获得控球权.                   48'3分钟后，尼尔森接应角球头槌破门
48'比当古为汉诺威96赢得一个任意球.                   48'3分钟后，尼尔森接应角球头槌破门
48'黄牌！纽伦堡球员赫洛谢克因为恶意犯规,被主裁判出示黄牌.                   48'3分钟后，尼尔森接应角球头槌破门
49'舍费尔为纽伦堡赢得一个任意球.                   48'3分钟后，尼尔森接应角球头槌破门
49'汉诺威96球员马梅-迪乌夫拼抢犯规,对手获得控球权.                   48'3分钟后，尼尔森接应角球头槌破门
50'德尔米奇为纽伦堡在右路,赢得一个任意球.                   48'3分钟后，尼尔森接应角球头槌破门
50'汉诺威96球员萨内拼抢犯规,对手获得控球权.                   48'3分钟后，尼尔森接应角球头槌破门
51'马塞洛将球处理出底线,纽伦堡获得角球.                   48'3分钟后，尼尔森接应角球头槌破门
60'进球啦！！！汉诺威96球员比当古大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是胡斯蒂. 汉诺威96 1-3 纽伦堡.                   60'第60分钟，胡斯蒂助攻替补比当古得分
61'射门!!!汉诺威96球员胡斯蒂大禁区外左脚射门,被对方守门员横身扑出.给他传球的是比当古.                   60'第60分钟，胡斯蒂助攻替补比当古得分
61'纽伦堡球员长谷部诚一脚直塞球给京切克,但是边裁举旗显示后者已经越位.                   60'第60分钟，胡斯蒂助攻替补比当古得分
63'尼尔松将球处理出底线,汉诺威96获得角球.                   60'第60分钟，胡斯蒂助攻替补比当古得分
47'汉诺威96球员萨内大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是胡斯蒂.                   47'补时第2分钟，迪乌夫射门被舍费尔扑出后补射入网，纽伦堡取得赛季首胜愿望落空，也成为2010年11月斯图加特(3比3平凯泽斯劳滕)之后德甲首支领先3球未能取胜的球队
48'纽伦堡球员赫洛谢克拼抢犯规,对手获得控球权.                   47'补时第2分钟，迪乌夫射门被舍费尔扑出后补射入网，纽伦堡取得赛季首胜愿望落空，也成为2010年11月斯图加特(3比3平凯泽斯劳滕)之后德甲首支领先3球未能取胜的球队
48'比当古为汉诺威96赢得一个任意球.                   47'补时第2分钟，迪乌夫射门被舍费尔扑出后补射入网，纽伦堡取得赛季首胜愿望落空，也成为2010年11月斯图加特(3比3平凯泽斯劳滕)之后德甲首支领先3球未能取胜的球队
48'黄牌！纽伦堡球员赫洛谢克因为恶意犯规,被主裁判出示黄牌.                   47'补时第2分钟，迪乌夫射门被舍费尔扑出后补射入网，纽伦堡取得赛季首胜愿望落空，也成为2010年11月斯图加特(3比3平凯泽斯劳滕)之后德甲首支领先3球未能取胜的球队
49'舍费尔为纽伦堡赢得一个任意球.                   47'补时第2分钟，迪乌夫射门被舍费尔扑出后补射入网，纽伦堡取得赛季首胜愿望落空，也成为2010年11月斯图加特(3比3平凯泽斯劳滕)之后德甲首支领先3球未能取胜的球队
49'汉诺威96球员马梅-迪乌夫拼抢犯规,对手获得控球权.                   47'补时第2分钟，迪乌夫射门被舍费尔扑出后补射入网，纽伦堡取得赛季首胜愿望落空，也成为2010年11月斯图加特(3比3平凯泽斯劳滕)之后德甲首支领先3球未能取胜的球队
50'德尔米奇为纽伦堡在右路,赢得一个任意球.                   47'补时第2分钟，迪乌夫射门被舍费尔扑出后补射入网，纽伦堡取得赛季首胜愿望落空，也成为2010年11月斯图加特(3比3平凯泽斯劳滕)之后德甲首支领先3球未能取胜的球队
50'汉诺威96球员萨内拼抢犯规,对手获得控球权.                   47'补时第2分钟，迪乌夫射门被舍费尔扑出后补射入网，纽伦堡取得赛季首胜愿望落空，也成为2010年11月斯图加特(3比3平凯泽斯劳滕)之后德甲首支领先3球未能取胜的球队
