5'曹赟定左路连续变向摆脱防守，直接起球传中，禁区内的法图斯倒地解围                   5'第5分钟莫雷诺右路禁区得球，他连续摆脱对方两名队员拦截，可惜最后射门太正
6'孙世林后场带上来给到身前                   5'第5分钟莫雷诺右路禁区得球，他连续摆脱对方两名队员拦截，可惜最后射门太正
6'莫雷诺右路拿球连续内切晃开防守，禁区内低射被苏渤洋没收                   5'第5分钟莫雷诺右路禁区得球，他连续摆脱对方两名队员拦截，可惜最后射门太正
7'闵俊麟中场拿球给到左侧                   5'第5分钟莫雷诺右路禁区得球，他连续摆脱对方两名队员拦截，可惜最后射门太正
8'智诚左路传中，被毕津浩顶出去                   5'第5分钟莫雷诺右路禁区得球，他连续摆脱对方两名队员拦截，可惜最后射门太正
8'角球开出来，禁区内后点被毕津浩顶到                   5'第5分钟莫雷诺右路禁区得球，他连续摆脱对方两名队员拦截，可惜最后射门太正
8'孙世林争抢二点，被苏亚雷斯干倒了                   5'第5分钟莫雷诺右路禁区得球，他连续摆脱对方两名队员拦截，可惜最后射门太正
11'智诚后场断球反击，给到了右路                   11'贵州也不示弱，第11分钟贵州队前场连续传递，最后闵俊麟斜射打偏
12'王帆右路内切后倒三角回传，苏亚雷斯跟进远射打偏                   11'贵州也不示弱，第11分钟贵州队前场连续传递，最后闵俊麟斜射打偏
12'唐鑫禁区内拼抢受伤了                   11'贵州也不示弱，第11分钟贵州队前场连续传递，最后闵俊麟斜射打偏
14'金基熙后场长传球，给的有点大                   11'贵州也不示弱，第11分钟贵州队前场连续传递，最后闵俊麟斜射打偏
16'卡斯特罗中路送直塞，耶拉维奇停大了                   16'第16分钟两人再次打出配合，卡斯特罗左路送球，耶拉维奇侧身射门打偏
17'卡斯特罗左路内切后送直传，耶拉维奇中路包抄推射打偏                   16'第16分钟两人再次打出配合，卡斯特罗左路送球，耶拉维奇侧身射门打偏
18' 李运秋来发边线球                   16'第16分钟两人再次打出配合，卡斯特罗左路送球，耶拉维奇侧身射门打偏
19'曹赟定左路底线传中，被苏渤洋拿到                   16'第16分钟两人再次打出配合，卡斯特罗左路送球，耶拉维奇侧身射门打偏
26'波耶特也是赶过来，提醒下李运秋控制好情绪                   26'第26分钟苏亚雷斯左路连续趟球过人，杀到底线附近后横推，卡斯特罗灵巧转身射门，李帅在门线上把球扑了一下，球打在门柱上弹出
26'申花后场挑传，曹赟定越位了                   26'第26分钟苏亚雷斯左路连续趟球过人，杀到底线附近后横推，卡斯特罗灵巧转身射门，李帅在门线上把球扑了一下，球打在门柱上弹出
28'范云龙左路传中球被陶金顶出，苏亚雷斯外围拿到二点带球杀入禁区左侧横传，卡斯特罗拿球摆脱防守转身低射，皮球被李帅扑了一下后击中立柱                   26'第26分钟苏亚雷斯左路连续趟球过人，杀到底线附近后横推，卡斯特罗灵巧转身射门，李帅在门线上把球扑了一下，球打在门柱上弹出
28'杜威后场长传，被毕津浩顶到一点                   26'第26分钟苏亚雷斯左路连续趟球过人，杀到底线附近后横推，卡斯特罗灵巧转身射门，李帅在门线上把球扑了一下，球打在门柱上弹出
29'闵俊麟前场背后放倒李运秋吃到黄牌                   26'第26分钟苏亚雷斯左路连续趟球过人，杀到底线附近后横推，卡斯特罗灵巧转身射门，李帅在门线上把球扑了一下，球打在门柱上弹出
37'卡斯特罗背身拿住球，被断走了                   36'第36分钟申花右路进攻，徐骏敏接李运秋长传，杀到底线附近横传，莫雷诺中路射门被杜威倒地挡出
38'徐骏敏禁区右侧倒三角给中路，莫雷诺跟进左脚抽射被杜威倒地封堵                   36'第36分钟申花右路进攻，徐骏敏接李运秋长传，杀到底线附近横传，莫雷诺中路射门被杜威倒地挡出
39'闵俊麟长传球，队友没有跟进                   36'第36分钟申花右路进攻，徐骏敏接李运秋长传，杀到底线附近横传，莫雷诺中路射门被杜威倒地挡出
39'王帆右路传中，后点球员倒地，裁判没吹                   36'第36分钟申花右路进攻，徐骏敏接李运秋长传，杀到底线附近横传，莫雷诺中路射门被杜威倒地挡出
45'李运秋右路推传给身前                   45'第45分钟孙世林踹翻卡斯特罗吃到黄牌
46'徐骏敏禁区右侧在法图斯防守下摔倒，裁判没有表示                   45'第45分钟孙世林踹翻卡斯特罗吃到黄牌
46'上半场补时3分钟                   45'第45分钟孙世林踹翻卡斯特罗吃到黄牌
47'唐鑫左路继续45°传中，直接兜出了另一侧边线                   45'第45分钟孙世林踹翻卡斯特罗吃到黄牌
47'孙世林边路防守放倒了卡斯特罗吃到黄牌                   45'第45分钟孙世林踹翻卡斯特罗吃到黄牌
47'范云龙任意球开到禁区，杜威头球攻门高出                   45'第45分钟孙世林踹翻卡斯特罗吃到黄牌
47'唐鑫左路继续45°传中，直接兜出了另一侧边线                   47'第47分钟马丁斯被王帆放倒，申花任意球开入禁区，耶拉维奇头球解围，皮球往后飞，无人看守的毕津浩抢先近门冲顶，球打在门柱上弹出
47'孙世林边路防守放倒了卡斯特罗吃到黄牌                   47'第47分钟马丁斯被王帆放倒，申花任意球开入禁区，耶拉维奇头球解围，皮球往后飞，无人看守的毕津浩抢先近门冲顶，球打在门柱上弹出
47'范云龙任意球开到禁区，杜威头球攻门高出                   47'第47分钟马丁斯被王帆放倒，申花任意球开入禁区，耶拉维奇头球解围，皮球往后飞，无人看守的毕津浩抢先近门冲顶，球打在门柱上弹出
49'马丁斯边路被直接踢翻了                   47'第47分钟马丁斯被王帆放倒，申花任意球开入禁区，耶拉维奇头球解围，皮球往后飞，无人看守的毕津浩抢先近门冲顶，球打在门柱上弹出
49'申花任意球开到禁区，二点球毕津浩头球攻门击中立柱                   47'第47分钟马丁斯被王帆放倒，申花任意球开入禁区，耶拉维奇头球解围，皮球往后飞，无人看守的毕津浩抢先近门冲顶，球打在门柱上弹出
65'申花换人，王寿挺替下陶金                   64'第64分钟王寿挺换下陶金
66'耶拉维奇禁区内的打门偏出                   64'第64分钟王寿挺换下陶金
66'毛剑卿右路突破，被法图斯封堵                   64'第64分钟王寿挺换下陶金
67'曹赟定拼抢扫倒范云龙被黄牌警告                   64'第64分钟王寿挺换下陶金
68'曹赟定左路传中，被苏渤洋打出去                   68'第68分钟曹赟定带开杨挺之后左路传中，苏渤洋在马丁斯头上把球打出
69'卡斯特罗左路接球和耶拉维奇撞墙，球被断掉                   68'第68分钟曹赟定带开杨挺之后左路传中，苏渤洋在马丁斯头上把球打出
71'杜威斜长传，范云龙越位了                   68'第68分钟曹赟定带开杨挺之后左路传中，苏渤洋在马丁斯头上把球打出
71'范云龙抗议被出示了黄牌                   68'第68分钟曹赟定带开杨挺之后左路传中，苏渤洋在马丁斯头上把球打出
69'卡斯特罗左路接球和耶拉维奇撞墙，球被断掉                   69'第69分钟申花用张璐换下王林
71'杜威斜长传，范云龙越位了                   69'第69分钟申花用张璐换下王林
71'范云龙抗议被出示了黄牌                   69'第69分钟申花用张璐换下王林
72'申花再次换人，张璐替下王林                   69'第69分钟申花用张璐换下王林
