3'黄希扬中场抢断，王栋防守犯规                   3'第3分钟，王栋在防守黄希扬时动作过大被出示黄牌
3'吃到本场比赛第一张黄牌                   3'第3分钟，王栋在防守黄希扬时动作过大被出示黄牌
4'开场之后力帆队打得非常积极                   3'第3分钟，王栋在防守黄希扬时动作过大被出示黄牌
4'刘宇右路拿球被踢出边线                   3'第3分钟，王栋在防守黄希扬时动作过大被出示黄牌
5'费尔南多右路突破被断掉了                   3'第3分钟，王栋在防守黄希扬时动作过大被出示黄牌
5'力帆队反抢犯规                   3'第3分钟，王栋在防守黄希扬时动作过大被出示黄牌
6'谢鹏飞右路拿球突破被断，没有第一时间选择传球                   3'第3分钟，王栋在防守黄希扬时动作过大被出示黄牌
18'进球了                   18'第18分钟，力帆再次改写场上比分，刘宇后场断球后传给了中圈弧附近的费尔南多，后者带球长驱直入斜传边路前插的刘宇，刘宇禁区内得球小角度低射球从远角滚入球门
19'力帆后场断球反击，费尔南多带球长驱直入，禁区前沿分球右侧，刘宇拿球到禁区直接打门，球进球门左下角                   18'第18分钟，力帆再次改写场上比分，刘宇后场断球后传给了中圈弧附近的费尔南多，后者带球长驱直入斜传边路前插的刘宇，刘宇禁区内得球小角度低射球从远角滚入球门
19'绿城必须换种踢法了                   18'第18分钟，力帆再次改写场上比分，刘宇后场断球后传给了中圈弧附近的费尔南多，后者带球长驱直入斜传边路前插的刘宇，刘宇禁区内得球小角度低射球从远角滚入球门
20'拉蒙前传，阿甘再后磕，被力帆解围                   18'第18分钟，力帆再次改写场上比分，刘宇后场断球后传给了中圈弧附近的费尔南多，后者带球长驱直入斜传边路前插的刘宇，刘宇禁区内得球小角度低射球从远角滚入球门
20'角球开到后点，被隋维杰挡出                   18'第18分钟，力帆再次改写场上比分，刘宇后场断球后传给了中圈弧附近的费尔南多，后者带球长驱直入斜传边路前插的刘宇，刘宇禁区内得球小角度低射球从远角滚入球门
21'力帆球员大脚解围掉                   18'第18分钟，力帆再次改写场上比分，刘宇后场断球后传给了中圈弧附近的费尔南多，后者带球长驱直入斜传边路前插的刘宇，刘宇禁区内得球小角度低射球从远角滚入球门
38'拉蒙给到左路，阿甘横传，被力帆拿到                   38'第38分钟，杭州绿城获得前场为数不多的进攻机会，拉蒙大禁区线附近横向带球闪开空档后起脚劲射，球擦门柱飞出底线
38'绿城中场直塞，拉蒙右路内切左脚打门偏出                   38'第38分钟，杭州绿城获得前场为数不多的进攻机会，拉蒙大禁区线附近横向带球闪开空档后起脚劲射，球擦门柱飞出底线
39'冯刚中场突破被孙继海抢断                   38'第38分钟，杭州绿城获得前场为数不多的进攻机会，拉蒙大禁区线附近横向带球闪开空档后起脚劲射，球擦门柱飞出底线
39'力帆前场传球被断                   38'第38分钟，杭州绿城获得前场为数不多的进攻机会，拉蒙大禁区线附近横向带球闪开空档后起脚劲射，球擦门柱飞出底线
40'力帆给到门将                   38'第38分钟，杭州绿城获得前场为数不多的进攻机会，拉蒙大禁区线附近横向带球闪开空档后起脚劲射，球擦门柱飞出底线
41'阿甘中场拿球被放倒了                   38'第38分钟，杭州绿城获得前场为数不多的进攻机会，拉蒙大禁区线附近横向带球闪开空档后起脚劲射，球擦门柱飞出底线
51'阿甘中场拿球被踢倒了                   51'第51分钟，阿甘在拼抢时受伤倒地，担架将其抬出场外后进行简单的治疗处理重新投入比赛，球队整体状态的低迷让阿甘很难得到队友的有效支援
52'费尔南多倒在了球场上                   51'第51分钟，阿甘在拼抢时受伤倒地，担架将其抬出场外后进行简单的治疗处理重新投入比赛，球队整体状态的低迷让阿甘很难得到队友的有效支援
52'被担架抬出场外                   51'第51分钟，阿甘在拼抢时受伤倒地，担架将其抬出场外后进行简单的治疗处理重新投入比赛，球队整体状态的低迷让阿甘很难得到队友的有效支援
53'绿城大范围转移到右路，王林要了一个边线球                   51'第51分钟，阿甘在拼抢时受伤倒地，担架将其抬出场外后进行简单的治疗处理重新投入比赛，球队整体状态的低迷让阿甘很难得到队友的有效支援
54'绿城前场直塞失误了                   51'第51分钟，阿甘在拼抢时受伤倒地，担架将其抬出场外后进行简单的治疗处理重新投入比赛，球队整体状态的低迷让阿甘很难得到队友的有效支援
54'绿城右路开向禁区，阿甘拿球带出了底线                   51'第51分钟，阿甘在拼抢时受伤倒地，担架将其抬出场外后进行简单的治疗处理重新投入比赛，球队整体状态的低迷让阿甘很难得到队友的有效支援
62'力帆右路开到禁区后点，出了底线                   62'第62分钟，重庆力帆用冯劲换下了本场比赛一传一射的费尔南多
62'力帆换人，冯劲上场替下费尔南多                   62'第62分钟，重庆力帆用冯劲换下了本场比赛一传一射的费尔南多
63'王林直塞，直接到了力帆球员脚下                   62'第62分钟，重庆力帆用冯劲换下了本场比赛一传一射的费尔南多
63'陈雷左路传中被断                   62'第62分钟，重庆力帆用冯劲换下了本场比赛一传一射的费尔南多
64'绿城反击，阿甘左路拿球突破，球出了底线，门球                   62'第62分钟，重庆力帆用冯劲换下了本场比赛一传一射的费尔南多
64'王林右路直塞，球出了边线                   62'第62分钟，重庆力帆用冯劲换下了本场比赛一传一射的费尔南多
65'力帆中场分球右路直接出了边线                   62'第62分钟，重庆力帆用冯劲换下了本场比赛一传一射的费尔南多
65'王林右路传球被断                   62'第62分钟，重庆力帆用冯劲换下了本场比赛一传一射的费尔南多
86'阿甘禁区前沿拿球晃开防守球员打门，角度太正，被隋维杰没收                   86'第86分钟，拉蒙禁区弧顶出得球利用节奏的变化闪开空档起脚攻门，球被隋维杰轻松没收
87'拉蒙手球犯规                   86'第86分钟，拉蒙禁区弧顶出得球利用节奏的变化闪开空档起脚攻门，球被隋维杰轻松没收
87'维埃拉前场直塞被绿城拿到                   86'第86分钟，拉蒙禁区弧顶出得球利用节奏的变化闪开空档起脚攻门，球被隋维杰轻松没收
88'绿城往禁区传，隋维杰出击将球击出边线                   86'第86分钟，拉蒙禁区弧顶出得球利用节奏的变化闪开空档起脚攻门，球被隋维杰轻松没收
89'张晓彬在后场角旗附近被踢倒                   86'第86分钟，拉蒙禁区弧顶出得球利用节奏的变化闪开空档起脚攻门，球被隋维杰轻松没收
89'冯劲禁区内打门被封堵                   86'第86分钟，拉蒙禁区弧顶出得球利用节奏的变化闪开空档起脚攻门，球被隋维杰轻松没收
49'左路进攻被断                   49'经过4分钟的伤停补时，两队结束了90分钟的比赛，重庆力帆客场3-1力克杭州绿城，取得宝贵3分
49'力帆球员位置都站好了                   49'经过4分钟的伤停补时，两队结束了90分钟的比赛，重庆力帆客场3-1力克杭州绿城，取得宝贵3分
49'绿城也是没什么好办法                   49'经过4分钟的伤停补时，两队结束了90分钟的比赛，重庆力帆客场3-1力克杭州绿城，取得宝贵3分
50'绿城获得角球机会                   49'经过4分钟的伤停补时，两队结束了90分钟的比赛，重庆力帆客场3-1力克杭州绿城，取得宝贵3分
50'角球给到前点被顶出                   49'经过4分钟的伤停补时，两队结束了90分钟的比赛，重庆力帆客场3-1力克杭州绿城，取得宝贵3分
50'费尔南多拿球，曹海清犯规了                   49'经过4分钟的伤停补时，两队结束了90分钟的比赛，重庆力帆客场3-1力克杭州绿城，取得宝贵3分
51'阿甘中场拿球被踢倒了                   49'经过4分钟的伤停补时，两队结束了90分钟的比赛，重庆力帆客场3-1力克杭州绿城，取得宝贵3分
52'费尔南多倒在了球场上                   49'经过4分钟的伤停补时，两队结束了90分钟的比赛，重庆力帆客场3-1力克杭州绿城，取得宝贵3分
52'被担架抬出场外                   49'经过4分钟的伤停补时，两队结束了90分钟的比赛，重庆力帆客场3-1力克杭州绿城，取得宝贵3分
