51'射门!!!热那亚球员巴尔加斯小禁区左侧头球,被对方守门员横身扑出.给他传球的是马图扎伦.                   51'开场6分钟，弗洛雷斯远射被汉达诺维奇化解
53'热那亚球员博列洛大禁区右侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是弗洛雷斯.                   51'开场6分钟，弗洛雷斯远射被汉达诺维奇化解
49'热那亚格兰奎斯特受伤倒地,比赛暂停                   46'1分钟后，曼弗雷迪尼左路传中，博列洛在门前7米处头球被汉达诺维奇飞身单手托出
49'暂停结束,球员们重新开始比赛.                   46'1分钟后，曼弗雷迪尼左路传中，博列洛在门前7米处头球被汉达诺维奇飞身单手托出
49'热那亚格兰奎斯特受伤倒地,比赛暂停                   47'2分钟后，弗洛雷斯在门前25米处抽射偏出近门柱
49'暂停结束,球员们重新开始比赛.                   47'2分钟后，弗洛雷斯在门前25米处抽射偏出近门柱
73'热那亚球员曼弗雷蒂尼拼抢犯规,对手获得控球权.                   73'第28分钟，库兹曼诺维奇在门前25米处主罚任意球打在人墙上
73'卡萨诺为国际米兰赢得一个任意球.                   73'第28分钟，库兹曼诺维奇在门前25米处主罚任意球打在人墙上
74'曼弗雷蒂尼将球处理出底线,国际米兰获得角球.                   73'第28分钟，库兹曼诺维奇在门前25米处主罚任意球打在人墙上
74'国际米兰球员瓜林大禁区外尝试右脚射门,可惜皮球高出右上角球门.                   73'第28分钟，库兹曼诺维奇在门前25米处主罚任意球打在人墙上
75'热那亚换人,库奇卡换下弗洛雷斯                   73'第28分钟，库兹曼诺维奇在门前25米处主罚任意球打在人墙上
90'热那亚换人,莫雷蒂换下巴尔加斯                   89'第44分钟，贝尔托拉奇斜插中路，在门前25米处左脚弧线球又被汉达诺维奇飞身托出左门柱
90'+4'下半场结束,热那亚 0-0 国际米兰                   89'第44分钟，贝尔托拉奇斜插中路，在门前25米处左脚弧线球又被汉达诺维奇飞身托出左门柱
49'热那亚格兰奎斯特受伤倒地,比赛暂停                   47'2分钟后，瓜林外围低射被弗雷扑出
49'暂停结束,球员们重新开始比赛.                   47'2分钟后，瓜林外围低射被弗雷扑出
