2'威廉前场拿球，左路内切后横传中间想找拉米雷斯                   2'开场仅2分钟，布拉希米20码处左脚劲射被贝戈维奇没收
2'结果传球传大，被波尔图球员拦截                   2'开场仅2分钟，布拉希米20码处左脚劲射被贝戈维奇没收
3'佩雷拉前场中路拿球，斜塞给到布拉希米                   2'开场仅2分钟，布拉希米20码处左脚劲射被贝戈维奇没收
3'布拉希米拿球强突，禁区弧左侧起脚怒射，太正，被贝戈维奇没收                   2'开场仅2分钟，布拉希米20码处左脚劲射被贝戈维奇没收
4'波尔图前场抢断，阿布巴卡尔右路拿球，内切到禁区                   2'开场仅2分钟，布拉希米20码处左脚劲射被贝戈维奇没收
4'阿布巴卡尔穿裆斜传找安德烈，力量大了一点点，被贝戈维奇控制                   2'开场仅2分钟，布拉希米20码处左脚劲射被贝戈维奇没收
5'威廉中场拿球，带球到中圈，内维斯身后拉人犯规                   2'开场仅2分钟，布拉希米20码处左脚劲射被贝戈维奇没收
13'阿布巴卡尔接到界外球，横切，禁区外起脚远射，打偏                   13'切尔西第13分钟险些破门，威廉送出直传，佩德罗甩开2人禁区边缘的射门被卡西利亚斯出击救出
13'安德烈右路的横传球到禁区，直接被贝戈维奇没收                   13'切尔西第13分钟险些破门，威廉送出直传，佩德罗甩开2人禁区边缘的射门被卡西利亚斯出击救出
14'切尔西前场进攻，佩德罗中路拿球                   13'切尔西第13分钟险些破门，威廉送出直传，佩德罗甩开2人禁区边缘的射门被卡西利亚斯出击救出
14'佩德罗带球进禁区，面对出击的卡西，一脚推射，被封堵                   13'切尔西第13分钟险些破门，威廉送出直传，佩德罗甩开2人禁区边缘的射门被卡西利亚斯出击救出
15'阿斯皮利奎塔左路拿球，斜塞找科斯塔，边裁举旗，再次越位                   13'切尔西第13分钟险些破门，威廉送出直传，佩德罗甩开2人禁区边缘的射门被卡西利亚斯出击救出
15'马克西-佩雷拉右路的传中球，被阿斯皮利奎塔挡出底线                   13'切尔西第13分钟险些破门，威廉送出直传，佩德罗甩开2人禁区边缘的射门被卡西利亚斯出击救出
16'波尔图获得右侧角球机会，内维斯主罚                   13'切尔西第13分钟险些破门，威廉送出直传，佩德罗甩开2人禁区边缘的射门被卡西利亚斯出击救出
16'角球开出，第一点被回防的小法解围                   13'切尔西第13分钟险些破门，威廉送出直传，佩德罗甩开2人禁区边缘的射门被卡西利亚斯出击救出
16'可惜没踢远，安德烈外围得球，直接远射，被卡希尔再挡出底线                   13'切尔西第13分钟险些破门，威廉送出直传，佩德罗甩开2人禁区边缘的射门被卡西利亚斯出击救出
39'回防的威廉用身体将球挡出                   39'波尔图第39分钟取得领先，因布拉传球，布拉希米切入禁区左侧劲射被贝戈维奇勉强扑出，安德列10码处凌空扫射入网
39'球还在波尔图球员脚下，内维斯拿球，卡希尔上抢将球破坏出边线                   39'波尔图第39分钟取得领先，因布拉传球，布拉希米切入禁区左侧劲射被贝戈维奇勉强扑出，安德列10码处凌空扫射入网
39'波尔图进球啦！！！                   39'波尔图第39分钟取得领先，因布拉传球，布拉希米切入禁区左侧劲射被贝戈维奇勉强扑出，安德列10码处凌空扫射入网
39'安德列-安德烈的进球！！！                   39'波尔图第39分钟取得领先，因布拉传球，布拉希米切入禁区左侧劲射被贝戈维奇勉强扑出，安德列10码处凌空扫射入网
40'布拉希米左路拿球，强突摆脱伊万，再扣过佩德罗的上抢，布拉希米右脚劲射，被贝戈维奇封堵，安德列-安德烈侧身补射，打进！！！                   39'波尔图第39分钟取得领先，因布拉传球，布拉希米切入禁区左侧劲射被贝戈维奇勉强扑出，安德列10码处凌空扫射入网
41'阿布巴卡尔回撤背身接球，卡希尔身后放铲，犯规                   39'波尔图第39分钟取得领先，因布拉传球，布拉希米切入禁区左侧劲射被贝戈维奇勉强扑出，安德列10码处凌空扫射入网
