1'上半场比赛开始！！                   1'双方第1分钟均显得小心谨慎
1'先看下双方的首发阵容                   1'双方第1分钟均显得小心谨慎
1'利物浦首发：1-卡里乌斯；12-戈麦斯，4-范迪克，32-马蒂普，26-罗伯逊；21-张伯伦，5-维纳尔杜姆，23-埃姆雷-詹；19-马内，9-菲尔米诺，11-萨拉赫                    1'双方第1分钟均显得小心谨慎
1'斯旺西(532)：  门将：1-法比安斯基  后卫：28-诺顿、5-范德霍恩、33-费尔南德斯、6-莫森、16-马丁-奥尔森  中场：4-寄诚庸、8-费尔、17-克鲁卡斯  前锋：12-代尔、18-乔丹-阿尤                   1'双方第1分钟均显得小心谨慎
4'利物浦中场拿球给到前场                   1'双方第1分钟均显得小心谨慎
4'张伯伦拿球走中路                   1'双方第1分钟均显得小心谨慎
4'斯旺西这边断球了                   1'双方第1分钟均显得小心谨慎
30'萨拉赫这边吊射一脚                   30'第30分钟，范戴克直传，萨拉赫11码处单刀左脚凌空顺势扫射高出
31'差了那么一点点                   30'第30分钟，范戴克直传，萨拉赫11码处单刀左脚凌空顺势扫射高出
31'上半场比赛已经过了30分钟                   30'第30分钟，范戴克直传，萨拉赫11码处单刀左脚凌空顺势扫射高出
31'比分上双方还是0-0                   30'第30分钟，范戴克直传，萨拉赫11码处单刀左脚凌空顺势扫射高出
31'利物浦左路挑传到禁区                   30'第30分钟，范戴克直传，萨拉赫11码处单刀左脚凌空顺势扫射高出
31'菲尔米诺接球后出了底线                   30'第30分钟，范戴克直传，萨拉赫11码处单刀左脚凌空顺势扫射高出
40'落点并不好                   40'斯旺西第40分钟打破僵局，费德里科角球混战中停下皮球，一旁的莫森10码处扫射左下角入网
40'斯旺西这边获得角球机会                   40'斯旺西第40分钟打破僵局，费德里科角球混战中停下皮球，一旁的莫森10码处扫射左下角入网
40'角球送后点                   40'斯旺西第40分钟打破僵局，费德里科角球混战中停下皮球，一旁的莫森10码处扫射左下角入网
40'队友头球摆渡                   40'斯旺西第40分钟打破僵局，费德里科角球混战中停下皮球，一旁的莫森10码处扫射左下角入网
40'范迪克将球解围出底线                   40'斯旺西第40分钟打破僵局，费德里科角球混战中停下皮球，一旁的莫森10码处扫射左下角入网
40'斯旺西继续角球                   40'斯旺西第40分钟打破僵局，费德里科角球混战中停下皮球，一旁的莫森10码处扫射左下角入网
40'角球这次给到了中路                   40'斯旺西第40分钟打破僵局，费德里科角球混战中停下皮球，一旁的莫森10码处扫射左下角入网
40'1-0！！！                   40'斯旺西第40分钟打破僵局，费德里科角球混战中停下皮球，一旁的莫森10码处扫射左下角入网
41'莫森！！                   40'斯旺西第40分钟打破僵局，费德里科角球混战中停下皮球，一旁的莫森10码处扫射左下角入网
42'角球给到禁区中路，范迪克头球解围没有顶远，费尔南德斯停球下来正好到了莫森脚下，莫森顺势扫射破门！！                   40'斯旺西第40分钟打破僵局，费德里科角球混战中停下皮球，一旁的莫森10码处扫射左下角入网
42'利物浦这边盯人不仅啊                   40'斯旺西第40分钟打破僵局，费德里科角球混战中停下皮球，一旁的莫森10码处扫射左下角入网
43'斯旺西这边庆祝的时候队友自己之间不慎碰了一下                   40'斯旺西第40分钟打破僵局，费德里科角球混战中停下皮球，一旁的莫森10码处扫射左下角入网
43'有人的鼻子也是出血。。。                   40'斯旺西第40分钟打破僵局，费德里科角球混战中停下皮球，一旁的莫森10码处扫射左下角入网
43'斯旺西后场控球下来                   40'斯旺西第40分钟打破僵局，费德里科角球混战中停下皮球，一旁的莫森10码处扫射左下角入网
