2'舜天前场传球失误                   2'开场第2分钟，贵州人和完成第一次射门，纳诺禁区外跟进一脚重炮攻门球高出横梁
2'贵州人和反击打到右路                   2'开场第2分钟，贵州人和完成第一次射门，纳诺禁区外跟进一脚重炮攻门球高出横梁
2'斜传球送到禁区内，周云头球解围出禁区                   2'开场第2分钟，贵州人和完成第一次射门，纳诺禁区外跟进一脚重炮攻门球高出横梁
2'纳诺禁区外围远射打高了                   2'开场第2分钟，贵州人和完成第一次射门，纳诺禁区外跟进一脚重炮攻门球高出横梁
3'周云中场送直塞没有过去                   2'开场第2分钟，贵州人和完成第一次射门，纳诺禁区外跟进一脚重炮攻门球高出横梁
4'纳诺中场拿球将球横敲                   2'开场第2分钟，贵州人和完成第一次射门，纳诺禁区外跟进一脚重炮攻门球高出横梁
5'贵州人和前场抢球对吉翔犯规                   2'开场第2分钟，贵州人和完成第一次射门，纳诺禁区外跟进一脚重炮攻门球高出横梁
5'萨利赫前场准备突破被孙继海卡住身位                   2'开场第2分钟，贵州人和完成第一次射门，纳诺禁区外跟进一脚重炮攻门球高出横梁
13'舜天前场送直塞没有过去                   13'第13分钟，纳诺在防守时阻挡达纳拉赫，舜天获得前场任意球机会，巴力开出任意球达纳拉赫抢点头球攻门，但主裁判鸣哨示意达纳拉赫犯规在线
13'不过纳诺之前先阻挡犯规了                   13'第13分钟，纳诺在防守时阻挡达纳拉赫，舜天获得前场任意球机会，巴力开出任意球达纳拉赫抢点头球攻门，但主裁判鸣哨示意达纳拉赫犯规在线
14'舜天任意球送到禁区内，达纳拉赫头球顶高                   13'第13分钟，纳诺在防守时阻挡达纳拉赫，舜天获得前场任意球机会，巴力开出任意球达纳拉赫抢点头球攻门，但主裁判鸣哨示意达纳拉赫犯规在线
14'不过这个球，裁判先吹了攻方犯规                   13'第13分钟，纳诺在防守时阻挡达纳拉赫，舜天获得前场任意球机会，巴力开出任意球达纳拉赫抢点头球攻门，但主裁判鸣哨示意达纳拉赫犯规在线
15'埃雷尔森后场防守犯规                   13'第13分钟，纳诺在防守时阻挡达纳拉赫，舜天获得前场任意球机会，巴力开出任意球达纳拉赫抢点头球攻门，但主裁判鸣哨示意达纳拉赫犯规在线
