7'拜仁慕尼黑球员穆勒大禁区中央右脚射门,被防守球员封堵.给他传球的是拉姆.                   7'开场7分钟，拉姆右路传中，穆勒在门前12米处推射被鲍尔挡出左门角
7'鲍尔将球处理出底线,拜仁慕尼黑获得角球.                   7'开场7分钟，拉姆右路传中，穆勒在门前12米处推射被鲍尔挡出左门角
9'进球啦！！！拜仁慕尼黑球员阿隆索大禁区外右脚射门,球从右上角飞进球门,球进了! 拜仁慕尼黑 1-0 不来梅.                   7'开场7分钟，拉姆右路传中，穆勒在门前12米处推射被鲍尔挡出左门角
10'不来梅球员卡尔迪罗拉大禁区外左脚射门,被防守球员封堵.                   7'开场7分钟，拉姆右路传中，穆勒在门前12米处推射被鲍尔挡出左门角
10'不来梅球员维德瓦尔德一脚直塞球给亚塔巴雷,但是边裁举旗显示后者已经越位.                   7'开场7分钟，拉姆右路传中，穆勒在门前12米处推射被鲍尔挡出左门角
13'进球啦！！！拜仁慕尼黑球员莱万多夫斯基球门左侧小角度右脚射门,球从中路偏上飞进球门,球进了!助攻的是里贝里. 拜仁慕尼黑 2-0 不来梅.                   13'拜仁第13分钟扩大优势，里贝里后场左路精准直传，莱万反越位单刀突入禁区左侧，在门前7米处小角度推射入远角，2比0
14'塞拉西为不来梅赢得一个任意球.                   13'拜仁第13分钟扩大优势，里贝里后场左路精准直传，莱万反越位单刀突入禁区左侧，在门前7米处小角度推射入远角，2比0
14'拜仁慕尼黑球员里贝里拼抢犯规,对手获得控球权.                   13'拜仁第13分钟扩大优势，里贝里后场左路精准直传，莱万反越位单刀突入禁区左侧，在门前7米处小角度推射入远角，2比0
16'弗里茨为不来梅在右路,赢得一个任意球.                   13'拜仁第13分钟扩大优势，里贝里后场左路精准直传，莱万反越位单刀突入禁区左侧，在门前7米处小角度推射入远角，2比0
16'拜仁慕尼黑球员胡梅尔斯拼抢犯规,对手获得控球权.                   13'拜仁第13分钟扩大优势，里贝里后场左路精准直传，莱万反越位单刀突入禁区左侧，在门前7米处小角度推射入远角，2比0
66'进球啦！！！拜仁慕尼黑球员拉姆球门右侧小角度右脚射门,球从左下角飞进球门,球进了!助攻的是穆勒. 拜仁慕尼黑 4-0 不来梅.                   66'拜仁第66分钟扩大战果，比达尔分球，拉姆右路与穆勒踢墙配合，穆勒回敲，拉姆在门前8米处小角度打进远角，4比0
68'弗里茨为不来梅赢得一个任意球.                   66'拜仁第66分钟扩大战果，比达尔分球，拉姆右路与穆勒踢墙配合，穆勒回敲，拉姆在门前8米处小角度打进远角，4比0
68'拜仁慕尼黑球员蒂亚戈拼抢犯规,对手获得控球权.                   66'拜仁第66分钟扩大战果，比达尔分球，拉姆右路与穆勒踢墙配合，穆勒回敲，拉姆在门前8米处小角度打进远角，4比0
69'射门!!!不来梅球员塞拉西大禁区外左脚射门,被对方守门员横身扑出.给他传球的是迪亚涅.                   66'拜仁第66分钟扩大战果，比达尔分球，拉姆右路与穆勒踢墙配合，穆勒回敲，拉姆在门前8米处小角度打进远角，4比0
73'进球啦！！！拜仁慕尼黑球员里贝里大禁区中央右脚射门,球从中路偏上飞进球门,球进了!助攻的是穆勒. 拜仁慕尼黑 5-0 不来梅.                   73'第73分钟，拉姆直传，穆勒右路低传，里贝里点球点附近推进右上角，5比0
74'不来梅换人,埃格斯泰因换下格里利奇                   73'第73分钟，拉姆直传，穆勒右路低传，里贝里点球点附近推进右上角，5比0
74'拜仁慕尼黑换人,拉菲尼亚换下拉姆                   73'第73分钟，拉姆直传，穆勒右路低传，里贝里点球点附近推进右上角，5比0
76'不来梅球员埃格斯泰因犯规,致使对方获得点球.                   73'第73分钟，拉姆直传，穆勒右路低传，里贝里点球点附近推进右上角，5比0
76'点球,拉菲尼亚在禁区内被侵犯,拜仁慕尼黑获得点球.                   73'第73分钟，拉姆直传，穆勒右路低传，里贝里点球点附近推进右上角，5比0
77'进球啦！！！拜仁慕尼黑球员莱万多夫斯基右脚射门,球从左下角飞进球门,球进了! 拜仁慕尼黑 6-0 不来梅.                   77'第77分钟，刚出场的禁区内埃格施泰因挑球力量太大，接着上手拉倒拉菲尼亚，点球
78'拜仁慕尼黑换人,贝尔纳特换下阿拉巴                   77'第77分钟，刚出场的禁区内埃格施泰因挑球力量太大，接着上手拉倒拉菲尼亚，点球
80'拜仁慕尼黑球员莱万多夫斯基大禁区中央右脚射门,被防守球员封堵.给他传球的是里贝里.                   77'第77分钟，刚出场的禁区内埃格施泰因挑球力量太大，接着上手拉倒拉菲尼亚，点球
80'埃格斯泰因将球处理出底线,拜仁慕尼黑获得角球.                   77'第77分钟，刚出场的禁区内埃格施泰因挑球力量太大，接着上手拉倒拉菲尼亚，点球
