1'上半场比赛开始！                   1'阿森纳第1分钟就积极施压，第6分钟，弗拉米尼传球，拉姆塞30码处远射高出
1'阿森纳长传找维尔贝克                   1'阿森纳第1分钟就积极施压，第6分钟，弗拉米尼传球，拉姆塞30码处远射高出
1'维尔贝克头球摆渡了一下后被曼城拿到                   1'阿森纳第1分钟就积极施压，第6分钟，弗拉米尼传球，拉姆塞30码处远射高出
2'阿森纳中场控球，横向转移                   1'阿森纳第1分钟就积极施压，第6分钟，弗拉米尼传球，拉姆塞30码处远射高出
2'这球险些出现了失误啊                   1'阿森纳第1分钟就积极施压，第6分钟，弗拉米尼传球，拉姆塞30码处远射高出
2'曼城在阿森纳的后场逼抢的很紧                   1'阿森纳第1分钟就积极施压，第6分钟，弗拉米尼传球，拉姆塞30码处远射高出
2'席尔瓦拿球给到右路的纳瓦斯                   1'阿森纳第1分钟就积极施压，第6分钟，弗拉米尼传球，拉姆塞30码处远射高出
2'纳瓦斯这边没有机会，将球转移                   1'阿森纳第1分钟就积极施压，第6分钟，弗拉米尼传球，拉姆塞30码处远射高出
3'曼城中场拿球回敲被碰出边线                   1'阿森纳第1分钟就积极施压，第6分钟，弗拉米尼传球，拉姆塞30码处远射高出
3'米尔纳左路突破还是被解围                   1'阿森纳第1分钟就积极施压，第6分钟，弗拉米尼传球，拉姆塞30码处远射高出
3'阿森纳后场长传被拦截了                   1'阿森纳第1分钟就积极施压，第6分钟，弗拉米尼传球，拉姆塞30码处远射高出
3'但很快曼城又将球丢了                   1'阿森纳第1分钟就积极施压，第6分钟，弗拉米尼传球，拉姆塞30码处远射高出
4'拉姆塞中场拿球被费尔南迪尼奥撞倒                   1'阿森纳第1分钟就积极施压，第6分钟，弗拉米尼传球，拉姆塞30码处远射高出
4'费尔南迪尼奥也是被裁判叫了过去                   1'阿森纳第1分钟就积极施压，第6分钟，弗拉米尼传球，拉姆塞30码处远射高出
4'萨巴莱塔中场拿球给到中路                   1'阿森纳第1分钟就积极施压，第6分钟，弗拉米尼传球，拉姆塞30码处远射高出
4'阿森纳中场断球了                   1'阿森纳第1分钟就积极施压，第6分钟，弗拉米尼传球，拉姆塞30码处远射高出
4'禁区弧顶的直塞没有过去                   1'阿森纳第1分钟就积极施压，第6分钟，弗拉米尼传球，拉姆塞30码处远射高出
