1'上半场比赛开始！！                   1'皇马第1分钟展开积极攻势，J罗的外围射门被瓜伊塔扑出
1'白衣白裤的皇马开球，从画面的左侧向右进攻！！                   1'皇马第1分钟展开积极攻势，J罗的外围射门被瓜伊塔扑出
1'卡瓦哈尔右路拿球，过顶斜传找伊斯科                   1'皇马第1分钟展开积极攻势，J罗的外围射门被瓜伊塔扑出
1'伊斯科停球没停好，被后卫拦截！！                   1'皇马第1分钟展开积极攻势，J罗的外围射门被瓜伊塔扑出
2'皇马中场抢断，J罗前场拿球，强突到禁区！！                   1'皇马第1分钟展开积极攻势，J罗的外围射门被瓜伊塔扑出
2'面对夹击，球被后卫出脚破坏！！                   1'皇马第1分钟展开积极攻势，J罗的外围射门被瓜伊塔扑出
2'卡瓦哈尔右路拿球，内切被放倒在地！！                   1'皇马第1分钟展开积极攻势，J罗的外围射门被瓜伊塔扑出
2'皇马前场右路的任意球机会！！                   1'皇马第1分钟展开积极攻势，J罗的外围射门被瓜伊塔扑出
2'克罗斯任意球斜传禁区，没人顶到！！                   1'皇马第1分钟展开积极攻势，J罗的外围射门被瓜伊塔扑出
3'球弹地后，被赫塔菲球员解围出边线！！                   1'皇马第1分钟展开积极攻势，J罗的外围射门被瓜伊塔扑出
3'贝尔左路拿球，强突下底，倒三角回传，被比加雷解围！！                   1'皇马第1分钟展开积极攻势，J罗的外围射门被瓜伊塔扑出
4'卡瓦哈尔右路拿球，面对逼抢，回传佩佩！！                   1'皇马第1分钟展开积极攻势，J罗的外围射门被瓜伊塔扑出
4'佩佩再给瓦拉内，瓦拉内给左侧的马塞洛！！                   1'皇马第1分钟展开积极攻势，J罗的外围射门被瓜伊塔扑出
4'马塞洛的左路斜传球，第一点被贝尔吉尼解围                   1'皇马第1分钟展开积极攻势，J罗的外围射门被瓜伊塔扑出
16'皇马的左侧角球机会，并未形成威胁！！                   16'皇马第16分钟险些破门，J罗传球，C罗禁区边缘外的射门憾中左侧立柱
16'今天球场的积水很严重啊！！                   16'皇马第16分钟险些破门，J罗传球，C罗禁区边缘外的射门憾中左侧立柱
16'皇马前场再攻，击中立柱！！                   16'皇马第16分钟险些破门，J罗传球，C罗禁区边缘外的射门憾中左侧立柱
17'伊斯科前场拿球，强突到禁区，回传C罗，C罗停球一拨，禁区线上右脚低射打球门左下角，击中立柱弹回！                   16'皇马第16分钟险些破门，J罗传球，C罗禁区边缘外的射门憾中左侧立柱
17'赫塔菲的反击，右路的传中球，打在马塞洛脚上出底线！                   16'皇马第16分钟险些破门，J罗传球，C罗禁区边缘外的射门憾中左侧立柱
18'赫塔菲的右侧角球机会，并未形成威胁！！                   16'皇马第16分钟险些破门，J罗传球，C罗禁区边缘外的射门憾中左侧立柱
18'克罗斯前场中路拿球，分球右侧给贝尔                   16'皇马第16分钟险些破门，J罗传球，C罗禁区边缘外的射门憾中左侧立柱
19'贝尔再给中间的本泽马，本泽马分球C罗                   16'皇马第16分钟险些破门，J罗传球，C罗禁区边缘外的射门憾中左侧立柱
19'C罗脚后跟斜传右侧上来的伊斯科                   16'皇马第16分钟险些破门，J罗传球，C罗禁区边缘外的射门憾中左侧立柱
19'伊斯科边路拿球，传中到禁区，打在后卫身上，被瓜伊塔出击拿到！                   16'皇马第16分钟险些破门，J罗传球，C罗禁区边缘外的射门憾中左侧立柱
19'莱昂中场抢断，反击，摆脱马塞洛的逼抢，进入禁区                   16'皇马第16分钟险些破门，J罗传球，C罗禁区边缘外的射门憾中左侧立柱
29'贝尔拿球内切，禁区角上左脚起球，似传似射，直接被瓜伊塔拿到！                   29'皇马第29分钟打破僵局，J罗右路斜传，反越位成功的本泽马小禁区前第一时间推射入网
29'皇马进球！！                   29'皇马第29分钟打破僵局，J罗右路斜传，反越位成功的本泽马小禁区前第一时间推射入网
29'本泽马的推射！！                   29'皇马第29分钟打破僵局，J罗右路斜传，反越位成功的本泽马小禁区前第一时间推射入网
31'J罗右路拿球，内切后左脚搓传打身后，本泽马反越位成功，面对瓜伊塔，轻松推射打进！！                   29'皇马第29分钟打破僵局，J罗右路斜传，反越位成功的本泽马小禁区前第一时间推射入网
31'卡瓦哈尔右路拿球，一扣摆脱萨拉比亚                   29'皇马第29分钟打破僵局，J罗右路斜传，反越位成功的本泽马小禁区前第一时间推射入网
31'带球到前场，面对逼抢，横传克罗斯                   29'皇马第29分钟打破僵局，J罗右路斜传，反越位成功的本泽马小禁区前第一时间推射入网
32'克罗斯再给伊斯科，伊斯科分球贝尔                   29'皇马第29分钟打破僵局，J罗右路斜传，反越位成功的本泽马小禁区前第一时间推射入网
32'贝尔禁区弧顶背身拿球，转身分球右侧给C罗                   29'皇马第29分钟打破僵局，J罗右路斜传，反越位成功的本泽马小禁区前第一时间推射入网
32'C罗停球，调整一下，起脚打门，被瓜伊塔挡出底线！！                   29'皇马第29分钟打破僵局，J罗右路斜传，反越位成功的本泽马小禁区前第一时间推射入网
32'皇马的右侧角球机会！！                   29'皇马第29分钟打破僵局，J罗右路斜传，反越位成功的本泽马小禁区前第一时间推射入网
42'不好意思，刚刚网络故障啦！！                   40'皇马第40分钟扩大比分，伊斯科同贝尔配合后前场突破，又同本泽马踢墙配合后小禁区前外脚背弹射入网，2-0
42'目前比分2-0，皇马领先，上半场比赛进行到了42分钟！！                   40'皇马第40分钟扩大比分，伊斯科同贝尔配合后前场突破，又同本泽马踢墙配合后小禁区前外脚背弹射入网，2-0
43'萨拉比亚右路进攻，斜传球到禁区，直接被纳瓦斯没收！                   40'皇马第40分钟扩大比分，伊斯科同贝尔配合后前场突破，又同本泽马踢墙配合后小禁区前外脚背弹射入网，2-0
50'3-0！！                   50'皇马第50分钟锁定胜局，本泽马传球，贝尔高速突入禁区右肋10码处单刀推射远角入网，3-0
50'贝尔的进球！！                   50'皇马第50分钟锁定胜局，本泽马传球，贝尔高速突入禁区右肋10码处单刀推射远角入网，3-0
51'贝尔右路拿球，强突摆脱回防的贝尔吉尼，内切到禁区，面对瓜伊塔，左脚推射远角打进！！                   50'皇马第50分钟锁定胜局，本泽马传球，贝尔高速突入禁区右肋10码处单刀推射远角入网，3-0
