2'Mirko Valdifiori为恩波利赢得一个任意球.                   1'第1分钟，两队都难以攻入禁区
2'国际米兰球员坎帕尼亚罗拼抢犯规,对手获得控球权.                   1'第1分钟，两队都难以攻入禁区
43'伊卡尔迪为国际米兰赢得一个任意球.                   43'第43分钟，拉诺基亚在无球状态下被克罗切绊倒，一瘸一拐到场边接受治疗
43'恩波利球员鲁加尼拼抢犯规,对手获得控球权.                   43'第43分钟，拉诺基亚在无球状态下被克罗切绊倒，一瘸一拐到场边接受治疗
43'国际米兰拉诺齐亚受伤倒地,比赛暂停                   43'第43分钟，拉诺基亚在无球状态下被克罗切绊倒，一瘸一拐到场边接受治疗
44'暂停结束,球员们重新开始比赛.                   43'第43分钟，拉诺基亚在无球状态下被克罗切绊倒，一瘸一拐到场边接受治疗
45'+1'国际米兰球员埃尔纳内斯拼抢犯规,对手获得控球权.                   43'第43分钟，拉诺基亚在无球状态下被克罗切绊倒，一瘸一拐到场边接受治疗
45'+1'Federico Barba为恩波利赢得一个任意球.                   43'第43分钟，拉诺基亚在无球状态下被克罗切绊倒，一瘸一拐到场边接受治疗
45'+1'拉诺齐亚将球处理出底线,恩波利获得角球.                   43'第43分钟，拉诺基亚在无球状态下被克罗切绊倒，一瘸一拐到场边接受治疗
45'+1'恩波利球员鲁加尼大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是Mirko Valdifiori.                   43'第43分钟，拉诺基亚在无球状态下被克罗切绊倒，一瘸一拐到场边接受治疗
45'+2'上半场结束,恩波利 0-0 国际米兰,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，拉诺基亚在无球状态下被克罗切绊倒，一瘸一拐到场边接受治疗
45'国际米兰换人,安德雷奥利上,拉诺齐亚因伤下场.                   43'第43分钟，拉诺基亚在无球状态下被克罗切绊倒，一瘸一拐到场边接受治疗
52'Federico Barba将球处理出底线,国际米兰获得角球.                   52'第52分钟，波多尔斯基右侧开出角球，维迪奇在门前5米处顶出弹地球贴左门柱而出
52'国际米兰球员维迪奇球门线跟前尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是波多尔斯基.                   52'第52分钟，波多尔斯基右侧开出角球，维迪奇在门前5米处顶出弹地球贴左门柱而出
