3'皇家社会球员贝拉右侧远离球门处小角度左脚射门,命中门柱横梁.给他传球的是阿吉雷谢.                   1'前阿森纳边锋贝拉第1分钟不久就打中客队横梁
3'阿齐兹将球处理出底线,皇家社会获得角球.                   1'前阿森纳边锋贝拉第1分钟不久就打中客队横梁
4'贝尔萨将球处理出底线,皇家社会获得角球.                   1'前阿森纳边锋贝拉第1分钟不久就打中客队横梁
4'纳瓦诺将球处理出底线,皇家社会获得角球.                   1'前阿森纳边锋贝拉第1分钟不久就打中客队横梁
30'皇家社会球员德拉贝利亚自摆乌龙,皇家社会 0-1 阿尔梅里亚                   30'第30分钟，苏比卡莱出击打出传中球，皮球却打在队友德拉贝拉胸口反弹入空门，但回放显示客队传中时越位在先
31'射门!!!皇家社会球员贝拉大禁区外左脚射门,被对方守门员横身扑出.给他传球的是格拉内罗.                   30'第30分钟，苏比卡莱出击打出传中球，皮球却打在队友德拉贝拉胸口反弹入空门，但回放显示客队传中时越位在先
32'阿尔梅里亚球员纳瓦诺一脚直塞球给埃德加,但是边裁举旗显示后者已经越位.                   30'第30分钟，苏比卡莱出击打出传中球，皮球却打在队友德拉贝拉胸口反弹入空门，但回放显示客队传中时越位在先
53'皇家社会球员贝尔加拉大禁区中央头球,命中门柱右侧立柱.给他传球的是卡纳莱斯.                   53'第53分钟，贝尔加拉头球攻门再次打中客队横梁
54'阿尔梅里亚球员迪巴比耶拼抢犯规,对手获得控球权.                   53'第53分钟，贝尔加拉头球攻门再次打中客队横梁
54'贝拉为皇家社会在对方半场,赢得一个任意球.                   53'第53分钟，贝尔加拉头球攻门再次打中客队横梁
54'黄牌！阿尔梅里亚球员迪巴比耶因为恶意犯规,被主裁判出示黄牌.                   53'第53分钟，贝尔加拉头球攻门再次打中客队横梁
55'皇家社会球员卡纳莱斯大禁区外左脚射门,被防守球员封堵.                   53'第53分钟，贝尔加拉头球攻门再次打中客队横梁
55'Zaldúa将球处理出底线,阿尔梅里亚获得角球.                   53'第53分钟，贝尔加拉头球攻门再次打中客队横梁
56'阿尔梅里亚球员Tommer Hemed拼抢犯规,对手获得控球权.                   53'第53分钟，贝尔加拉头球攻门再次打中客队横梁
56'阿吉雷谢为皇家社会赢得一个任意球.                   53'第53分钟，贝尔加拉头球攻门再次打中客队横梁
56'埃德加为阿尔梅里亚赢得一个任意球.                   53'第53分钟，贝尔加拉头球攻门再次打中客队横梁
56'皇家社会球员贝尔加拉拼抢犯规,对手获得控球权.                   53'第53分钟，贝尔加拉头球攻门再次打中客队横梁
56'黄牌！皇家社会球员贝尔加拉因为恶意犯规,被主裁判出示黄牌.                   53'第53分钟，贝尔加拉头球攻门再次打中客队横梁
85'进球啦！！！皇家社会球员卡斯特罗大禁区中央左脚射门,球从右下角飞进球门,球进了!助攻的是哈维-普列托. 皇家社会 1-2 阿尔梅里亚.                   85'皇家社会第85分钟扳回一城，普列托传球，卡斯特罗凌空停球后8码处转身扫射入网
86'马丁内斯为阿尔梅里亚赢得一个任意球.                   85'皇家社会第85分钟扳回一城，普列托传球，卡斯特罗凌空停球后8码处转身扫射入网
86'皇家社会球员阿吉雷谢拼抢犯规,对手获得控球权.                   85'皇家社会第85分钟扳回一城，普列托传球，卡斯特罗凌空停球后8码处转身扫射入网
86'帕特尔为阿尔梅里亚在对方半场,赢得一个任意球.                   85'皇家社会第85分钟扳回一城，普列托传球，卡斯特罗凌空停球后8码处转身扫射入网
86'皇家社会球员格拉内罗拼抢犯规,对手获得控球权.                   85'皇家社会第85分钟扳回一城，普列托传球，卡斯特罗凌空停球后8码处转身扫射入网
87'格拉内罗将球处理出底线,阿尔梅里亚获得角球.                   85'皇家社会第85分钟扳回一城，普列托传球，卡斯特罗凌空停球后8码处转身扫射入网
88'阿尔梅里亚球员乔纳森拼抢犯规,对手获得控球权.                   85'皇家社会第85分钟扳回一城，普列托传球，卡斯特罗凌空停球后8码处转身扫射入网
88'德拉贝利亚为皇家社会赢得一个任意球.                   85'皇家社会第85分钟扳回一城，普列托传球，卡斯特罗凌空停球后8码处转身扫射入网
88'阿尔梅里亚球员纳瓦诺拼抢犯规,对手获得控球权.                   85'皇家社会第85分钟扳回一城，普列托传球，卡斯特罗凌空停球后8码处转身扫射入网
88'贝拉为皇家社会在对方半场,赢得一个任意球.                   85'皇家社会第85分钟扳回一城，普列托传球，卡斯特罗凌空停球后8码处转身扫射入网
88'黄牌！阿尔梅里亚球员纳瓦诺因为恶意犯规,被主裁判出示黄牌.                   85'皇家社会第85分钟扳回一城，普列托传球，卡斯特罗凌空停球后8码处转身扫射入网
