1'比赛开始了                   1'客队第1分钟展开积极攻势，霍普卡特禁区左侧的射门被封堵
1'阿森纳身穿蓝色球衣，看着有点帅帅的                   1'客队第1分钟展开积极攻势，霍普卡特禁区左侧的射门被封堵
1'阿森纳后场传球失误，客队杀进了禁区，贝莱林把球解围，客队角球                   1'客队第1分钟展开积极攻势，霍普卡特禁区左侧的射门被封堵
2'右侧角球发出来，第一点被威尔希尔得到，顶出了禁区了                   1'客队第1分钟展开积极攻势，霍普卡特禁区左侧的射门被封堵
2'威尔希尔带球突破，没有第一时间把球交出来                   1'客队第1分钟展开积极攻势，霍普卡特禁区左侧的射门被封堵
2'阿森纳还是牢牢控制着场上局面                   1'客队第1分钟展开积极攻势，霍普卡特禁区左侧的射门被封堵
3'客队厄斯特松德是本赛季欧联杯最大的黑马                   1'客队第1分钟展开积极攻势，霍普卡特禁区左侧的射门被封堵
4'阿森纳来了了，左侧的科拉西纳斯左侧突破，被对手捅出底线                   1'客队第1分钟展开积极攻势，霍普卡特禁区左侧的射门被封堵
4'阿森纳征战欧联杯这种级别的欧战，还是在1999-2000赛季，我们枪手都是玩欧冠的                   1'客队第1分钟展开积极攻势，霍普卡特禁区左侧的射门被封堵
22'进球了！！！！！                   22'奥斯特桑斯第22分钟取得领先，格多斯传球，艾什禁区右侧的射门被试图在空门前解围的钱伯斯挡入
23'厄斯特松德先声夺人！！！                   22'奥斯特桑斯第22分钟取得领先，格多斯传球，艾什禁区右侧的射门被试图在空门前解围的钱伯斯挡入
24'厄斯特松德反击，右侧的爱什反越位成功，带球杀进禁区，右侧推射远角得手！！                   22'奥斯特桑斯第22分钟取得领先，格多斯传球，艾什禁区右侧的射门被试图在空门前解围的钱伯斯挡入
24'又进了！！！！                   22'奥斯特桑斯第22分钟取得领先，格多斯传球，艾什禁区右侧的射门被试图在空门前解围的钱伯斯挡入
24'厄斯特松德再次取得进球，温格有点着急了                   22'奥斯特桑斯第22分钟取得领先，格多斯传球，艾什禁区右侧的射门被试图在空门前解围的钱伯斯挡入
25'伊沃比中场失误，穆基比把球断下！找到前场左路的塞马，后者一个转身杀到小禁区左侧扫射底角命中！！！                   22'奥斯特桑斯第22分钟取得领先，格多斯传球，艾什禁区右侧的射门被试图在空门前解围的钱伯斯挡入
47'阿森纳前场组织进攻，梅希塔扬反抢犯规                   47'阿森纳第47分钟扳回一城，贝莱林右路下底传中远点，科拉希纳茨10码处停球后半凌空抽射入网，1-2
48'12号赛马一个人干两个人，仍然不落下风                   47'阿森纳第47分钟扳回一城，贝莱林右路下底传中远点，科拉希纳茨10码处停球后半凌空抽射入网，1-2
47'阿森纳上半场防线被打穿，奈尔斯负有不可推卸的责任                   47'阿森纳第47分钟扳回一城，贝莱林右路下底传中远点，科拉希纳茨10码处停球后半凌空抽射入网，1-2
47'进球了！！！！                   47'阿森纳第47分钟扳回一城，贝莱林右路下底传中远点，科拉希纳茨10码处停球后半凌空抽射入网，1-2
47'进球的是科拉希纳茨！！！                   47'阿森纳第47分钟扳回一城，贝莱林右路下底传中远点，科拉希纳茨10码处停球后半凌空抽射入网，1-2
48'阿森纳中场五打三的机会，右侧传球到禁区内，对方后卫摩西比解围踢空了，科拉希纳茨停了一下，转身抽射破网！！                   47'阿森纳第47分钟扳回一城，贝莱林右路下底传中远点，科拉希纳茨10码处停球后半凌空抽射入网，1-2
49'枪手再次赢得角球                   47'阿森纳第47分钟扳回一城，贝莱林右路下底传中远点，科拉希纳茨10码处停球后半凌空抽射入网，1-2
49'左侧角球开出来，科拉希纳茨试图逼抢，把球碰出底线                   47'阿森纳第47分钟扳回一城，贝莱林右路下底传中远点，科拉希纳茨10码处停球后半凌空抽射入网，1-2
49'又来了！！！                   47'阿森纳第47分钟扳回一城，贝莱林右路下底传中远点，科拉希纳茨10码处停球后半凌空抽射入网，1-2
50'维尔贝克前场反抢成功，角度很小了，黑贝想法太多了，面对门将竟然挑射，高出球门了                   47'阿森纳第47分钟扳回一城，贝莱林右路下底传中远点，科拉希纳茨10码处停球后半凌空抽射入网，1-2
50'这球维尔希尔传球很到位，对方后卫失误给了黑贝一次机会，可惜黑贝没有把握住                   47'阿森纳第47分钟扳回一城，贝莱林右路下底传中远点，科拉希纳茨10码处停球后半凌空抽射入网，1-2
