4'姜至鹏中场沿边路带球突破孙可的防守送一脚斜塞，可惜队友没有拿到                   4'第4分钟，姜至鹏中场沿边路带球突破孙可的防守送一脚斜塞，可惜队友没有拿到
5'孙可后场防守犯规送给申鑫队前场任意球机会                   4'第4分钟，姜至鹏中场沿边路带球突破孙可的防守送一脚斜塞，可惜队友没有拿到
6'申鑫任意球送到禁区内，第一点被申鑫队顶到，可惜第二点无人接应                   4'第4分钟，姜至鹏中场沿边路带球突破孙可的防守送一脚斜塞，可惜队友没有拿到
7'克里维茨左路拿球寻求突破没有成功                   4'第4分钟，姜至鹏中场沿边路带球突破孙可的防守送一脚斜塞，可惜队友没有拿到
8'舜天队禁区外围有远射的机会，但被雅伊尔顿抢断                   8'第8分钟，陆博飞后场抢球对朱宝杰犯规，申鑫队前场左路再获任意球机会，姜至鹏任意球送到禁区后点，队友第一下没有接好，申鑫队右路再起，结果禁区内申鑫队两点包抄队友是互相让了一下，错失射门良机
8'陆博飞后场抢球对朱宝杰犯规                   8'第8分钟，陆博飞后场抢球对朱宝杰犯规，申鑫队前场左路再获任意球机会，姜至鹏任意球送到禁区后点，队友第一下没有接好，申鑫队右路再起，结果禁区内申鑫队两点包抄队友是互相让了一下，错失射门良机
8'申鑫前场再次获得任意球机会                   8'第8分钟，陆博飞后场抢球对朱宝杰犯规，申鑫队前场左路再获任意球机会，姜至鹏任意球送到禁区后点，队友第一下没有接好，申鑫队右路再起，结果禁区内申鑫队两点包抄队友是互相让了一下，错失射门良机
9'姜至鹏任意球送到禁区后点，队友第一下没有接好                   8'第8分钟，陆博飞后场抢球对朱宝杰犯规，申鑫队前场左路再获任意球机会，姜至鹏任意球送到禁区后点，队友第一下没有接好，申鑫队右路再起，结果禁区内申鑫队两点包抄队友是互相让了一下，错失射门良机
9'申鑫队右路再起，结果禁区内申鑫队两点包抄队友是互相让了一下                   8'第8分钟，陆博飞后场抢球对朱宝杰犯规，申鑫队前场左路再获任意球机会，姜至鹏任意球送到禁区后点，队友第一下没有接好，申鑫队右路再起，结果禁区内申鑫队两点包抄队友是互相让了一下，错失射门良机
10'舜天队后场拿球挑传送到前场                   8'第8分钟，陆博飞后场抢球对朱宝杰犯规，申鑫队前场左路再获任意球机会，姜至鹏任意球送到禁区后点，队友第一下没有接好，申鑫队右路再起，结果禁区内申鑫队两点包抄队友是互相让了一下，错失射门良机
11'克里维茨前场传球给到底线的孙可                   8'第8分钟，陆博飞后场抢球对朱宝杰犯规，申鑫队前场左路再获任意球机会，姜至鹏任意球送到禁区后点，队友第一下没有接好，申鑫队右路再起，结果禁区内申鑫队两点包抄队友是互相让了一下，错失射门良机
