30'莫德里奇中场拿球，直塞找前插的J罗，边裁举旗，又是越位                   30'皇马进攻略显急躁，前30分钟5次落入越位陷阱
30'C罗前场拿球，强突进入禁区，面对贴防的纳乔，下底时摔倒在地                   30'皇马进攻略显急躁，前30分钟5次落入越位陷阱
31'主裁判并未表示，球出了底线，巴列卡诺的门球                   30'皇马进攻略显急躁，前30分钟5次落入越位陷阱
32'只要球到C罗脚下，全场球迷则是嘘声四起，这仇有多大啊                   30'皇马进攻略显急躁，前30分钟5次落入越位陷阱
32'本场比赛之前C罗生涯为皇马打进了多少个进球？1、297，；2、298；3、299,；4、300[qiangda]                   30'皇马进攻略显急躁，前30分钟5次落入越位陷阱
33'恩巴巴左路拿球，内切强突卡瓦哈尔                   30'皇马进攻略显急躁，前30分钟5次落入越位陷阱
33'瓦拉内补防，在恩巴巴出球时一脚将球捅出                   30'皇马进攻略显急躁，前30分钟5次落入越位陷阱
33'巴列卡诺再次获得左侧角球机会                   30'皇马进攻略显急躁，前30分钟5次落入越位陷阱
41'皇马获得前场左路的任意球机会                   41'第41分钟，哈梅斯-罗德里格斯任意球传中，但C-罗纳尔多头球攻门高出
41'任意球斜传禁区，瓦拉内前点掩护，无人防守的C罗冲顶，顶高                   41'第41分钟，哈梅斯-罗德里格斯任意球传中，但C-罗纳尔多头球攻门高出
42'马塞洛左路拿球，直塞找J罗，在防守球员干扰下，没能停好，球出边线                   41'第41分钟，哈梅斯-罗德里格斯任意球传中，但C-罗纳尔多头球攻门高出
43'卡斯特罗后场拿球，面对J罗的上抢，一扣摆脱，再给法塔乌                   41'第41分钟，哈梅斯-罗德里格斯任意球传中，但C-罗纳尔多头球攻门高出
43'法塔乌的直塞找马努乔，拉莫斯上抢将球断掉                   41'第41分钟，哈梅斯-罗德里格斯任意球传中，但C-罗纳尔多头球攻门高出
44'目前的控球率：巴列卡诺61%，皇马39%                   41'第41分钟，哈梅斯-罗德里格斯任意球传中，但C-罗纳尔多头球攻门高出
44'巴列卡诺前场进攻，右路的传中，后点无人防守的恩巴巴，头球冲顶近角，卡西将球奋力拦截                   41'第41分钟，哈梅斯-罗德里格斯任意球传中，但C-罗纳尔多头球攻门高出
