2'维迪耶罗为巴勒莫赢得一个任意球.                   1'第1分钟战局平稳
2'尤文图斯球员斯图若多危险动作,对手获得控球权.                   1'第1分钟战局平稳
3'里斯波利为巴勒莫赢得一个任意球.                   1'第1分钟战局平稳
3'尤文图斯球员博切列拼抢犯规,对手获得控球权.                   1'第1分钟战局平稳
25'尤文图斯球员斯图若多大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是特维斯.                   25'第25分钟，特维斯直传禁区左侧，斯图拉罗左脚射门偏出近门柱
26'达普雷拉为巴勒莫赢得一个任意球.                   25'第25分钟，特维斯直传禁区左侧，斯图拉罗左脚射门偏出近门柱
26'尤文图斯球员利希施泰纳拼抢犯规,对手获得控球权.                   25'第25分钟，特维斯直传禁区左侧，斯图拉罗左脚射门偏出近门柱
27'达普雷拉为巴勒莫赢得一个任意球.                   25'第25分钟，特维斯直传禁区左侧，斯图拉罗左脚射门偏出近门柱
27'尤文图斯球员利希施泰纳拼抢犯规,对手获得控球权.                   25'第25分钟，特维斯直传禁区左侧，斯图拉罗左脚射门偏出近门柱
51'射门!!!尤文图斯球员特维斯大禁区外右脚射门,被对方守门员横身扑出.                   51'第51分钟，特维斯在门前24米主罚任意球被索伦蒂诺封出
52'迪巴拉为巴勒莫在左路,赢得一个任意球.                   51'第51分钟，特维斯在门前24米主罚任意球被索伦蒂诺封出
52'尤文图斯球员巴尔扎利拼抢犯规,对手获得控球权.                   51'第51分钟，特维斯在门前24米主罚任意球被索伦蒂诺封出
52'黄牌！尤文图斯球员巴尔扎利因为恶意犯规,被主裁判出示黄牌.                   51'第51分钟，特维斯在门前24米主罚任意球被索伦蒂诺封出
53'尤文图斯球员洛伦特一脚直塞球给利希施泰纳,但是边裁举旗显示后者已经越位.                   51'第51分钟，特维斯在门前24米主罚任意球被索伦蒂诺封出
54'基耶里尼将球处理出底线,巴勒莫获得角球.                   51'第51分钟，特维斯在门前24米主罚任意球被索伦蒂诺封出
69'尤文图斯球员比达尔大禁区外右脚射门,被防守球员封堵.给他传球的是佩雷拉.                   69'第69分钟，佩雷拉反击传球，比达尔禁区边缘射门被封堵
70'进球啦！！！尤文图斯球员莫拉塔大禁区外左脚射门,球从左下角飞进球门,球进了!助攻的是马尔基西奥. 巴勒莫 0-1 尤文图斯.                   69'第69分钟，佩雷拉反击传球，比达尔禁区边缘射门被封堵
80'迪巴拉为巴勒莫在对方半场,赢得一个任意球.                   80'第80分钟，莫拉塔毫无必要铲倒迪瓦拉，被黄牌警告，下轮无缘出战热那亚，马尔基西奥表现出队长风范，要求莫拉塔保持冷静
80'尤文图斯球员莫拉塔拼抢犯规,对手获得控球权.                   80'第80分钟，莫拉塔毫无必要铲倒迪瓦拉，被黄牌警告，下轮无缘出战热那亚，马尔基西奥表现出队长风范，要求莫拉塔保持冷静
80'黄牌！尤文图斯球员莫拉塔因为恶意犯规,被主裁判出示黄牌.                   80'第80分钟，莫拉塔毫无必要铲倒迪瓦拉，被黄牌警告，下轮无缘出战热那亚，马尔基西奥表现出队长风范，要求莫拉塔保持冷静
81'尤文图斯球员莫拉塔大禁区左侧尝试左脚射门,可惜皮球偏出球门.给他传球的是特维斯.                   80'第80分钟，莫拉塔毫无必要铲倒迪瓦拉，被黄牌警告，下轮无缘出战热那亚，马尔基西奥表现出队长风范，要求莫拉塔保持冷静
83'巴勒莫换人,埃莫森换下达普雷拉                   80'第80分钟，莫拉塔毫无必要铲倒迪瓦拉，被黄牌警告，下轮无缘出战热那亚，马尔基西奥表现出队长风范，要求莫拉塔保持冷静
83'Sinisa Andjelkovic为巴勒莫赢得一个任意球.                   80'第80分钟，莫拉塔毫无必要铲倒迪瓦拉，被黄牌警告，下轮无缘出战热那亚，马尔基西奥表现出队长风范，要求莫拉塔保持冷静
83'尤文图斯球员莫拉塔拼抢犯规,对手获得控球权.                   80'第80分钟，莫拉塔毫无必要铲倒迪瓦拉，被黄牌警告，下轮无缘出战热那亚，马尔基西奥表现出队长风范，要求莫拉塔保持冷静
