1'上半场比赛开始                   1'开球前熄灭照明并默哀1分钟，悼念当天去世的前意大利国脚和国际米兰主帅拉迪切
1'尤文中圈开球                   1'开球前熄灭照明并默哀1分钟，悼念当天去世的前意大利国脚和国际米兰主帅拉迪切
1'长传左路，出了边线                   1'开球前熄灭照明并默哀1分钟，悼念当天去世的前意大利国脚和国际米兰主帅拉迪切
1'国米左边路反击，佩里西奇越位在先                   1'开球前熄灭照明并默哀1分钟，悼念当天去世的前意大利国脚和国际米兰主帅拉迪切
2'德西利奥左路下底，低平球横扫被拦截                   1'开球前熄灭照明并默哀1分钟，悼念当天去世的前意大利国脚和国际米兰主帅拉迪切
2'加利亚尔迪尼中场拿球推进                   1'开球前熄灭照明并默哀1分钟，悼念当天去世的前意大利国脚和国际米兰主帅拉迪切
2'皮亚尼奇伸腿把他绊倒了，任意球                   1'开球前熄灭照明并默哀1分钟，悼念当天去世的前意大利国脚和国际米兰主帅拉迪切
2'波利塔诺右路拿球，内切起左脚传                   1'开球前熄灭照明并默哀1分钟，悼念当天去世的前意大利国脚和国际米兰主帅拉迪切
3'太靠门前，被什琴斯尼没收                   1'开球前熄灭照明并默哀1分钟，悼念当天去世的前意大利国脚和国际米兰主帅拉迪切
3'阿萨莫阿左路传身后，被拦截                   1'开球前熄灭照明并默哀1分钟，悼念当天去世的前意大利国脚和国际米兰主帅拉迪切
4'博努奇中场出球被断                   1'开球前熄灭照明并默哀1分钟，悼念当天去世的前意大利国脚和国际米兰主帅拉迪切
4'阿萨莫阿左路起球到禁区前                   1'开球前熄灭照明并默哀1分钟，悼念当天去世的前意大利国脚和国际米兰主帅拉迪切
4'伊卡尔迪一做，马里奥打门被蹭出底线                   1'开球前熄灭照明并默哀1分钟，悼念当天去世的前意大利国脚和国际米兰主帅拉迪切
29'后点弗尔萨利科头球破坏出去                   29'国米第29分钟险些破门，米兰达后场长传，波利塔诺右路卸球内切左脚低传，伊卡尔迪背身拿球回做，加利亚尔迪尼在门前8米处左脚推射击中右门柱
29'米兰达长传右路，波利塔诺卸球                   29'国米第29分钟险些破门，米兰达后场长传，波利塔诺右路卸球内切左脚低传，伊卡尔迪背身拿球回做，加利亚尔迪尼在门前8米处左脚推射击中右门柱
29'给禁区，伊卡尔迪背身拿好                   29'国米第29分钟险些破门，米兰达后场长传，波利塔诺右路卸球内切左脚低传，伊卡尔迪背身拿球回做，加利亚尔迪尼在门前8米处左脚推射击中右门柱
30'加利亚尔迪尼跟上，打中立柱弹出                   29'国米第29分钟险些破门，米兰达后场长传，波利塔诺右路卸球内切左脚低传，伊卡尔迪背身拿球回做，加利亚尔迪尼在门前8米处左脚推射击中右门柱
30'二点被门将扑住了                   29'国米第29分钟险些破门，米兰达后场长传，波利塔诺右路卸球内切左脚低传，伊卡尔迪背身拿球回做，加利亚尔迪尼在门前8米处左脚推射击中右门柱
30'C罗正面踩单车，被什克里尼亚尔断下                   29'国米第29分钟险些破门，米兰达后场长传，波利塔诺右路卸球内切左脚低传，伊卡尔迪背身拿球回做，加利亚尔迪尼在门前8米处左脚推射击中右门柱
30'波利塔诺右路下底，起右脚倒三角传                   29'国米第29分钟险些破门，米兰达后场长传，波利塔诺右路卸球内切左脚低传，伊卡尔迪背身拿球回做，加利亚尔迪尼在门前8米处左脚推射击中右门柱
31'佩里西奇跟上打偏了                   29'国米第29分钟险些破门，米兰达后场长传，波利塔诺右路卸球内切左脚低传，伊卡尔迪背身拿球回做，加利亚尔迪尼在门前8米处左脚推射击中右门柱
