1'上半场比赛开始                   1'皇马第1分钟就控制比赛，伊斯科和C-罗纳尔多禁区前的射门均被封堵挡出
1'身穿白衣白裤的皇马开球，从右向左进攻                   1'皇马第1分钟就控制比赛，伊斯科和C-罗纳尔多禁区前的射门均被封堵挡出
1'伊利亚拉门迪中场拿球，横传给到拉莫斯                   1'皇马第1分钟就控制比赛，伊斯科和C-罗纳尔多禁区前的射门均被封堵挡出
2'拉莫斯再分球到右路，阿韦洛亚的强突横传，被后卫拦截                   1'皇马第1分钟就控制比赛，伊斯科和C-罗纳尔多禁区前的射门均被封堵挡出
2'马塞洛左路拿球，45度斜传球到禁区，第一点被后卫头球解围                   1'皇马第1分钟就控制比赛，伊斯科和C-罗纳尔多禁区前的射门均被封堵挡出
3'赫塞右路拿球，面对逼抢，回传伊利亚拉门迪                   1'皇马第1分钟就控制比赛，伊斯科和C-罗纳尔多禁区前的射门均被封堵挡出
3'伊利亚拉门迪再给到伊斯科，伊斯科拿球强突                   1'皇马第1分钟就控制比赛，伊斯科和C-罗纳尔多禁区前的射门均被封堵挡出
4'伊斯科连续摆脱，禁区外突施冷箭，打在后卫身上出底线                   1'皇马第1分钟就控制比赛，伊斯科和C-罗纳尔多禁区前的射门均被封堵挡出
4'皇马获得左侧角球机会，开出到禁区，瓦拉内抢点攻门，打偏！！！                   1'皇马第1分钟就控制比赛，伊斯科和C-罗纳尔多禁区前的射门均被封堵挡出
21'上半场比赛20分钟，比分依旧是0-0                   21'皇马第21分钟取得领先，C-罗纳尔多30码处任意球直接射出反弹球入网
21'不过皇马已经是横梁和左右立柱都打过啦！！！                   21'皇马第21分钟取得领先，C-罗纳尔多30码处任意球直接射出反弹球入网
21'进球啦！！！                   21'皇马第21分钟取得领先，C-罗纳尔多30码处任意球直接射出反弹球入网
21'C罗的任意球直接破门！！！                   21'皇马第21分钟取得领先，C-罗纳尔多30码处任意球直接射出反弹球入网
23'C罗任意球攻门，越过人墙，直窜球门，尽管门将判断对了方向，还是鞭长莫及                   21'皇马第21分钟取得领先，C-罗纳尔多30码处任意球直接射出反弹球入网
23'皇马中场抢断，右路直塞给到埃尔南德斯                   21'皇马第21分钟取得领先，C-罗纳尔多30码处任意球直接射出反弹球入网
23'埃尔南德斯带球内切，横传后点找跟进的C罗                   21'皇马第21分钟取得领先，C-罗纳尔多30码处任意球直接射出反弹球入网
23'C罗倒地铲射，慢了一点点，球打偏啦！！！                   21'皇马第21分钟取得领先，C-罗纳尔多30码处任意球直接射出反弹球入网
24'赫塞右路拿球，强突下底，横传门前，被后卫头球解围                   21'皇马第21分钟取得领先，C-罗纳尔多30码处任意球直接射出反弹球入网
31'皇马再进一个！！！                   31'皇马第31分钟扩大比分，阿韦罗亚右路传中，埃尔南德斯前点7码处头球顶入后角，2-0
31'埃尔南德斯头球破门！！！                   31'皇马第31分钟扩大比分，阿韦罗亚右路传中，埃尔南德斯前点7码处头球顶入后角，2-0
32'赫塞右路拿球，直塞给到前插的阿韦洛亚，阿韦洛亚不停球直接传中到前点，埃尔南德斯狮子甩头，顶进远角！！！                   31'皇马第31分钟扩大比分，阿韦罗亚右路传中，埃尔南德斯前点7码处头球顶入后角，2-0
33'马塞洛禁区左路拿球，横传找C罗                   31'皇马第31分钟扩大比分，阿韦罗亚右路传中，埃尔南德斯前点7码处头球顶入后角，2-0
33'C罗停球，面对逼抢，没机会起脚，再趟，被断                   31'皇马第31分钟扩大比分，阿韦罗亚右路传中，埃尔南德斯前点7码处头球顶入后角，2-0
33'皇马前场抢断，C罗禁区线上背身停球，回做给到伊斯科                   31'皇马第31分钟扩大比分，阿韦罗亚右路传中，埃尔南德斯前点7码处头球顶入后角，2-0
34'伊斯科带球趟两下到禁区，直接起脚推射，被门将拿到                   31'皇马第31分钟扩大比分，阿韦罗亚右路传中，埃尔南德斯前点7码处头球顶入后角，2-0
34'目前的射门次数：皇马12次，埃瓦尔1次                   31'皇马第31分钟扩大比分，阿韦罗亚右路传中，埃尔南德斯前点7码处头球顶入后角，2-0
83'迪达克左边路拿球，纳乔上抢绊倒了迪达克，犯规                   83'皇马第83分钟锁定胜局，赫塞晃过阿尼巴罗后强突禁区右侧12码处射出反弹球入远角，3-0
83'皇马再进一个！！！                   83'皇马第83分钟锁定胜局，赫塞晃过阿尼巴罗后强突禁区右侧12码处射出反弹球入远角，3-0
83'赫塞单骑闯关，进球啦！！！                   83'皇马第83分钟锁定胜局，赫塞晃过阿尼巴罗后强突禁区右侧12码处射出反弹球入远角，3-0
85'赫塞前场拿球，单骑闯关，禁区线上一个变向，强突晃倒阿尼巴罗，面对伊鲁吉塔戈耶纳的出击，一脚低射，打进远角！！！                   83'皇马第83分钟锁定胜局，赫塞晃过阿尼巴罗后强突禁区右侧12码处射出反弹球入远角，3-0
85'赫塞进球后，皇马替补席上的队友都站起来为小弟呐喊，庆祝了                   83'皇马第83分钟锁定胜局，赫塞晃过阿尼巴罗后强突禁区右侧12码处射出反弹球入远角，3-0
86'席尔瓦前场中路抢点，斜塞给到C罗                   83'皇马第83分钟锁定胜局，赫塞晃过阿尼巴罗后强突禁区右侧12码处射出反弹球入远角，3-0
86'C罗拿球转身强突，被对手一拉，顺势将球破坏                   83'皇马第83分钟锁定胜局，赫塞晃过阿尼巴罗后强突禁区右侧12码处射出反弹球入远角，3-0
