4'斯托克城球员卡梅伦拼抢犯规,对手获得控球权.                   4'第4分钟，卡梅伦丢球后踢倒卢卡斯也被罚黄牌
4'卢卡斯为利物浦赢得一个任意球.                   4'第4分钟，卡梅伦丢球后踢倒卢卡斯也被罚黄牌
4'黄牌！斯托克城球员卡梅伦因为恶意犯规,被主裁判出示黄牌.                   4'第4分钟，卡梅伦丢球后踢倒卢卡斯也被罚黄牌
5'进球啦！！！斯托克城球员沃尔特斯大禁区中央右脚射门,球从右下角飞进球门,球进了! 斯托克城 1-1 利物浦.                   4'第4分钟，卡梅伦丢球后踢倒卢卡斯也被罚黄牌
6'斯科特尔将球处理出底线,斯托克城获得角球.                   4'第4分钟，卡梅伦丢球后踢倒卢卡斯也被罚黄牌
12'格伦-约翰逊将球处理出底线,斯托克城获得角球.                   12'斯托克城第12分钟反超比分，维兰开出角球，琼斯前点小禁区边缘头球破门，2-1
12'进球啦！！！斯托克城球员琼斯球门线跟前头球,球从左下角飞进球门,球进了!助攻的是惠兰. 斯托克城 2-1 利物浦.                   12'斯托克城第12分钟反超比分，维兰开出角球，琼斯前点小禁区边缘头球破门，2-1
14'利物浦球员苏亚雷斯大禁区中央左脚射门,被防守球员封堵.给他传球的是何塞-恩里克.                   12'斯托克城第12分钟反超比分，维兰开出角球，琼斯前点小禁区边缘头球破门，2-1
22'射门!!!斯托克城球员埃瑟林顿大禁区中央右脚射门,被对方守门员横身扑出.                   22'第22分钟，卡梅伦右路传中被挡出，埃瑟林顿禁区边缘内劲射被雷纳托出横梁
22'雷纳将球处理出底线,斯托克城获得角球.                   22'第22分钟，卡梅伦右路传中被挡出，埃瑟林顿禁区边缘内劲射被雷纳托出横梁
24'斯托克城球员卡梅伦大禁区右侧右脚射门,被防守球员封堵.给他传球的是沃尔特斯.                   22'第22分钟，卡梅伦右路传中被挡出，埃瑟林顿禁区边缘内劲射被雷纳托出横梁
47'斯托克城球员惠兰拼抢犯规,对手获得控球权.                   46'1分钟后，唐宁禁区左侧回传，苏亚雷斯12码处射门偏出
47'唐宁为利物浦赢得一个任意球.                   46'1分钟后，唐宁禁区左侧回传，苏亚雷斯12码处射门偏出
47'利物浦球员苏亚雷斯小禁区左侧左脚射门,命中门柱左侧立柱.给他传球的是斯特林.                   46'1分钟后，唐宁禁区左侧回传，苏亚雷斯12码处射门偏出
49'进球啦！！！斯托克城球员沃尔特斯大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是琼斯. 斯托克城 3-1 利物浦.                   46'1分钟后，唐宁禁区左侧回传，苏亚雷斯12码处射门偏出
47'斯托克城球员惠兰拼抢犯规,对手获得控球权.                   46'1分钟后，唐宁传球，苏亚雷斯摆脱肖克洛斯后禁区右侧小角度射门被贝戈维奇挡下没收
47'唐宁为利物浦赢得一个任意球.                   46'1分钟后，唐宁传球，苏亚雷斯摆脱肖克洛斯后禁区右侧小角度射门被贝戈维奇挡下没收
47'利物浦球员苏亚雷斯小禁区左侧左脚射门,命中门柱左侧立柱.给他传球的是斯特林.                   46'1分钟后，唐宁传球，苏亚雷斯摆脱肖克洛斯后禁区右侧小角度射门被贝戈维奇挡下没收
49'进球啦！！！斯托克城球员沃尔特斯大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是琼斯. 斯托克城 3-1 利物浦.                   46'1分钟后，唐宁传球，苏亚雷斯摆脱肖克洛斯后禁区右侧小角度射门被贝戈维奇挡下没收
44'射门!!!斯托克城球员埃瑟林顿大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是凯利.                   44'第44分钟，凯特利右路传中，埃瑟林顿远点小角度射门被雷纳出击没收
45'+2'上半场结束,斯托克城 2-1 利物浦,稍事休息,我们一会来看看下半场两队的表现.                   44'第44分钟，凯特利右路传中，埃瑟林顿远点小角度射门被雷纳出击没收
45'利物浦换人,斯特林换下苏索                   44'第44分钟，凯特利右路传中，埃瑟林顿远点小角度射门被雷纳出击没收
47'斯托克城球员惠兰拼抢犯规,对手获得控球权.                   44'第44分钟，凯特利右路传中，埃瑟林顿远点小角度射门被雷纳出击没收
47'唐宁为利物浦赢得一个任意球.                   44'第44分钟，凯特利右路传中，埃瑟林顿远点小角度射门被雷纳出击没收
47'利物浦球员苏亚雷斯小禁区左侧左脚射门,命中门柱左侧立柱.给他传球的是斯特林.                   44'第44分钟，凯特利右路传中，埃瑟林顿远点小角度射门被雷纳出击没收
49'进球啦！！！斯托克城球员沃尔特斯大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是琼斯. 斯托克城 3-1 利物浦.                   49'斯托克城第49分钟扩大比分，琼斯接界外球头球摆渡，沃尔特斯12码处胸部停球后凌空抽射入网()，3-1
50'肖克罗斯将球处理出底线,利物浦获得角球.                   49'斯托克城第49分钟扩大比分，琼斯接界外球头球摆渡，沃尔特斯12码处胸部停球后凌空抽射入网()，3-1
50'利物浦球员格伦-约翰逊大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是唐宁.                   49'斯托克城第49分钟扩大比分，琼斯接界外球头球摆渡，沃尔特斯12码处胸部停球后凌空抽射入网()，3-1
52'斯托克城球员凯利拼抢犯规,对手获得控球权.                   49'斯托克城第49分钟扩大比分，琼斯接界外球头球摆渡，沃尔特斯12码处胸部停球后凌空抽射入网()，3-1
52'何塞-恩里克为利物浦赢得一个任意球.                   49'斯托克城第49分钟扩大比分，琼斯接界外球头球摆渡，沃尔特斯12码处胸部停球后凌空抽射入网()，3-1
50'肖克罗斯将球处理出底线,利物浦获得角球.                   50'第50分钟，杰拉德开出角球，唐宁远点铲回，格伦-约翰逊11码处射门高出
50'利物浦球员格伦-约翰逊大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是唐宁.                   50'第50分钟，杰拉德开出角球，唐宁远点铲回，格伦-约翰逊11码处射门高出
52'斯托克城球员凯利拼抢犯规,对手获得控球权.                   50'第50分钟，杰拉德开出角球，唐宁远点铲回，格伦-约翰逊11码处射门高出
52'何塞-恩里克为利物浦赢得一个任意球.                   50'第50分钟，杰拉德开出角球，唐宁远点铲回，格伦-约翰逊11码处射门高出
