2'卡利亚里球员拉米雷斯大禁区外右脚射门,被防守球员封堵.                   1'第1分钟，博努奇后场传球失误，埃克达尔突至禁区前沿射门被博努奇挡出底线
2'博努奇将球处理出底线,卡利亚里获得角球.                   1'第1分钟，博努奇后场传球失误，埃克达尔突至禁区前沿射门被博努奇挡出底线
3'拉米雷斯为卡利亚里赢得一个任意球.                   1'第1分钟，博努奇后场传球失误，埃克达尔突至禁区前沿射门被博努奇挡出底线
3'尤文图斯球员皮尔洛拼抢犯规,对手获得控球权.                   1'第1分钟，博努奇后场传球失误，埃克达尔突至禁区前沿射门被博努奇挡出底线
4'阿里奥多为卡利亚里赢得一个任意球.                   1'第1分钟，博努奇后场传球失误，埃克达尔突至禁区前沿射门被博努奇挡出底线
4'尤文图斯球员乔文科拼抢犯规,对手获得控球权.                   1'第1分钟，博努奇后场传球失误，埃克达尔突至禁区前沿射门被博努奇挡出底线
4'尤文图斯球员夸利亚雷拉拼抢犯规,对手获得控球权.                   1'第1分钟，博努奇后场传球失误，埃克达尔突至禁区前沿射门被博努奇挡出底线
4'拉米雷斯为卡利亚里赢得一个任意球.                   1'第1分钟，博努奇后场传球失误，埃克达尔突至禁区前沿射门被博努奇挡出底线
15'点球,马克-苏在禁区内被侵犯,卡利亚里获得点球.                   15'第15分钟，萨乌突入禁区左侧与比达尔腿部接触倒地，主裁判达马托在助理裁判提醒下吹罚点球
15'尤文图斯球员比达尔犯规,致使对方获得点球.                   15'第15分钟，萨乌突入禁区左侧与比达尔腿部接触倒地，主裁判达马托在助理裁判提醒下吹罚点球
16'进球啦！！！卡利亚里球员皮尼拉右脚射门,球从左上角飞进球门,球进了! 卡利亚里 1-0 尤文图斯.                   15'第15分钟，萨乌突入禁区左侧与比达尔腿部接触倒地，主裁判达马托在助理裁判提醒下吹罚点球
18'卡利亚里球员蒂亚戈-里贝罗拼抢犯规,对手获得控球权.                   15'第15分钟，萨乌突入禁区左侧与比达尔腿部接触倒地，主裁判达马托在助理裁判提醒下吹罚点球
18'皮尔洛为尤文图斯赢得一个任意球.                   15'第15分钟，萨乌突入禁区左侧与比达尔腿部接触倒地，主裁判达马托在助理裁判提醒下吹罚点球
24'尤文图斯球员皮尔洛大禁区外右脚射门,被防守球员封堵.                   24'第24分钟，皮尔洛右侧距门27米处主罚任意球打在人墙上
