4'米兰前场左路拿球，又转移到后场                   4'开场4分钟，博纳文图拉在门前20米处半凌空抽射被斯波尔蒂耶洛托出
5'梅内中场拿球转移到左路，博内拉传中，第一点被挡出来                   4'开场4分钟，博纳文图拉在门前20米处半凌空抽射被斯波尔蒂耶洛托出
5'外围博纳文图拉的射门势大力沉，稍稍高出                   4'开场4分钟，博纳文图拉在门前20米处半凌空抽射被斯波尔蒂耶洛托出
5'亚特兰大反击，禁区前沿配合，外围打门被洛佩兹没收                   4'开场4分钟，博纳文图拉在门前20米处半凌空抽射被斯波尔蒂耶洛托出
6'米兰后场拿球，倒脚组织进攻                   4'开场4分钟，博纳文图拉在门前20米处半凌空抽射被斯波尔蒂耶洛托出
7'米兰外围又是一脚远射打在了对手身上                   4'开场4分钟，博纳文图拉在门前20米处半凌空抽射被斯波尔蒂耶洛托出
19'拉米拿球被断，亚特兰大反击，前场4打3,丹尼斯的射门击中横梁                   18'亚特兰大频频远射，第18分钟险些破门，马克西-莫拉莱斯左路反击传球，丹尼斯右脚扣过后卫，禁区前沿左脚大力抽射击中横梁
19'亚特兰大左路角球开出，进攻队员犯规了                   18'亚特兰大频频远射，第18分钟险些破门，马克西-莫拉莱斯左路反击传球，丹尼斯右脚扣过后卫，禁区前沿左脚大力抽射击中横梁
20'米兰后场任意球                   18'亚特兰大频频远射，第18分钟险些破门，马克西-莫拉莱斯左路反击传球，丹尼斯右脚扣过后卫，禁区前沿左脚大力抽射击中横梁
21'梅内回接，右路切尔奇拿球给到禁区前沿                   18'亚特兰大频频远射，第18分钟险些破门，马克西-莫拉莱斯左路反击传球，丹尼斯右脚扣过后卫，禁区前沿左脚大力抽射击中横梁
21'亚特兰大防守很密集，米兰找不到往禁区里输送的线路                   18'亚特兰大频频远射，第18分钟险些破门，马克西-莫拉莱斯左路反击传球，丹尼斯右脚扣过后卫，禁区前沿左脚大力抽射击中横梁
30'博内拉左路起球，切尔奇头球争顶，裁判哨响 进攻犯规了                   30'第30分钟，沙拉维禁区左侧变线过人，底线附近似传似射被斯波尔蒂耶洛封出，博纳文图拉在门前9米处左脚凌空补射偏出
31'沙拉维左路传球，博纳文图拉射门偏出，力量太大了                   30'第30分钟，沙拉维禁区左侧变线过人，底线附近似传似射被斯波尔蒂耶洛封出，博纳文图拉在门前9米处左脚凌空补射偏出
32'镜头又给到了场边的因扎吉                   30'第30分钟，沙拉维禁区左侧变线过人，底线附近似传似射被斯波尔蒂耶洛封出，博纳文图拉在门前9米处左脚凌空补射偏出
33'丹尼斯进球了！                   30'第30分钟，沙拉维禁区左侧变线过人，底线附近似传似射被斯波尔蒂耶洛封出，博纳文图拉在门前9米处左脚凌空补射偏出
53'米兰左路继续进攻                   53'第53分钟，蒙托利沃开出角球，德容头球打在队友拉米身上偏出
53'米兰获得右路角球机会                   53'第53分钟，蒙托利沃开出角球，德容头球打在队友拉米身上偏出
54'蒙托利沃角球开出，德容的射门打在了拉米身上                   53'第53分钟，蒙托利沃开出角球，德容头球打在队友拉米身上偏出
54'德容很无奈                   53'第53分钟，蒙托利沃开出角球，德容头球打在队友拉米身上偏出
55'米兰又犯规了，给了拉米一张黄牌                   53'第53分钟，蒙托利沃开出角球，德容头球打在队友拉米身上偏出
56'亚特兰大任意球机会，地点不错                   53'第53分钟，蒙托利沃开出角球，德容头球打在队友拉米身上偏出
56'西加里尼的直接打门击中人墙                   53'第53分钟，蒙托利沃开出角球，德容头球打在队友拉米身上偏出
75'斯伯蒂耶罗拖延时间吃了黄牌                   75'第75分钟，阿尔梅罗左路传中，帕奇尼头球吊射被斯波尔蒂耶洛摘到
75'米兰这段时间的进攻过于消沉                   75'第75分钟，阿尔梅罗左路传中，帕奇尼头球吊射被斯波尔蒂耶洛摘到
76'米兰起球，帕奇尼抢到点球，被门将轻松得到                   75'第75分钟，阿尔梅罗左路传中，帕奇尼头球吊射被斯波尔蒂耶洛摘到
76'沙拉维的头球射门稍稍高出横梁                   75'第75分钟，阿尔梅罗左路传中，帕奇尼头球吊射被斯波尔蒂耶洛摘到
77'米兰又换人了                   75'第75分钟，阿尔梅罗左路传中，帕奇尼头球吊射被斯波尔蒂耶洛摘到
78'四个前锋在上场，因扎吉放手一搏了                   75'第75分钟，阿尔梅罗左路传中，帕奇尼头球吊射被斯波尔蒂耶洛摘到
85'亚特兰大换人，巴塞利换下了奇加里尼                   84'第84分钟，莫拉莱斯禁区右侧小角度射门，迭戈-洛佩斯腿部挡出底线
85'亚特兰大险些又获得破门机会，洛佩兹化解险情                   84'第84分钟，莫拉莱斯禁区右侧小角度射门，迭戈-洛佩斯腿部挡出底线
87'留给米兰的时间不多了                   84'第84分钟，莫拉莱斯禁区右侧小角度射门，迭戈-洛佩斯腿部挡出底线
87'刚才因扎吉那次不冷静踢球泄愤被请罚出场                   84'第84分钟，莫拉莱斯禁区右侧小角度射门，迭戈-洛佩斯腿部挡出底线
