3'瓜林中场控制球                   1'申花第1分钟前三脚射门全部由瓜林来完成
4'传球马丁斯，球被解围出底线                   1'申花第1分钟前三脚射门全部由瓜林来完成
4'申花角球机会                   1'申花第1分钟前三脚射门全部由瓜林来完成
4'角球开出来，后点，瓜林直接打门                   1'申花第1分钟前三脚射门全部由瓜林来完成
4'高了                   1'申花第1分钟前三脚射门全部由瓜林来完成
11'瓜林传球禁区，球被解围出底线                   11'第11分钟瓜林30米外射门高出
11'申花角球机会                   11'第11分钟瓜林30米外射门高出
11'战术角球，曹赟定传中，                   11'第11分钟瓜林30米外射门高出
11'莫雷诺倒地了                   11'第11分钟瓜林30米外射门高出
12'裁判没有表示                   11'第11分钟瓜林30米外射门高出
12'球被解围出来                   11'第11分钟瓜林30米外射门高出
12'马丁斯外围拿球                   11'第11分钟瓜林30米外射门高出
12'横传瓜林，来一脚射门                   11'第11分钟瓜林30米外射门高出
12'打高了                   11'第11分钟瓜林30米外射门高出
13'刘浩下底传中，找插上的奥伦加                   11'第11分钟瓜林30米外射门高出
13'球被解围出来                   11'第11分钟瓜林30米外射门高出
14'进球了！！！！！！！！！！！！！瓜林！！！！！！！！！！！！！                   11'第11分钟瓜林30米外射门高出
14'曹赟定带球突破，下底传中，准确找到插上的瓜林，瓜林凌空射门将球打进                   11'第11分钟瓜林30米外射门高出
14'申花客场取得了领先                   11'第11分钟瓜林30米外射门高出
19'智成角球机会                   19'第19分钟柏佳骏对切里犯规，但切里顺势把柏佳骏抱摔弄翻在地，两队随即起了一些小冲突，裁判没有对任何队员出示黄牌
19'角球开出来，球被解围出来                   19'第19分钟柏佳骏对切里犯规，但切里顺势把柏佳骏抱摔弄翻在地，两队随即起了一些小冲突，裁判没有对任何队员出示黄牌
20'前场争抢球，柏佳骏和切里倒地了                   19'第19分钟柏佳骏对切里犯规，但切里顺势把柏佳骏抱摔弄翻在地，两队随即起了一些小冲突，裁判没有对任何队员出示黄牌
21'智成定位球机会                   19'第19分钟柏佳骏对切里犯规，但切里顺势把柏佳骏抱摔弄翻在地，两队随即起了一些小冲突，裁判没有对任何队员出示黄牌
21'张梦琪传球禁区，奥伦加头球攻门                   19'第19分钟柏佳骏对切里犯规，但切里顺势把柏佳骏抱摔弄翻在地，两队随即起了一些小冲突，裁判没有对任何队员出示黄牌
21'顶高了                   19'第19分钟柏佳骏对切里犯规，但切里顺势把柏佳骏抱摔弄翻在地，两队随即起了一些小冲突，裁判没有对任何队员出示黄牌
23'申花这边传球出了边线                   23'第23分钟毛剑卿换下徐骏敏
24'范云龙拿球，被犯规了                   23'第23分钟毛剑卿换下徐骏敏
24'申花换人了，毛剑卿换下了徐俊敏                   23'第23分钟毛剑卿换下徐骏敏
25'切里带球突破，被解围出底线                   23'第23分钟毛剑卿换下徐骏敏
25'角球机会                   23'第23分钟毛剑卿换下徐骏敏
26'角球开出来，前点，奥伦加头球一顶，切里来一脚射门                   23'第23分钟毛剑卿换下徐骏敏
26'球被挡出底线                   23'第23分钟毛剑卿换下徐骏敏
26'继续角球                   23'第23分钟毛剑卿换下徐骏敏
26'角球开出来，禁区里来一波头球，出了底线                   23'第23分钟毛剑卿换下徐骏敏
26'裁判示意，门球                   23'第23分钟毛剑卿换下徐骏敏
34'直塞球，找插上的莫雷诺，球被拦截下来                   34'第34分钟主队险些进球，切里右路传中，李帅出击在奥伦加之前把球打出，球到李营建脚下，李帅退防已经来不及，但李营建吊射空门高出
34'范云龙直接送出长传球                   34'第34分钟主队险些进球，切里右路传中，李帅出击在奥伦加之前把球打出，球到李营建脚下，李帅退防已经来不及，但李营建吊射空门高出
35'插上的张梦琪，射门了                   34'第34分钟主队险些进球，切里右路传中，李帅出击在奥伦加之前把球打出，球到李营建脚下，李帅退防已经来不及，但李营建吊射空门高出
35'打偏了                   34'第34分钟主队险些进球，切里右路传中，李帅出击在奥伦加之前把球打出，球到李营建脚下，李帅退防已经来不及，但李营建吊射空门高出
37'申花这边进球了，马丁斯！！！！！！！！！！！！！！！！                   34'第34分钟主队险些进球，切里右路传中，李帅出击在奥伦加之前把球打出，球到李营建脚下，李帅退防已经来不及，但李营建吊射空门高出
37'柏佳骏传中球，马丁斯头球，直接将球打进                   34'第34分钟主队险些进球，切里右路传中，李帅出击在奥伦加之前把球打出，球到李营建脚下，李帅退防已经来不及，但李营建吊射空门高出
37'申花这边进球了，马丁斯！！！！！！！！！！！！！！！！                   36'第36分钟申花依然在左路发难，还是曹赟定送球，柏佳骏左路下底传中，皮球正好喂到马丁斯头上，尼日利亚人顺势头球顶球门右侧死角，2比0
37'柏佳骏传中球，马丁斯头球，直接将球打进                   36'第36分钟申花依然在左路发难，还是曹赟定送球，柏佳骏左路下底传中，皮球正好喂到马丁斯头上，尼日利亚人顺势头球顶球门右侧死角，2比0
38'继续看比赛                   36'第36分钟申花依然在左路发难，还是曹赟定送球，柏佳骏左路下底传中，皮球正好喂到马丁斯头上，尼日利亚人顺势头球顶球门右侧死角，2比0
39'法图斯直接长传球                   36'第36分钟申花依然在左路发难，还是曹赟定送球，柏佳骏左路下底传中，皮球正好喂到马丁斯头上，尼日利亚人顺势头球顶球门右侧死角，2比0
39'杨挺边路传球禁区，球被解围出来                   36'第36分钟申花依然在左路发难，还是曹赟定送球，柏佳骏左路下底传中，皮球正好喂到马丁斯头上，尼日利亚人顺势头球顶球门右侧死角，2比0
41'刘浩传球禁区，球被李帅没收                   41'第41分钟切里拉到左路给出精确传中，奥伦加头球点下，张萌祺跟上稍慢，没碰到球
42'毛剑卿送出传中球，球被门将没收了                   41'第41分钟切里拉到左路给出精确传中，奥伦加头球点下，张萌祺跟上稍慢，没碰到球
44'中圈争抢球，裁判哨响                   41'第41分钟切里拉到左路给出精确传中，奥伦加头球点下，张萌祺跟上稍慢，没碰到球
