3'射门!!!罗马球员热尔维尼奥小禁区左侧右脚射门,被对方守门员横身扑出.                   3'开场3分钟，热尔维尼奥晃过2人，小禁区左侧打近角被孔西利封出
4'卡斯坦将球处理出底线,亚特兰大获得角球.                   3'开场3分钟，热尔维尼奥晃过2人，小禁区左侧打近角被孔西利封出
4'亚特兰大球员布里维奥大禁区外左脚射门,被防守球员封堵.给他传球的是西加里尼.                   3'开场3分钟，热尔维尼奥晃过2人，小禁区左侧打近角被孔西利封出
4'亚特兰大球员贝纳卢安尝试右脚射门,可惜皮球稍稍偏出了左球门.                   3'开场3分钟，热尔维尼奥晃过2人，小禁区左侧打近角被孔西利封出
5'罗马球员麦孔大禁区外尝试右脚射门,可惜皮球稍稍高出球门.                   3'开场3分钟，热尔维尼奥晃过2人，小禁区左侧打近角被孔西利封出
5'亚特兰大球员斯滕达尔多拼抢犯规,对手获得控球权.                   3'开场3分钟，热尔维尼奥晃过2人，小禁区左侧打近角被孔西利封出
5'热尔维尼奥为罗马在对方半场,赢得一个任意球.                   3'开场3分钟，热尔维尼奥晃过2人，小禁区左侧打近角被孔西利封出
6'黄牌！亚特兰大球员斯滕达尔多因为恶意犯规,被主裁判出示黄牌.                   3'开场3分钟，热尔维尼奥晃过2人，小禁区左侧打近角被孔西利封出
12'射门!!!罗马球员热尔维尼奥大禁区外右脚射门,被对方守门员横身扑出.给他传球的是托蒂.                   12'第12分钟，热尔维尼奥禁区边缘抽射被孔西利侧扑封出
12'博纳文图拉为亚特兰大在左路,赢得一个任意球.                   12'第12分钟，热尔维尼奥禁区边缘抽射被孔西利侧扑封出
12'罗马球员麦孔拼抢犯规,对手获得控球权.                   12'第12分钟，热尔维尼奥禁区边缘抽射被孔西利侧扑封出
13'进球啦！！！罗马球员塔代伊大禁区外右脚射门,球从中路飞进球门,球进了!助攻的是多多. 罗马 1-0 亚特兰大.                   12'第12分钟，热尔维尼奥禁区边缘抽射被孔西利侧扑封出
15'布里维奥将球处理出底线,罗马获得角球.                   12'第12分钟，热尔维尼奥禁区边缘抽射被孔西利侧扑封出
25'罗马球员托蒂大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是麦孔.                   25'第25分钟，麦孔右路传中，托蒂后点推射偏出近门柱
26'亚特兰大球员埃斯蒂加里维亚大禁区中央尝试右脚射门,可惜皮球高出右上角球门.给他传球的是布里维奥.                   25'第25分钟，麦孔右路传中，托蒂后点推射偏出近门柱
44'进球啦！！！罗马球员利亚伊奇大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是德罗西. 罗马 2-0 亚特兰大.                   44'第44分钟，热尔维尼奥禁区右侧回敲，托蒂挑传禁区左侧，德罗西回拨，利亚伊奇在门前9米处推进左下角，打破2个月进球荒，2比0
45'+2'上半场结束,罗马 2-0 亚特兰大,稍事休息,我们一会来看看下半场两队的表现.                   44'第44分钟，热尔维尼奥禁区右侧回敲，托蒂挑传禁区左侧，德罗西回拨，利亚伊奇在门前9米处推进左下角，打破2个月进球荒，2比0
47'罗马球员塔代伊大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   44'第44分钟，热尔维尼奥禁区右侧回敲，托蒂挑传禁区左侧，德罗西回拨，利亚伊奇在门前9米处推进左下角，打破2个月进球荒，2比0
63'进球啦！！！罗马球员热尔维尼奥大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是利亚伊奇. 罗马 3-0 亚特兰大.                   63'第63分钟，利亚伊奇捅传禁区右侧，热尔维尼奥在门前10米处抽射入近角，3比0
65'亚特兰大球员贝纳卢安拼抢犯规,对手获得控球权.                   63'第63分钟，利亚伊奇捅传禁区右侧，热尔维尼奥在门前10米处抽射入近角，3比0
65'热尔维尼奥为罗马在左路,赢得一个任意球.                   63'第63分钟，利亚伊奇捅传禁区右侧，热尔维尼奥在门前10米处抽射入近角，3比0
66'亚特兰大球员埃斯蒂加里维亚拼抢犯规,对手获得控球权.                   63'第63分钟，利亚伊奇捅传禁区右侧，热尔维尼奥在门前10米处抽射入近角，3比0
66'塔代伊为罗马在左路,赢得一个任意球.                   63'第63分钟，利亚伊奇捅传禁区右侧，热尔维尼奥在门前10米处抽射入近角，3比0
66'黄牌！亚特兰大球员埃斯蒂加里维亚因为恶意犯规,被主裁判出示黄牌.                   63'第63分钟，利亚伊奇捅传禁区右侧，热尔维尼奥在门前10米处抽射入近角，3比0
75'罗马球员热尔维尼奥大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是多多.                   75'第75分钟，多多禁区左侧传中，热尔维尼奥打空门偏出
76'罗马换人,巴斯托斯换下托蒂                   75'第75分钟，多多禁区左侧传中，热尔维尼奥打空门偏出
78'进球啦！！！亚特兰大球员米利亚乔大禁区中央头球,球从左下角飞进球门,球进了!助攻的是贝纳卢安. 罗马 3-1 亚特兰大.                   75'第75分钟，多多禁区左侧传中，热尔维尼奥打空门偏出
78'进球啦！！！亚特兰大球员米利亚乔大禁区中央头球,球从左下角飞进球门,球进了!助攻的是贝纳卢安. 罗马 3-1 亚特兰大.                   78'第78分钟，贝纳卢阿内右路传中，米利亚乔后点距门10米处顶入近角，1比3
79'罗马换人,罗马尼奥利换下麦孔                   78'第78分钟，贝纳卢阿内右路传中，米利亚乔后点距门10米处顶入近角，1比3
80'亚特兰大球员丹尼斯拼抢犯规,对手获得控球权.                   78'第78分钟，贝纳卢阿内右路传中，米利亚乔后点距门10米处顶入近角，1比3
80'卡斯坦为罗马赢得一个任意球.                   78'第78分钟，贝纳卢阿内右路传中，米利亚乔后点距门10米处顶入近角，1比3
