14'多特蒙德球员格罗斯克罗伊茨大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是J-霍夫曼.                   14'开场14分钟，霍夫曼分球，格罗斯克罗伊茨禁区左侧低射滑出远门柱
15'汉诺威96球员萨内拼抢犯规,对手获得控球权.                   14'开场14分钟，霍夫曼分球，格罗斯克罗伊茨禁区左侧低射滑出远门柱
15'基尔希为多特蒙德在对方半场,赢得一个任意球.                   14'开场14分钟，霍夫曼分球，格罗斯克罗伊茨禁区左侧低射滑出远门柱
16'多特蒙德球员沙欣大禁区外右脚射门,被防守球员封堵.                   14'开场14分钟，霍夫曼分球，格罗斯克罗伊茨禁区左侧低射滑出远门柱
43'波科尼奥利将球处理出底线,多特蒙德获得角球.                   43'第43分钟，多特开出战术角球，杜尔姆左路斜传，帕帕斯塔索普洛斯头球摆渡，胡梅尔斯在门前5米处左脚铲射入网，1比0
43'进球啦！！！多特蒙德球员胡梅尔斯大禁区中央左脚射门,球从左下角飞进球门,球进了!助攻的是帕帕斯塔索普洛斯. 汉诺威96 0-1 多特蒙德.                   43'第43分钟，多特开出战术角球，杜尔姆左路斜传，帕帕斯塔索普洛斯头球摆渡，胡梅尔斯在门前5米处左脚铲射入网，1比0
45'胡斯蒂为汉诺威96在左路,赢得一个任意球.                   43'第43分钟，多特开出战术角球，杜尔姆左路斜传，帕帕斯塔索普洛斯头球摆渡，胡梅尔斯在门前5米处左脚铲射入网，1比0
45'多特蒙德球员沙欣拼抢犯规,对手获得控球权.                   43'第43分钟，多特开出战术角球，杜尔姆左路斜传，帕帕斯塔索普洛斯头球摆渡，胡梅尔斯在门前5米处左脚铲射入网，1比0
45'+1'上半场结束,汉诺威96 0-1 多特蒙德,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，多特开出战术角球，杜尔姆左路斜传，帕帕斯塔索普洛斯头球摆渡，胡梅尔斯在门前5米处左脚铲射入网，1比0
72'多特蒙德球员杜尔姆大禁区外尝试右脚射门,可惜皮球稍稍高出球门.                   72'第72分钟，杜尔姆左侧距门25米处弧线球落在球网上方
72'胡斯蒂为汉诺威96在对方半场,赢得一个任意球.                   72'第72分钟，杜尔姆左侧距门25米处弧线球落在球网上方
72'多特蒙德球员凯尔拼抢犯规,对手获得控球权.                   72'第72分钟，杜尔姆左侧距门25米处弧线球落在球网上方
73'汉诺威96换人,施劳德拉夫换下普里布                   72'第72分钟，杜尔姆左侧距门25米处弧线球落在球网上方
74'施劳德拉夫为汉诺威96赢得一个任意球.                   72'第72分钟，杜尔姆左侧距门25米处弧线球落在球网上方
74'多特蒙德球员胡梅尔斯拼抢犯规,对手获得控球权.                   72'第72分钟，杜尔姆左侧距门25米处弧线球落在球网上方
74'黄牌！多特蒙德球员胡梅尔斯因为恶意犯规,被主裁判出示黄牌.                   72'第72分钟，杜尔姆左侧距门25米处弧线球落在球网上方
