1'贝内文托球员Filip Djuricic拼抢犯规,对手获得控球权.                   1'第1分钟两队机会不多，贝内文托第29分钟首次射正就取得领先
1'博努奇为AC米兰赢得一个任意球.                   1'第1分钟两队机会不多，贝内文托第29分钟首次射正就取得领先
73'射门!!!AC米兰球员库特罗内小禁区左侧头球,被对方守门员横身扑出.给他传球的是苏索.                   73'AC米兰第73分钟几乎扳平，苏索右肋左脚斜传，库特罗内后点距门6米处小角度头球被普乔尼铲出，博纳文图拉在门前10米处推射又被封堵，主裁判吹卡利尼奇犯规
73'AC米兰球员博纳文图拉大禁区中央右脚射门,被防守球员封堵.                   73'AC米兰第73分钟几乎扳平，苏索右肋左脚斜传，库特罗内后点距门6米处小角度头球被普乔尼铲出，博纳文图拉在门前10米处推射又被封堵，主裁判吹卡利尼奇犯规
73'桑德罗为贝内文托赢得一个任意球.                   73'AC米兰第73分钟几乎扳平，苏索右肋左脚斜传，库特罗内后点距门6米处小角度头球被普乔尼铲出，博纳文图拉在门前10米处推射又被封堵，主裁判吹卡利尼奇犯规
73'AC米兰球员卡利尼奇拼抢犯规,对手获得控球权.                   73'AC米兰第73分钟几乎扳平，苏索右肋左脚斜传，库特罗内后点距门6米处小角度头球被普乔尼铲出，博纳文图拉在门前10米处推射又被封堵，主裁判吹卡利尼奇犯规
74'贝内文托球员迪亚巴特拼抢犯规,对手获得控球权.                   73'AC米兰第73分钟几乎扳平，苏索右肋左脚斜传，库特罗内后点距门6米处小角度头球被普乔尼铲出，博纳文图拉在门前10米处推射又被封堵，主裁判吹卡利尼奇犯规
74'萨帕塔为AC米兰在左路,赢得一个任意球.                   73'AC米兰第73分钟几乎扳平，苏索右肋左脚斜传，库特罗内后点距门6米处小角度头球被普乔尼铲出，博纳文图拉在门前10米处推射又被封堵，主裁判吹卡利尼奇犯规
74'黄牌！贝内文托球员迪亚巴特因为恶意犯规,被主裁判出示黄牌.                   73'AC米兰第73分钟几乎扳平，苏索右肋左脚斜传，库特罗内后点距门6米处小角度头球被普乔尼铲出，博纳文图拉在门前10米处推射又被封堵，主裁判吹卡利尼奇犯规
51'普吉奥尼为贝内文托赢得一个任意球.                   51'场边示意补时6分钟
51'AC米兰球员库特罗内拼抢犯规,对手获得控球权.                   51'场边示意补时6分钟
52'贝内文托球员卡塔尔迪大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是布里尼奥拉.                   51'场边示意补时6分钟
53'AC米兰球员罗德里格斯一脚直塞球给安德烈-席尔瓦,但是边裁举旗显示后者已经越位.                   51'场边示意补时6分钟
53'AC米兰球员比格利亚一脚直塞球给安德烈-席尔瓦,但是边裁举旗显示后者已经越位.                   51'场边示意补时6分钟
54'贝内文托球员普吉奥尼一脚直塞球给布里尼奥拉,但是边裁举旗显示后者已经越位.                   51'场边示意补时6分钟
54'AC米兰球员苏索大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是凯西.                   51'场边示意补时6分钟
