1'现在双方队长来到中圈猜边                   1'开场不到1分钟，阿圭罗突入禁区左侧下底传中，皮球滑门而过，热苏斯错过机会
1'上半场比赛开始！                   1'开场不到1分钟，阿圭罗突入禁区左侧下底传中，皮球滑门而过，热苏斯错过机会
1'曼城把球开出！                   1'开场不到1分钟，阿圭罗突入禁区左侧下底传中，皮球滑门而过，热苏斯错过机会
1' 给到后场的加西亚！                   1'开场不到1分钟，阿圭罗突入禁区左侧下底传中，皮球滑门而过，热苏斯错过机会
2'一脚低平球横敲禁区！                   1'开场不到1分钟，阿圭罗突入禁区左侧下底传中，皮球滑门而过，热苏斯错过机会
2' 禁区内热苏斯没有抢到点啊！                   1'开场不到1分钟，阿圭罗突入禁区左侧下底传中，皮球滑门而过，热苏斯错过机会
3'唐宁拿球横敲                   1'开场不到1分钟，阿圭罗突入禁区左侧下底传中，皮球滑门而过，热苏斯错过机会
3'内格雷多越位了                   1'开场不到1分钟，阿圭罗突入禁区左侧下底传中，皮球滑门而过，热苏斯错过机会
4'克里希得球斜传禁区                   1'开场不到1分钟，阿圭罗突入禁区左侧下底传中，皮球滑门而过，热苏斯错过机会
4'皮球被解围出去                   1'开场不到1分钟，阿圭罗突入禁区左侧下底传中，皮球滑门而过，热苏斯错过机会
38'米堡禁区啦                   38'米堡第38分钟打破僵局，唐宁反击中左路横传，弗兰德机敏漏过，前曼城中锋内格雷多禁区边缘左脚劲射，皮球击中左侧立柱内侧入网
38'内格雷多                   38'米堡第38分钟打破僵局，唐宁反击中左路横传，弗兰德机敏漏过，前曼城中锋内格雷多禁区边缘左脚劲射，皮球击中左侧立柱内侧入网
39'唐宁左路拿球横敲，内格雷多得球抽射击中立柱弹进球门                   38'米堡第38分钟打破僵局，唐宁反击中左路横传，弗兰德机敏漏过，前曼城中锋内格雷多禁区边缘左脚劲射，皮球击中左侧立柱内侧入网
40'这下曼城麻烦了                   38'米堡第38分钟打破僵局，唐宁反击中左路横传，弗兰德机敏漏过，前曼城中锋内格雷多禁区边缘左脚劲射，皮球击中左侧立柱内侧入网
69'刚刚，萨内禁区内放倒了                   69'曼城第69分钟扳平，阿圭罗直传，萨内禁区左侧在德隆防守下摔倒，回放显示这次判罚具有争议，米堡球员激烈抗议，法比奥不满判罚被罚黄牌，德隆和萨内的冲突也均被黄牌警告，阿圭罗主罚点球命中，1-1
70'萨内前场左路被逼抢                   69'曼城第69分钟扳平，阿圭罗直传，萨内禁区左侧在德隆防守下摔倒，回放显示这次判罚具有争议，米堡球员激烈抗议，法比奥不满判罚被罚黄牌，德隆和萨内的冲突也均被黄牌警告，阿圭罗主罚点球命中，1-1
70'克莱顿断球成功                   69'曼城第69分钟扳平，阿圭罗直传，萨内禁区左侧在德隆防守下摔倒，回放显示这次判罚具有争议，米堡球员激烈抗议，法比奥不满判罚被罚黄牌，德隆和萨内的冲突也均被黄牌警告，阿圭罗主罚点球命中，1-1
71'双方中圈拼抢                   69'曼城第69分钟扳平，阿圭罗直传，萨内禁区左侧在德隆防守下摔倒，回放显示这次判罚具有争议，米堡球员激烈抗议，法比奥不满判罚被罚黄牌，德隆和萨内的冲突也均被黄牌警告，阿圭罗主罚点球命中，1-1
77'特劳雷拿到皮球！！发起快速反击                   77'米堡第77分钟再次领先，唐宁20码处任意球直接射门被卡巴列罗扑出，内格雷多混战中传球，钱伯斯近距离推射破门，2-1
77'被奥塔门迪一把拉倒！                   77'米堡第77分钟再次领先，唐宁20码处任意球直接射门被卡巴列罗扑出，内格雷多混战中传球，钱伯斯近距离推射破门，2-1
77'奥塔门迪吃到了黄牌                   77'米堡第77分钟再次领先，唐宁20码处任意球直接射门被卡巴列罗扑出，内格雷多混战中传球，钱伯斯近距离推射破门，2-1
78'米堡进球啦                   77'米堡第77分钟再次领先，唐宁20码处任意球直接射门被卡巴列罗扑出，内格雷多混战中传球，钱伯斯近距离推射破门，2-1
79'唐宁任意球打门，球被门将扑出，混战中钱伯斯推射破门                   77'米堡第77分钟再次领先，唐宁20码处任意球直接射门被卡巴列罗扑出，内格雷多混战中传球，钱伯斯近距离推射破门，2-1
79' 德布劳内角球开出！ 内格雷多头球解围                   77'米堡第77分钟再次领先，唐宁20码处任意球直接射门被卡巴列罗扑出，内格雷多混战中传球，钱伯斯近距离推射破门，2-1
80'孔帕尼！横敲一下！                   77'米堡第77分钟再次领先，唐宁20码处任意球直接射门被卡巴列罗扑出，内格雷多混战中传球，钱伯斯近距离推射破门，2-1
80'费尔南迪尼奥把球得到！ 遭到逼抢！                   77'米堡第77分钟再次领先，唐宁20码处任意球直接射门被卡巴列罗扑出，内格雷多混战中传球，钱伯斯近距离推射破门，2-1
