4'富勒姆球员鲁伊斯大禁区外左脚射门,被防守球员封堵.给他传球的是西德维尔.                   4'第4分钟，西德维尔传球，布莱恩-鲁伊斯禁区前劲射被默特萨克挡出
4'默特萨克将球处理出底线,富勒姆获得角球.                   4'第4分钟，西德维尔传球，布莱恩-鲁伊斯禁区前劲射被默特萨克挡出
6'沃尔科特为阿森纳在右路,赢得一个任意球.                   4'第4分钟，西德维尔传球，布莱恩-鲁伊斯禁区前劲射被默特萨克挡出
6'富勒姆球员里瑟拼抢犯规,对手获得控球权.                   4'第4分钟，西德维尔传球，布莱恩-鲁伊斯禁区前劲射被默特萨克挡出
7'阿森纳球员吉鲁德大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是阿尔特塔.                   4'第4分钟，西德维尔传球，布莱恩-鲁伊斯禁区前劲射被默特萨克挡出
11'里瑟将球处理出底线,阿森纳获得角球.                   11'阿森纳第11分钟取得领先，沃尔科特开出角球，吉鲁前点小禁区边缘抢在阿隆-休斯之前冲顶破门
11'进球啦！！！阿森纳球员吉鲁德大禁区中央头球,球从右上角飞进球门,球进了!助攻的是沃尔科特. 阿森纳 1-0 富勒姆.                   11'阿森纳第11分钟取得领先，沃尔科特开出角球，吉鲁前点小禁区边缘抢在阿隆-休斯之前冲顶破门
13'西德维尔为富勒姆赢得一个任意球.                   11'阿森纳第11分钟取得领先，沃尔科特开出角球，吉鲁前点小禁区边缘抢在阿隆-休斯之前冲顶破门
13'阿森纳球员卡佐拉拼抢犯规,对手获得控球权.                   11'阿森纳第11分钟取得领先，沃尔科特开出角球，吉鲁前点小禁区边缘抢在阿隆-休斯之前冲顶破门
23'进球啦！！！阿森纳球员波多尔斯基大禁区中央左脚射门,球从中路飞进球门,球进了!助攻的是阿尔特塔. 阿森纳 2-0 富勒姆.                   23'阿森纳第23分钟扩大比分，阿尔特塔禁区右侧传中，波多尔斯基小禁区边缘抢在里特尔之前捅射破门，2-0
23'富勒姆换人,卡坎克利奇上,理查德森因伤下场.                   23'阿森纳第23分钟扩大比分，阿尔特塔禁区右侧传中，波多尔斯基小禁区边缘抢在里特尔之前捅射破门，2-0
26'富勒姆球员德贾加拼抢犯规,对手获得控球权.                   23'阿森纳第23分钟扩大比分，阿尔特塔禁区右侧传中，波多尔斯基小禁区边缘抢在里特尔之前捅射破门，2-0
26'维尔玛伦为阿森纳赢得一个任意球.                   23'阿森纳第23分钟扩大比分，阿尔特塔禁区右侧传中，波多尔斯基小禁区边缘抢在里特尔之前捅射破门，2-0
29'进球啦！！！富勒姆球员贝尔巴托夫球门线跟前头球,球从中路飞进球门,球进了!助攻的是鲁伊斯. 阿森纳 2-1 富勒姆.                   29'富勒姆第29分钟扳回一城，布莱恩-鲁伊斯开出角球，无人防守的前曼联中锋贝尔巴托夫小禁区内头球破门，1-2
31'富勒姆球员贝尔巴托夫大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.                   29'富勒姆第29分钟扳回一城，布莱恩-鲁伊斯开出角球，无人防守的前曼联中锋贝尔巴托夫小禁区内头球破门，1-2
31'富勒姆球员里特拼抢犯规,对手获得控球权.                   29'富勒姆第29分钟扳回一城，布莱恩-鲁伊斯开出角球，无人防守的前曼联中锋贝尔巴托夫小禁区内头球破门，1-2
31'卡佐拉为阿森纳在对方半场,赢得一个任意球.                   29'富勒姆第29分钟扳回一城，布莱恩-鲁伊斯开出角球，无人防守的前曼联中锋贝尔巴托夫小禁区内头球破门，1-2
40'进球啦！！！富勒姆球员卡坎克利奇大禁区中央头球,球从左下角飞进球门,球进了!助攻的是贝尔巴托夫. 阿森纳 2-2 富勒姆.                   40'富勒姆第40分钟扳平比分，贝尔巴托夫禁区右侧传中，无人防守的卡卡尼克里奇14码处头球破门，2-2
41'富勒姆球员西德维尔拼抢犯规,对手获得控球权.                   40'富勒姆第40分钟扳平比分，贝尔巴托夫禁区右侧传中，无人防守的卡卡尼克里奇14码处头球破门，2-2
41'卡佐拉为阿森纳在对方半场,赢得一个任意球.                   40'富勒姆第40分钟扳平比分，贝尔巴托夫禁区右侧传中，无人防守的卡卡尼克里奇14码处头球破门，2-2
41'黄牌！富勒姆球员西德维尔因为恶意犯规,被主裁判出示黄牌.                   40'富勒姆第40分钟扳平比分，贝尔巴托夫禁区右侧传中，无人防守的卡卡尼克里奇14码处头球破门，2-2
42'阿森纳球员吉鲁德大禁区中央尝试头球,可惜皮球高出球门.给他传球的是阿尔特塔.                   40'富勒姆第40分钟扳平比分，贝尔巴托夫禁区右侧传中，无人防守的卡卡尼克里奇14码处头球破门，2-2
43'阿森纳球员默特萨克一脚直塞球给吉鲁德,但是边裁举旗显示后者已经越位.                   40'富勒姆第40分钟扳平比分，贝尔巴托夫禁区右侧传中，无人防守的卡卡尼克里奇14码处头球破门，2-2
51'富勒姆球员鲁伊斯大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是德贾加.                   51'第51分钟，德贾加传球，布莱恩-鲁伊斯禁区前射门打偏
54'富勒姆球员里瑟拼抢犯规,对手获得控球权.                   51'第51分钟，德贾加传球，布莱恩-鲁伊斯禁区前射门打偏
54'沃尔科特为阿森纳在右路,赢得一个任意球.                   51'第51分钟，德贾加传球，布莱恩-鲁伊斯禁区前射门打偏
59'富勒姆球员西德维尔拼抢犯规,对手获得控球权.                   59'第59分钟，西德维尔禁区前对卡索拉犯规被罚黄牌，拉姆塞防守中拉扯布莱恩-鲁伊斯球衣也被补发黄牌，卡索拉25码处任意球直接射门稍稍高出
59'卡佐拉为阿森纳在对方半场,赢得一个任意球.                   59'第59分钟，西德维尔禁区前对卡索拉犯规被罚黄牌，拉姆塞防守中拉扯布莱恩-鲁伊斯球衣也被补发黄牌，卡索拉25码处任意球直接射门稍稍高出
60'阿森纳球员拉姆塞被主裁判出示了一张黄牌.                   59'第59分钟，西德维尔禁区前对卡索拉犯规被罚黄牌，拉姆塞防守中拉扯布莱恩-鲁伊斯球衣也被补发黄牌，卡索拉25码处任意球直接射门稍稍高出
61'阿森纳球员卡佐拉大禁区外尝试右脚射门,可惜皮球稍稍高出球门.                   59'第59分钟，西德维尔禁区前对卡索拉犯规被罚黄牌，拉姆塞防守中拉扯布莱恩-鲁伊斯球衣也被补发黄牌，卡索拉25码处任意球直接射门稍稍高出
