1'斯图若多为尤文图斯在右路,赢得一个任意球.                   1'第1分钟，那不勒斯一点也不给双冠王面子，主动发起进攻
1'那不勒斯球员加尔加诺拼抢犯规,对手获得控球权.                   1'第1分钟，那不勒斯一点也不给双冠王面子，主动发起进攻
2'卡列洪为那不勒斯在右路,赢得一个任意球.                   1'第1分钟，那不勒斯一点也不给双冠王面子，主动发起进攻
2'尤文图斯球员阿萨莫阿拼抢犯规,对手获得控球权.                   1'第1分钟，那不勒斯一点也不给双冠王面子，主动发起进攻
3'射门!!!那不勒斯球员默滕斯大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是因西涅.                   1'第1分钟，那不勒斯一点也不给双冠王面子，主动发起进攻
3'布冯将球处理出底线,那不勒斯获得角球.                   1'第1分钟，那不勒斯一点也不给双冠王面子，主动发起进攻
3'射门!!!那不勒斯球员D-洛佩斯大禁区中央头球,被对方守门员横身扑出.给他传球的是默滕斯.                   1'第1分钟，那不勒斯一点也不给双冠王面子，主动发起进攻
4'那不勒斯球员卡列洪拼抢犯规,对手获得控球权.                   1'第1分钟，那不勒斯一点也不给双冠王面子，主动发起进攻
4'阿萨莫阿为尤文图斯赢得一个任意球.                   1'第1分钟，那不勒斯一点也不给双冠王面子，主动发起进攻
13'进球啦！！！尤文图斯球员佩雷拉大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是科曼. 尤文图斯 1-0 那不勒斯.                   13'稳住阵脚的尤文随后取得领先，第13分钟，科曼中路巧妙挑传，佩雷拉反越位单刀距门9米处推进右下角，1比0，这是他本赛季第5球(联赛3球)
14'尤文图斯球员斯图若多一脚直塞球给莫拉塔,但是边裁举旗显示后者已经越位.                   13'稳住阵脚的尤文随后取得领先，第13分钟，科曼中路巧妙挑传，佩雷拉反越位单刀距门9米处推进右下角，1比0，这是他本赛季第5球(联赛3球)
16'阿萨莫阿将球处理出底线,那不勒斯获得角球.                   13'稳住阵脚的尤文随后取得领先，第13分钟，科曼中路巧妙挑传，佩雷拉反越位单刀距门9米处推进右下角，1比0，这是他本赛季第5球(联赛3球)
16'那不勒斯球员布里托斯拼抢犯规,对手获得控球权.                   13'稳住阵脚的尤文随后取得领先，第13分钟，科曼中路巧妙挑传，佩雷拉反越位单刀距门9米处推进右下角，1比0，这是他本赛季第5球(联赛3球)
16'斯图若多为尤文图斯赢得一个任意球.                   13'稳住阵脚的尤文随后取得领先，第13分钟，科曼中路巧妙挑传，佩雷拉反越位单刀距门9米处推进右下角，1比0，这是他本赛季第5球(联赛3球)
36'尤文图斯球员博格巴大禁区外尝试右脚射门,可惜皮球稍稍高出球门.                   36'第36分钟，斯图拉罗中路连续过人被布里托斯绊倒，博格巴在门前17米处主罚任意球高出少许
37'那不勒斯球员马乔拼抢犯规,对手获得控球权.                   36'第36分钟，斯图拉罗中路连续过人被布里托斯绊倒，博格巴在门前17米处主罚任意球高出少许
37'博格巴为尤文图斯在对方半场,赢得一个任意球.                   36'第36分钟，斯图拉罗中路连续过人被布里托斯绊倒，博格巴在门前17米处主罚任意球高出少许
49'尤文图斯球员阿萨莫阿手球,致使对方获得点球.                   49'第49分钟，梅尔滕斯挑传禁区击中阿萨莫阿左手，班蒂吹罚点球
49'黄牌！尤文图斯球员阿萨莫阿因为故意手球,被主裁判出示黄牌.                   49'第49分钟，梅尔滕斯挑传禁区击中阿萨莫阿左手，班蒂吹罚点球
50'那不勒斯球员因西涅点球被对方守门员扑出.点球罚失.                   49'第49分钟，梅尔滕斯挑传禁区击中阿萨莫阿左手，班蒂吹罚点球
50'进球啦！！！那不勒斯球员D-洛佩斯大禁区中央左脚射门,球从左下角飞进球门,球进了! 尤文图斯 1-1 那不勒斯.                   49'第49分钟，梅尔滕斯挑传禁区击中阿萨莫阿左手，班蒂吹罚点球
51'古拉姆将球处理出底线,尤文图斯获得角球.                   49'第49分钟，梅尔滕斯挑传禁区击中阿萨莫阿左手，班蒂吹罚点球
51'尤文图斯球员博格巴大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是马尔基西奥.                   49'第49分钟，梅尔滕斯挑传禁区击中阿萨莫阿左手，班蒂吹罚点球
51'那不勒斯球员卡列洪拼抢犯规,对手获得控球权.                   49'第49分钟，梅尔滕斯挑传禁区击中阿萨莫阿左手，班蒂吹罚点球
51'阿萨莫阿为尤文图斯赢得一个任意球.                   49'第49分钟，梅尔滕斯挑传禁区击中阿萨莫阿左手，班蒂吹罚点球
52'那不勒斯球员古拉姆拼抢犯规,对手获得控球权.                   49'第49分钟，梅尔滕斯挑传禁区击中阿萨莫阿左手，班蒂吹罚点球
52'斯图若多为尤文图斯在对方半场,赢得一个任意球.                   49'第49分钟，梅尔滕斯挑传禁区击中阿萨莫阿左手，班蒂吹罚点球
69'射门!!!那不勒斯球员D-洛佩斯大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是马乔.                   69'第69分钟，马乔右侧顶向中路，大卫-洛佩斯在门前14米处凌空推射被布冯单手托出横梁，梅尔滕斯左侧开出角球，哈姆西克后点距门5米处头球弹地被布冯封出近角，卡列洪右侧再开角球，布冯出击扑空，大卫-洛佩斯又顶出弹地球被挡出
69'布冯将球处理出底线,那不勒斯获得角球.                   69'第69分钟，马乔右侧顶向中路，大卫-洛佩斯在门前14米处凌空推射被布冯单手托出横梁，梅尔滕斯左侧开出角球，哈姆西克后点距门5米处头球弹地被布冯封出近角，卡列洪右侧再开角球，布冯出击扑空，大卫-洛佩斯又顶出弹地球被挡出
69'射门!!!那不勒斯球员哈姆西克小禁区右侧头球,被对方守门员横身扑出.给他传球的是默滕斯.                   69'第69分钟，马乔右侧顶向中路，大卫-洛佩斯在门前14米处凌空推射被布冯单手托出横梁，梅尔滕斯左侧开出角球，哈姆西克后点距门5米处头球弹地被布冯封出近角，卡列洪右侧再开角球，布冯出击扑空，大卫-洛佩斯又顶出弹地球被挡出
