18'国际米兰坎比亚索受伤倒地,比赛暂停                   18'第18分钟，坎比亚索受伤到场边治疗
18'暂停结束,球员们重新开始比赛.                   18'第18分钟，坎比亚索受伤到场边治疗
21'国际米兰球员若纳坦大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是泰德尔.                   18'第18分钟，坎比亚索受伤到场边治疗
30'利沃诺球员巴尔迪自摆乌龙,国际米兰 1-0 利沃诺                   30'国米第30分钟取得领先，若纳坦右路弧线球传中，巴尔迪前点出击倒地扑球，但球从他怀中漏出滚入近角，1比0
31'邓肯为利沃诺在左路,赢得一个任意球.                   30'国米第30分钟取得领先，若纳坦右路弧线球传中，巴尔迪前点出击倒地扑球，但球从他怀中漏出滚入近角，1比0
31'国际米兰球员拉诺齐亚拼抢犯规,对手获得控球权.                   30'国米第30分钟取得领先，若纳坦右路弧线球传中，巴尔迪前点出击倒地扑球，但球从他怀中漏出滚入近角，1比0
32'黄牌！国际米兰球员拉诺齐亚因为恶意犯规,被主裁判出示黄牌.                   30'国米第30分钟取得领先，若纳坦右路弧线球传中，巴尔迪前点出击倒地扑球，但球从他怀中漏出滚入近角，1比0
32'姆巴耶为利沃诺在右路,赢得一个任意球.                   30'国米第30分钟取得领先，若纳坦右路弧线球传中，巴尔迪前点出击倒地扑球，但球从他怀中漏出滚入近角，1比0
32'国际米兰球员萨穆埃尔拼抢犯规,对手获得控球权.                   30'国米第30分钟取得领先，若纳坦右路弧线球传中，巴尔迪前点出击倒地扑球，但球从他怀中漏出滚入近角，1比0
33'黄牌！国际米兰球员萨穆埃尔因为恶意犯规,被主裁判出示黄牌.                   30'国米第30分钟取得领先，若纳坦右路弧线球传中，巴尔迪前点出击倒地扑球，但球从他怀中漏出滚入近角，1比0
40'邓肯为利沃诺赢得一个任意球.                   40'第40分钟，坎比亚索右路传中，帕拉西奥后点头球吊射被巴尔迪摘到
40'国际米兰球员泰德尔拼抢犯规,对手获得控球权.                   40'第40分钟，坎比亚索右路传中，帕拉西奥后点头球吊射被巴尔迪摘到
41'国际米兰球员帕拉西奥大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是坎比亚索.                   40'第40分钟，坎比亚索右路传中，帕拉西奥后点头球吊射被巴尔迪摘到
54'利沃诺球员埃莫森直接任意球尝试左脚射门,可惜皮球稍稍偏出了右球门.                   54'第54分钟，埃莫森左脚任意球偏出远门柱
55'利沃诺球员保利尼奥大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是卢西.                   54'第54分钟，埃莫森左脚任意球偏出远门柱
57'利沃诺球员卢西大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   54'第54分钟，埃莫森左脚任意球偏出远门柱
64'姆巴耶将球处理出底线,国际米兰获得角球.                   64'第64分钟，坎比亚索开出角球，萨穆埃尔争顶高出
64'国际米兰球员萨穆埃尔大禁区中央尝试头球,可惜皮球高出球门.给他传球的是坎比亚索.                   64'第64分钟，坎比亚索开出角球，萨穆埃尔争顶高出
65'利沃诺换人,埃梅加拉换下希利加尔迪                   64'第64分钟，坎比亚索开出角球，萨穆埃尔争顶高出
65'国际米兰球员帕拉西奥球门线跟前右脚射门,被防守球员封堵.给他传球的是长友佑都.                   64'第64分钟，坎比亚索开出角球，萨穆埃尔争顶高出
66'姆巴耶为利沃诺赢得一个任意球.                   64'第64分钟，坎比亚索开出角球，萨穆埃尔争顶高出
66'国际米兰球员瓜林拼抢犯规,对手获得控球权.                   64'第64分钟，坎比亚索开出角球，萨穆埃尔争顶高出
65'利沃诺换人,埃梅加拉换下希利加尔迪                   65'第65分钟，长友佑都左路传球，帕莱希奥在门前3米处推射被瓦伦蒂尼挡出
65'国际米兰球员帕拉西奥球门线跟前右脚射门,被防守球员封堵.给他传球的是长友佑都.                   65'第65分钟，长友佑都左路传球，帕莱希奥在门前3米处推射被瓦伦蒂尼挡出
66'姆巴耶为利沃诺赢得一个任意球.                   65'第65分钟，长友佑都左路传球，帕莱希奥在门前3米处推射被瓦伦蒂尼挡出
66'国际米兰球员瓜林拼抢犯规,对手获得控球权.                   65'第65分钟，长友佑都左路传球，帕莱希奥在门前3米处推射被瓦伦蒂尼挡出
73'射门!!!国际米兰球员坎比亚索大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是长友佑都.                   73'第73分钟，国米禁区内小配合，长友佑都做给坎比亚索，坎比亚索在门前12米处推射被巴尔迪倒地没收
73'利沃诺球员保利尼奥手球犯规,对手获得球权.                   73'第73分钟，国米禁区内小配合，长友佑都做给坎比亚索，坎比亚索在门前12米处推射被巴尔迪倒地没收
73'黄牌！利沃诺球员保利尼奥因为故意手球,被主裁判出示黄牌.                   73'第73分钟，国米禁区内小配合，长友佑都做给坎比亚索，坎比亚索在门前12米处推射被巴尔迪倒地没收
