10'卡奥塔里将球处理出底线,巴黎圣日耳曼获得角球.                   10'第10分钟，伊布挑传，马克斯维尔禁区左侧传射被卡奥塔里拦截解围
11'巴黎圣日耳曼球员马图伊迪大禁区外左脚射门,被防守球员封堵.给他传球的是大卫-路易斯.                   10'第10分钟，伊布挑传，马克斯维尔禁区左侧传射被卡奥塔里拦截解围
13'巴黎圣日耳曼球员卡瓦尼大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是小卢卡斯.                   10'第10分钟，伊布挑传，马克斯维尔禁区左侧传射被卡奥塔里拦截解围
13'蒙彼利埃球员马丁拼抢犯规,对手获得控球权.                   10'第10分钟，伊布挑传，马克斯维尔禁区左侧传射被卡奥塔里拦截解围
13'大卫-路易斯为巴黎圣日耳曼赢得一个任意球.                   10'第10分钟，伊布挑传，马克斯维尔禁区左侧传射被卡奥塔里拦截解围
42'蒙彼利埃球员塞希拼抢犯规,对手获得控球权.                   40'第40分钟，马图伊迪、伊布和维拉蒂连续传球，但卡瓦尼停球稍大错过绝佳机会
42'马图伊迪为巴黎圣日耳曼赢得一个任意球.                   40'第40分钟，马图伊迪、伊布和维拉蒂连续传球，但卡瓦尼停球稍大错过绝佳机会
64'卡奥塔里将球处理出底线,巴黎圣日耳曼获得角球.                   64'第64分钟，莫塔开出角球，蒂亚戈-席尔瓦前点头球攻门被对方后卫在门线前头球解围
64'巴黎圣日耳曼球员蒂亚戈-席尔瓦小禁区右侧头球,被防守球员封堵.给他传球的是莫塔.                   64'第64分钟，莫塔开出角球，蒂亚戈-席尔瓦前点头球攻门被对方后卫在门线前头球解围
65'巴黎圣日耳曼换人,拉比奥特换下马图伊迪                   64'第64分钟，莫塔开出角球，蒂亚戈-席尔瓦前点头球攻门被对方后卫在门线前头球解围
65'巴黎圣日耳曼换人,巴希贝克换下卡瓦尼                   64'第64分钟，莫塔开出角球，蒂亚戈-席尔瓦前点头球攻门被对方后卫在门线前头球解围
67'巴黎圣日耳曼球员巴希贝克大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   64'第64分钟，莫塔开出角球，蒂亚戈-席尔瓦前点头球攻门被对方后卫在门线前头球解围
