1'上半场比赛开始                   1'水晶宫第1分钟连续制造角球机会，但并未给蓝军防线制造麻烦
1'首先由白衣白裤的水晶宫开球，从画面的左侧向右进攻                   1'水晶宫第1分钟连续制造角球机会，但并未给蓝军防线制造麻烦
1'萨科左路拿球，面对伊万的防守，强突赢得角球                   1'水晶宫第1分钟连续制造角球机会，但并未给蓝军防线制造麻烦
2'卡巴耶主罚这次左侧的角球，战术角球                   1'水晶宫第1分钟连续制造角球机会，但并未给蓝军防线制造麻烦
2'萨科左侧45度斜传球到禁区，被卡希尔解围出底线                   1'水晶宫第1分钟连续制造角球机会，但并未给蓝军防线制造麻烦
3'水晶宫再次获得左侧角球，庞彻昂主罚                   1'水晶宫第1分钟连续制造角球机会，但并未给蓝军防线制造麻烦
3'角球开出到后点，第一点被切尔西球员解围                   1'水晶宫第1分钟连续制造角球机会，但并未给蓝军防线制造麻烦
3'萨科外围再传，可惜抢点的队友越位在先                   1'水晶宫第1分钟连续制造角球机会，但并未给蓝军防线制造麻烦
4'佩德罗中场拿球，分边左侧给上去的阿斯皮利奎塔                   1'水晶宫第1分钟连续制造角球机会，但并未给蓝军防线制造麻烦
4'阿斯皮利奎塔面对逼抢，回传后场给卡希尔                   1'水晶宫第1分钟连续制造角球机会，但并未给蓝军防线制造麻烦
4'卡希尔分球给马蒂奇，马蒂奇再给伊万                   1'水晶宫第1分钟连续制造角球机会，但并未给蓝军防线制造麻烦
42'角球开出到禁区，伊万高高跃起头球解围                   42'第42分钟，阿扎尔传球，迭戈-科斯塔禁区右侧小角度射门被扑出，法布雷加斯14码处再射仍被麦卡锡扑出，佩德罗小禁区前扫射错过皮球
42'科斯塔从苏瓦雷脚下断球，反击啦                   42'第42分钟，阿扎尔传球，迭戈-科斯塔禁区右侧小角度射门被扑出，法布雷加斯14码处再射仍被麦卡锡扑出，佩德罗小禁区前扫射错过皮球
42'科斯塔右路拿球，横传小法                   42'第42分钟，阿扎尔传球，迭戈-科斯塔禁区右侧小角度射门被扑出，法布雷加斯14码处再射仍被麦卡锡扑出，佩德罗小禁区前扫射错过皮球
43'小法起球到禁区，佩德罗打门被挡出                   42'第42分钟，阿扎尔传球，迭戈-科斯塔禁区右侧小角度射门被扑出，法布雷加斯14码处再射仍被麦卡锡扑出，佩德罗小禁区前扫射错过皮球
43'小法跟进补射，再被麦卡锡封堵                   42'第42分钟，阿扎尔传球，迭戈-科斯塔禁区右侧小角度射门被扑出，法布雷加斯14码处再射仍被麦卡锡扑出，佩德罗小禁区前扫射错过皮球
43'蓝军队员跟上还想打，被回防的水晶宫球员赶紧大脚解围                   42'第42分钟，阿扎尔传球，迭戈-科斯塔禁区右侧小角度射门被扑出，法布雷加斯14码处再射仍被麦卡锡扑出，佩德罗小禁区前扫射错过皮球
44'佩德罗左路拿球，横传给到马蒂奇                   42'第42分钟，阿扎尔传球，迭戈-科斯塔禁区右侧小角度射门被扑出，法布雷加斯14码处再射仍被麦卡锡扑出，佩德罗小禁区前扫射错过皮球
44'马蒂奇停球，一扣，接着变向，晃开两名防守球员                   42'第42分钟，阿扎尔传球，迭戈-科斯塔禁区右侧小角度射门被扑出，法布雷加斯14码处再射仍被麦卡锡扑出，佩德罗小禁区前扫射错过皮球
44'左脚推射，太正啦，被麦卡锡轻松倒地没收                   42'第42分钟，阿扎尔传球，迭戈-科斯塔禁区右侧小角度射门被扑出，法布雷加斯14码处再射仍被麦卡锡扑出，佩德罗小禁区前扫射错过皮球
45'上半场比赛进入尾声，比分依旧是0-0                   42'第42分钟，阿扎尔传球，迭戈-科斯塔禁区右侧小角度射门被扑出，法布雷加斯14码处再射仍被麦卡锡扑出，佩德罗小禁区前扫射错过皮球
65'博拉西耶头球后蹭，萨科在球门线上将球解围                   65'水晶宫第65分钟打破僵局，索亚雷直传，博拉西耶禁区左侧传中，阿斯皮利奎塔封铲未能解围，萨科10码处射入上角
65'水晶宫进球啦！！！                   65'水晶宫第65分钟打破僵局，索亚雷直传，博拉西耶禁区左侧传中，阿斯皮利奎塔封铲未能解围，萨科10码处射入上角
65'此时此刻值得来杯嘉士伯！！！！                   65'水晶宫第65分钟打破僵局，索亚雷直传，博拉西耶禁区左侧传中，阿斯皮利奎塔封铲未能解围，萨科10码处射入上角
66'萨科的右脚抽射打进！！！                   65'水晶宫第65分钟打破僵局，索亚雷直传，博拉西耶禁区左侧传中，阿斯皮利奎塔封铲未能解围，萨科10码处射入上角
