6'张璐将球挑到前场，荣昊头球顶一下                   6'第6分钟，张琳M中场拦截离门四十多米突然起右脚劲射，球稍稍高出横梁
6'里皮已经站到场边提醒球员                   6'第6分钟，张琳M中场拦截离门四十多米突然起右脚劲射，球稍稍高出横梁
7'郑智控球交给廖力生                   6'第6分钟，张琳M中场拦截离门四十多米突然起右脚劲射，球稍稍高出横梁
7'廖力生传球被李志南拦截                   6'第6分钟，张琳M中场拦截离门四十多米突然起右脚劲射，球稍稍高出横梁
7'河南队连续转移到到左路，可惜徐洋前插快了一点，越位了                   6'第6分钟，张琳M中场拦截离门四十多米突然起右脚劲射，球稍稍高出横梁
7'恒大右路的进攻，迪亚曼蒂斜长传左路被谭望嵩先顶一下                   6'第6分钟，张琳M中场拦截离门四十多米突然起右脚劲射，球稍稍高出横梁
8'中场还是恒大控球，迪亚曼蒂分边被谭望嵩断了                   6'第6分钟，张琳M中场拦截离门四十多米突然起右脚劲射，球稍稍高出横梁
8'马科斯回中场接应往右路走，郑智放铲将球铲出边线                   6'第6分钟，张琳M中场拦截离门四十多米突然起右脚劲射，球稍稍高出横梁
8'金英权传球失误，拉斐尔中路突进没有突过去                   6'第6分钟，张琳M中场拦截离门四十多米突然起右脚劲射，球稍稍高出横梁
9'荣昊右路得球交给迪亚曼蒂，迪亚曼蒂送出一记很有穿透力的直传                   6'第6分钟，张琳M中场拦截离门四十多米突然起右脚劲射，球稍稍高出横梁
9'董学升右路传中没有传好被李志南大脚破坏                   6'第6分钟，张琳M中场拦截离门四十多米突然起右脚劲射，球稍稍高出横梁
9'马科斯中场是球交给了左路拉斐尔                   6'第6分钟，张琳M中场拦截离门四十多米突然起右脚劲射，球稍稍高出横梁
9'拉斐尔再直塞，马科斯已经到这一侧                   6'第6分钟，张琳M中场拦截离门四十多米突然起右脚劲射，球稍稍高出横梁
12'廖力生左路直塞找郜林，郜林背身拿球被李志南推倒                   12'第12分钟，郜林前场左路背身拿球造犯规，迪亚曼蒂主罚任意球球门后点，后点跟进球员金英权头球攻门，可惜落点判断有所失误球划门而过
12'恒大获得一个前场左路的任意球机会                   12'第12分钟，郜林前场左路背身拿球造犯规，迪亚曼蒂主罚任意球球门后点，后点跟进球员金英权头球攻门，可惜落点判断有所失误球划门而过
12'迪亚曼蒂发远门柱找张琳芃，张琳芃跃起没有顶到球                   12'第12分钟，郜林前场左路背身拿球造犯规，迪亚曼蒂主罚任意球球门后点，后点跟进球员金英权头球攻门，可惜落点判断有所失误球划门而过
12'后点荣昊再传中也被桑科解围                   12'第12分钟，郜林前场左路背身拿球造犯规，迪亚曼蒂主罚任意球球门后点，后点跟进球员金英权头球攻门，可惜落点判断有所失误球划门而过
13'徐洋左路分边球被郑智断下                   12'第12分钟，郜林前场左路背身拿球造犯规，迪亚曼蒂主罚任意球球门后点，后点跟进球员金英权头球攻门，可惜落点判断有所失误球划门而过
13'雷内左路得球，调整到右脚传到禁区，桑科将球解围                   12'第12分钟，郜林前场左路背身拿球造犯规，迪亚曼蒂主罚任意球球门后点，后点跟进球员金英权头球攻门，可惜落点判断有所失误球划门而过
14'孙祥左路起球传中，球速比较慢，尹鸿博伸脚解围踢嗤了，还好球速不快                   12'第12分钟，郜林前场左路背身拿球造犯规，迪亚曼蒂主罚任意球球门后点，后点跟进球员金英权头球攻门，可惜落点判断有所失误球划门而过
14'周亚君将球没收                   12'第12分钟，郜林前场左路背身拿球造犯规，迪亚曼蒂主罚任意球球门后点，后点跟进球员金英权头球攻门，可惜落点判断有所失误球划门而过
14'恒大后场倒脚，马科斯与拉斐尔扑得很凶                   12'第12分钟，郜林前场左路背身拿球造犯规，迪亚曼蒂主罚任意球球门后点，后点跟进球员金英权头球攻门，可惜落点判断有所失误球划门而过
15'建业中场断球，张璐分给左路的马科斯                   12'第12分钟，郜林前场左路背身拿球造犯规，迪亚曼蒂主罚任意球球门后点，后点跟进球员金英权头球攻门，可惜落点判断有所失误球划门而过
15'马科斯内切后卫大力旋球门右上角，李帅飞身侧扑将球扑出！                   12'第12分钟，郜林前场左路背身拿球造犯规，迪亚曼蒂主罚任意球球门后点，后点跟进球员金英权头球攻门，可惜落点判断有所失误球划门而过
17'荣昊内切后传到禁区内，郜林背身要球被桑科破坏                   17'第17分钟，广州恒大中场策动进攻，迪亚曼蒂将球转移到左路，金英权高速插上稍作调整起左脚劲射，周亚君横身将球扑出底线
17'金英权也冲上来，距离球门35米大力远射，球在门前弹地直窜球门，周亚君倒地将球扑出底线                   17'第17分钟，广州恒大中场策动进攻，迪亚曼蒂将球转移到左路，金英权高速插上稍作调整起左脚劲射，周亚君横身将球扑出底线
17'迪亚曼蒂角球发后点，周亚君出击将球摘下                   17'第17分钟，广州恒大中场策动进攻，迪亚曼蒂将球转移到左路，金英权高速插上稍作调整起左脚劲射，周亚君横身将球扑出底线
