66'多特蒙德球员奥巴梅扬一脚直塞球给罗伊斯,但是边裁举旗显示后者已经越位.                   66'第66分钟，奥巴梅扬直传，罗伊斯将球打进，但越位在先
66'不伦瑞克球员克拉茨拼抢犯规,对手获得控球权.                   66'第66分钟，奥巴梅扬直传，罗伊斯将球打进，但越位在先
66'罗伊斯为多特蒙德赢得一个任意球.                   66'第66分钟，奥巴梅扬直传，罗伊斯将球打进，但越位在先
67'多特蒙德球员莱万多夫斯基大禁区左侧右脚射门,被防守球员封堵.                   66'第66分钟，奥巴梅扬直传，罗伊斯将球打进，但越位在先
67'多特蒙德球员奥巴梅扬大禁区中央尝试右脚射门,可惜皮球稍稍高出球门.                   66'第66分钟，奥巴梅扬直传，罗伊斯将球打进，但越位在先
68'多特蒙德换人,J-霍夫曼换下奥巴梅扬                   66'第66分钟，奥巴梅扬直传，罗伊斯将球打进，但越位在先
68'射门!!!多特蒙德球员姆希塔良大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是沙欣.                   66'第66分钟，奥巴梅扬直传，罗伊斯将球打进，但越位在先
85'不伦瑞克球员比查克契奇犯规,致使对方获得点球.                   85'第85分钟，霍夫曼突入禁区左侧被比查克契奇铲倒，点球
85'点球,J-霍夫曼在禁区内被侵犯,多特蒙德获得点球.                   85'第85分钟，霍夫曼突入禁区左侧被比查克契奇铲倒，点球
86'进球啦！！！多特蒙德球员罗伊斯右脚射门,球从右下角飞进球门,球进了! 多特蒙德 2-0 不伦瑞克.                   85'第85分钟，霍夫曼突入禁区左侧被比查克契奇铲倒，点球
87'克拉茨为不伦瑞克在左路,赢得一个任意球.                   85'第85分钟，霍夫曼突入禁区左侧被比查克契奇铲倒，点球
87'多特蒙德球员格罗斯克罗伊茨拼抢犯规,对手获得控球权.                   85'第85分钟，霍夫曼突入禁区左侧被比查克契奇铲倒，点球
88'胡梅尔斯将球处理出底线,不伦瑞克获得角球.                   85'第85分钟，霍夫曼突入禁区左侧被比查克契奇铲倒，点球
89'进球啦！！！不伦瑞克球员克拉茨大禁区中央头球,球从中路偏上飞进球门,球进了!助攻的是博兰德. 多特蒙德 2-1 不伦瑞克.                   89'第89分钟，博兰德右侧开出角球，克拉茨前点距门7米处小角度头球蹭莱万头部入远角，1比2
90'不伦瑞克球员托伊尔考夫拼抢犯规,对手获得控球权.                   89'第89分钟，博兰德右侧开出角球，克拉茨前点距门7米处小角度头球蹭莱万头部入远角，1比2
90'沙欣为多特蒙德在对方半场,赢得一个任意球.                   89'第89分钟，博兰德右侧开出角球，克拉茨前点距门7米处小角度头球蹭莱万头部入远角，1比2
90'+1'托伊尔考夫为不伦瑞克赢得一个任意球.                   89'第89分钟，博兰德右侧开出角球，克拉茨前点距门7米处小角度头球蹭莱万头部入远角，1比2
90'+1'多特蒙德球员姆希塔良拼抢犯规,对手获得控球权.                   89'第89分钟，博兰德右侧开出角球，克拉茨前点距门7米处小角度头球蹭莱万头部入远角，1比2
90'+2'多特蒙德换人,杜克施换下姆希塔良                   89'第89分钟，博兰德右侧开出角球，克拉茨前点距门7米处小角度头球蹭莱万头部入远角，1比2
90'+2'射门!!!不伦瑞克球员托伊尔考夫大禁区外左脚射门,被对方守门员横身扑出.                   89'第89分钟，博兰德右侧开出角球，克拉茨前点距门7米处小角度头球蹭莱万头部入远角，1比2
90'+3'下半场结束,多特蒙德 2-1 不伦瑞克                   89'第89分钟，博兰德右侧开出角球，克拉茨前点距门7米处小角度头球蹭莱万头部入远角，1比2
