10'汪佳捷的45度斜传球到禁区，第一点被陈晓头球解围！！                   10'10分钟之内上港获得不少禁区内射门的机会，但总是最后一脚传球处理不到位
10'上港前场再攻，傅欢右路拿球，冯刚回防将球破坏出边线！                   10'10分钟之内上港获得不少禁区内射门的机会，但总是最后一脚传球处理不到位
11'上半场比赛10分钟，比分依旧是0-0！！                   10'10分钟之内上港获得不少禁区内射门的机会，但总是最后一脚传球处理不到位
11'场面上上港稍稍占据优势！！                   10'10分钟之内上港获得不少禁区内射门的机会，但总是最后一脚传球处理不到位
12'于海左路的斜传球打身后，张磊出击，抢在埃尔克森之前将球拿到！                   10'10分钟之内上港获得不少禁区内射门的机会，但总是最后一脚传球处理不到位
12'曹海清左路拿球，横传找卡希尔，被断！！                   10'10分钟之内上港获得不少禁区内射门的机会，但总是最后一脚传球处理不到位
13'上港的反击，埃尔克森拿球，摆脱吴范锡的上抢！！                   10'10分钟之内上港获得不少禁区内射门的机会，但总是最后一脚传球处理不到位
13'埃尔克森强突下底，倒三角回传中路，可惜于海跑过了！！                   10'10分钟之内上港获得不少禁区内射门的机会，但总是最后一脚传球处理不到位
25'黄希扬中场和埃尔克森争抢头球！！                   25'第25分钟武磊禁区外拿球，他顺势过掉黄希扬之后，直接起脚打低平球，张磊为了防止雨天湿滑硬接造成失误，他先把球拍出后再稳稳接住
25'黄希扬被撞翻在地，犯规！！                   25'第25分钟武磊禁区外拿球，他顺势过掉黄希扬之后，直接起脚打低平球，张磊为了防止雨天湿滑硬接造成失误，他先把球拍出后再稳稳接住
25'绿城前场中路的任意球机会！！                   25'第25分钟武磊禁区外拿球，他顺势过掉黄希扬之后，直接起脚打低平球，张磊为了防止雨天湿滑硬接造成失误，他先把球拍出后再稳稳接住
25'黄希扬任意球斜传禁区，直接被颜骏凌出击拿到！！                   25'第25分钟武磊禁区外拿球，他顺势过掉黄希扬之后，直接起脚打低平球，张磊为了防止雨天湿滑硬接造成失误，他先把球拍出后再稳稳接住
26'上港的前场进攻，武磊拿球强突，禁区弧位置起脚低射！！                   25'第25分钟武磊禁区外拿球，他顺势过掉黄希扬之后，直接起脚打低平球，张磊为了防止雨天湿滑硬接造成失误，他先把球拍出后再稳稳接住
26'张磊出击将球封堵，脱手，好在第二反应不错！！                   25'第25分钟武磊禁区外拿球，他顺势过掉黄希扬之后，直接起脚打低平球，张磊为了防止雨天湿滑硬接造成失误，他先把球拍出后再稳稳接住
26'张磊抢在上来准备补射的埃尔克森之前，将球收入怀中！                   25'第25分钟武磊禁区外拿球，他顺势过掉黄希扬之后，直接起脚打低平球，张磊为了防止雨天湿滑硬接造成失误，他先把球拍出后再稳稳接住
27'孔卡中场和黄希扬争抢头球，孔卡被吹顶人犯规！！                   25'第25分钟武磊禁区外拿球，他顺势过掉黄希扬之后，直接起脚打低平球，张磊为了防止雨天湿滑硬接造成失误，他先把球拍出后再稳稳接住
27'黄希扬是绿城这边的场上队长！！                   25'第25分钟武磊禁区外拿球，他顺势过掉黄希扬之后，直接起脚打低平球，张磊为了防止雨天湿滑硬接造成失误，他先把球拍出后再稳稳接住
28'黄希扬任意球斜传禁区，卡希尔抢点和出击的颜骏凌相撞！！                   25'第25分钟武磊禁区外拿球，他顺势过掉黄希扬之后，直接起脚打低平球，张磊为了防止雨天湿滑硬接造成失误，他先把球拍出后再稳稳接住
28'卡希尔被吹冲撞门将犯规！！两人握手致歉！！                   25'第25分钟武磊禁区外拿球，他顺势过掉黄希扬之后，直接起脚打低平球，张磊为了防止雨天湿滑硬接造成失误，他先把球拍出后再稳稳接住
32'孔卡中场拿球，直塞找埃尔克森！！                   32'第32分钟张卫左路助攻上前，他在禁区附近拨球给埃尔克森，后者下底传中，此球冲着后门柱而来，曹海清抢在武磊之前头球解围，差点把球顶进自家大门
32'埃尔克森停球没停好，再拿，球先出边线！！                   32'第32分钟张卫左路助攻上前，他在禁区附近拨球给埃尔克森，后者下底传中，此球冲着后门柱而来，曹海清抢在武磊之前头球解围，差点把球顶进自家大门
33'上港前场的进攻，于海左路拿球，斜传找武磊                   32'第32分钟张卫左路助攻上前，他在禁区附近拨球给埃尔克森，后者下底传中，此球冲着后门柱而来，曹海清抢在武磊之前头球解围，差点把球顶进自家大门
33'武磊停球内切，被吴范锡抢先将球破坏出边线！！                   32'第32分钟张卫左路助攻上前，他在禁区附近拨球给埃尔克森，后者下底传中，此球冲着后门柱而来，曹海清抢在武磊之前头球解围，差点把球顶进自家大门
33'于海左路拿球，直塞给到埃尔克森！！                   32'第32分钟张卫左路助攻上前，他在禁区附近拨球给埃尔克森，后者下底传中，此球冲着后门柱而来，曹海清抢在武磊之前头球解围，差点把球顶进自家大门
