2'弗洛雷斯为萨索洛在对方半场,赢得一个任意球.                   1'第1分钟，伊图尔韦突入禁区左侧打高
2'罗马球员皮亚尼奇拼抢犯规,对手获得控球权.                   1'第1分钟，伊图尔韦突入禁区左侧打高
2'罗马球员Juan Iturbe大禁区左侧尝试左脚射门,可惜皮球高出球门.给他传球的是托蒂.                   1'第1分钟，伊图尔韦突入禁区左侧打高
22'进球啦！！！萨索洛球员德夫雷尔大禁区外左脚射门,球从右下角飞进球门,球进了!助攻的是波利塔诺. 罗马 0-1 萨索洛.                   22'第22分钟，德弗雷尔背身给波利塔诺做墙，再接波利塔诺直塞变线闪开马诺拉斯，在门前14米处左脚低射钻进右下角，罗马0比1落后
24'罗马球员吕迪格大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是德罗西.                   22'第22分钟，德弗雷尔背身给波利塔诺做墙，再接波利塔诺直塞变线闪开马诺拉斯，在门前14米处左脚低射钻进右下角，罗马0比1落后
25'阿切尔比为萨索洛在对方半场,赢得一个任意球.                   22'第22分钟，德弗雷尔背身给波利塔诺做墙，再接波利塔诺直塞变线闪开马诺拉斯，在门前14米处左脚低射钻进右下角，罗马0比1落后
25'罗马球员麦孔拼抢犯规,对手获得控球权.                   22'第22分钟，德弗雷尔背身给波利塔诺做墙，再接波利塔诺直塞变线闪开马诺拉斯，在门前14米处左脚低射钻进右下角，罗马0比1落后
25'萨索洛球员马纳内利拼抢犯规,对手获得控球权.                   22'第22分钟，德弗雷尔背身给波利塔诺做墙，再接波利塔诺直塞变线闪开马诺拉斯，在门前14米处左脚低射钻进右下角，罗马0比1落后
25'德罗西为罗马赢得一个任意球.                   22'第22分钟，德弗雷尔背身给波利塔诺做墙，再接波利塔诺直塞变线闪开马诺拉斯，在门前14米处左脚低射钻进右下角，罗马0比1落后
38'罗马球员吕迪格一脚直塞球给Juan Iturbe,但是边裁举旗显示后者已经越位.                   38'罗马第38分钟扳平比分
38'波利塔诺为萨索洛在右路,赢得一个任意球.                   38'罗马第38分钟扳平比分
38'罗马球员托罗西迪斯拼抢犯规,对手获得控球权.                   38'罗马第38分钟扳平比分
39'萨索洛球员波利塔诺拼抢犯规,对手获得控球权.                   38'罗马第38分钟扳平比分
39'托罗西迪斯为罗马赢得一个任意球.                   38'罗马第38分钟扳平比分
40'黄牌！萨索洛球员波利塔诺因为恶意犯规,被主裁判出示黄牌.                   38'罗马第38分钟扳平比分
40'罗马球员托蒂大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是麦孔.                   38'罗马第38分钟扳平比分
41'萨索洛球员弗洛雷斯大禁区外右脚射门,被防守球员封堵.给他传球的是邓肯.                   38'罗马第38分钟扳平比分
44'罗马球员萨拉赫大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是托蒂.                   44'萨索洛第44分钟再度领先
44'进球啦！！！萨索洛球员波利塔诺大禁区左侧左脚射门,球从中路飞进球门,球进了!助攻的是弗洛雷斯. 罗马 1-2 萨索洛.                   44'萨索洛第44分钟再度领先
45'+1'射门!!!萨索洛球员德夫雷尔小禁区右侧左脚射门,被对方守门员横身扑出.                   44'萨索洛第44分钟再度领先
45'+1'德桑蒂斯将球处理出底线,萨索洛获得角球.                   44'萨索洛第44分钟再度领先
45'+1'上半场结束,罗马 1-2 萨索洛,稍事休息,我们一会来看看下半场两队的表现.                   44'萨索洛第44分钟再度领先
49'阿切尔比将球处理出底线,罗马获得角球.                   49'下半时开始4分钟，托蒂右侧角球被顶出，萨拉赫在门前20米处左脚外脚背凌空抽射贴左门柱入网，2比2
49'进球啦！！！罗马球员萨拉赫大禁区外左脚射门,球从左下角飞进球门,球进了! 罗马 2-2 萨索洛.                   49'下半时开始4分钟，托蒂右侧角球被顶出，萨拉赫在门前20米处左脚外脚背凌空抽射贴左门柱入网，2比2
50'罗马换人,法尔克换下Juan Iturbe                   49'下半时开始4分钟，托蒂右侧角球被顶出，萨拉赫在门前20米处左脚外脚背凌空抽射贴左门柱入网，2比2
51'马纳内利为萨索洛赢得一个任意球.                   49'下半时开始4分钟，托蒂右侧角球被顶出，萨拉赫在门前20米处左脚外脚背凌空抽射贴左门柱入网，2比2
51'罗马球员皮亚尼奇拼抢犯规,对手获得控球权.                   49'下半时开始4分钟，托蒂右侧角球被顶出，萨拉赫在门前20米处左脚外脚背凌空抽射贴左门柱入网，2比2
51'萨索洛球员德夫雷尔一脚直塞球给波利塔诺,但是边裁举旗显示后者已经越位.                   49'下半时开始4分钟，托蒂右侧角球被顶出，萨拉赫在门前20米处左脚外脚背凌空抽射贴左门柱入网，2比2
52'弗洛雷斯为萨索洛赢得一个任意球.                   49'下半时开始4分钟，托蒂右侧角球被顶出，萨拉赫在门前20米处左脚外脚背凌空抽射贴左门柱入网，2比2
52'罗马球员萨拉赫拼抢犯规,对手获得控球权.                   49'下半时开始4分钟，托蒂右侧角球被顶出，萨拉赫在门前20米处左脚外脚背凌空抽射贴左门柱入网，2比2
