2'维冈左路的进攻，斯塔姆强突被吹拉人犯规                   2'开场仅2分钟，托雷斯传球，拉米雷斯禁区右侧的射门被卡德维尔挡出底线
2'托雷斯前场拿球斜传给到拉米雷斯                   2'开场仅2分钟，托雷斯传球，拉米雷斯禁区右侧的射门被卡德维尔挡出底线
3'拉米雷斯前插拿球，小禁区右侧的低射，赢得角球机会                   2'开场仅2分钟，托雷斯传球，拉米雷斯禁区右侧的射门被卡德维尔挡出底线
3'切尔西右侧角球开出，并没有形成威胁                   2'开场仅2分钟，托雷斯传球，拉米雷斯禁区右侧的射门被卡德维尔挡出底线
4'维冈右路的进攻，迪桑托在科尔的干扰下，停球出了边线                   2'开场仅2分钟，托雷斯传球，拉米雷斯禁区右侧的射门被卡德维尔挡出底线
4'切尔西中场斜传球到前场右路，被维冈后卫拦截                   2'开场仅2分钟，托雷斯传球，拉米雷斯禁区右侧的射门被卡德维尔挡出底线
5'博塞豪尔左路拿球进攻，阿兹皮利奎塔将球破坏出边线                   2'开场仅2分钟，托雷斯传球，拉米雷斯禁区右侧的射门被卡德维尔挡出底线
5'开场这几分钟来看，双方在中场的争抢还是比较凶狠                   2'开场仅2分钟，托雷斯传球，拉米雷斯禁区右侧的射门被卡德维尔挡出底线
46'托雷斯进入线上拿球，外脚背给到奥斯卡，奥斯卡的弧线球，飞出了底线                   46'1分钟后，马隆尼右路禁区边缘晃过伊万诺维奇后弧线球射门，切赫飞身扑挡后没收
46'上半场比赛补时1分钟                   46'1分钟后，马隆尼右路禁区边缘晃过伊万诺维奇后弧线球射门，切赫飞身扑挡后没收
47'切尔西的前场右路传球，被维冈球员抢断                   46'1分钟后，马隆尼右路禁区边缘晃过伊万诺维奇后弧线球射门，切赫飞身扑挡后没收
47'维冈的进攻，又被阿兹皮利奎塔破坏出边线                   46'1分钟后，马隆尼右路禁区边缘晃过伊万诺维奇后弧线球射门，切赫飞身扑挡后没收
46'下半场比赛开始                   46'1分钟后，马隆尼右路禁区边缘晃过伊万诺维奇后弧线球射门，切赫飞身扑挡后没收
46'身穿蓝衣蓝裤的切尔西开球                   46'1分钟后，马隆尼右路禁区边缘晃过伊万诺维奇后弧线球射门，切赫飞身扑挡后没收
46'现在屋外鞭炮声不断，你们那边都怎么样啊                   46'1分钟后，马隆尼右路禁区边缘晃过伊万诺维奇后弧线球射门，切赫飞身扑挡后没收
47'希望场外的鞭炮声，能让本场比赛再进几球                   46'1分钟后，马隆尼右路禁区边缘晃过伊万诺维奇后弧线球射门，切赫飞身扑挡后没收
47'维冈中场传球失误，切尔西的反击                   46'1分钟后，马隆尼右路禁区边缘晃过伊万诺维奇后弧线球射门，切赫飞身扑挡后没收
48'兰帕德禁区左上角打的打门，被维冈后卫解围出底线                   46'1分钟后，马隆尼右路禁区边缘晃过伊万诺维奇后弧线球射门，切赫飞身扑挡后没收
48'切尔西获得左侧角球机会，本场第7个                   46'1分钟后，马隆尼右路禁区边缘晃过伊万诺维奇后弧线球射门，切赫飞身扑挡后没收
48'目前双方角球比例：7-3，切尔西领先一倍                   46'1分钟后，马隆尼右路禁区边缘晃过伊万诺维奇后弧线球射门，切赫飞身扑挡后没收
48'切尔西角球开出，并没有形成威胁                   46'1分钟后，马隆尼右路禁区边缘晃过伊万诺维奇后弧线球射门，切赫飞身扑挡后没收
49'麦卡锡后场控球，面对切尔西球员的围抢，回敲给到菲格罗亚                   46'1分钟后，马隆尼右路禁区边缘晃过伊万诺维奇后弧线球射门，切赫飞身扑挡后没收
49'菲格罗亚后场过顶长传到前场                   46'1分钟后，马隆尼右路禁区边缘晃过伊万诺维奇后弧线球射门，切赫飞身扑挡后没收
14'路易斯中场的斜传球给到左路的奥斯卡                   14'切尔西第14分钟险些破门，兰帕德左路任意球传中，托雷斯12码处头球攻门擦右侧立柱偏出
14'奥斯卡和阿扎尔的头球接力，结果菲格罗亚从中拦截                   14'切尔西第14分钟险些破门，兰帕德左路任意球传中，托雷斯12码处头球攻门擦右侧立柱偏出
14'阿扎尔左路拿球，斯塔姆的上抢，踢倒了阿扎尔，犯规                   14'切尔西第14分钟险些破门，兰帕德左路任意球传中，托雷斯12码处头球攻门擦右侧立柱偏出
15'切尔西获得前场左路的任意球机会                   14'切尔西第14分钟险些破门，兰帕德左路任意球传中，托雷斯12码处头球攻门擦右侧立柱偏出
15'兰帕德任意球开到后点，托雷斯头球，球擦着立柱出底线                   14'切尔西第14分钟险些破门，兰帕德左路任意球传中，托雷斯12码处头球攻门擦右侧立柱偏出
15'上半场比赛来到了15分钟，比分还是0-0                   14'切尔西第14分钟险些破门，兰帕德左路任意球传中，托雷斯12码处头球攻门擦右侧立柱偏出
16'伊万诺维奇后场拿球，中线位置斜传到右路找前插的阿兹皮利奎塔                   14'切尔西第14分钟险些破门，兰帕德左路任意球传中，托雷斯12码处头球攻门擦右侧立柱偏出
16'阿兹皮利奎塔边路拿球，横拨给到中间的拉米雷斯                   14'切尔西第14分钟险些破门，兰帕德左路任意球传中，托雷斯12码处头球攻门擦右侧立柱偏出
17'拉米雷斯直传找托雷斯                   14'切尔西第14分钟险些破门，兰帕德左路任意球传中，托雷斯12码处头球攻门擦右侧立柱偏出
17'托雷斯脚尖停球，向前趟出一步，起脚打门，踢偏了                   14'切尔西第14分钟险些破门，兰帕德左路任意球传中，托雷斯12码处头球攻门擦右侧立柱偏出
17'路易斯的中场抢断，切尔西反击                   14'切尔西第14分钟险些破门，兰帕德左路任意球传中，托雷斯12码处头球攻门擦右侧立柱偏出
46'托雷斯进入线上拿球，外脚背给到奥斯卡，奥斯卡的弧线球，飞出了底线                   46'1分钟后，奥斯卡禁区前的射门也被哈布西得到
46'上半场比赛补时1分钟                   46'1分钟后，奥斯卡禁区前的射门也被哈布西得到
47'切尔西的前场右路传球，被维冈球员抢断                   46'1分钟后，奥斯卡禁区前的射门也被哈布西得到
47'维冈的进攻，又被阿兹皮利奎塔破坏出边线                   46'1分钟后，奥斯卡禁区前的射门也被哈布西得到
46'下半场比赛开始                   46'1分钟后，奥斯卡禁区前的射门也被哈布西得到
46'身穿蓝衣蓝裤的切尔西开球                   46'1分钟后，奥斯卡禁区前的射门也被哈布西得到
46'现在屋外鞭炮声不断，你们那边都怎么样啊                   46'1分钟后，奥斯卡禁区前的射门也被哈布西得到
47'希望场外的鞭炮声，能让本场比赛再进几球                   46'1分钟后，奥斯卡禁区前的射门也被哈布西得到
47'维冈中场传球失误，切尔西的反击                   46'1分钟后，奥斯卡禁区前的射门也被哈布西得到
