3'莫德里奇中场拿球，分边右路给到阿韦洛亚                   3'第3分钟，加莱后场对C-罗纳尔多犯规，贝尔任意球远射偏出
3'阿韦洛亚横传交给C罗，C罗拿球转身，被加雷放倒在地                   3'第3分钟，加莱后场对C-罗纳尔多犯规，贝尔任意球远射偏出
3'皇马获得前场的任意球机会，贝尔主罚                   3'第3分钟，加莱后场对C-罗纳尔多犯规，贝尔任意球远射偏出
4'贝尔的左脚任意球直接攻门，搓高啦。。。                   3'第3分钟，加莱后场对C-罗纳尔多犯规，贝尔任意球远射偏出
5'科尔多瓦左路进攻，洛佩斯的斜传球到禁区                   3'第3分钟，加莱后场对C-罗纳尔多犯规，贝尔任意球远射偏出
5'佩佩回防，和拉莫斯合力将球拦截                   3'第3分钟，加莱后场对C-罗纳尔多犯规，贝尔任意球远射偏出
6'马塞洛左路的斜传球到禁区                   3'第3分钟，加莱后场对C-罗纳尔多犯规，贝尔任意球远射偏出
6'C罗前插，准备头球冲顶，没能顶到，自己摔倒在地                   3'第3分钟，加莱后场对C-罗纳尔多犯规，贝尔任意球远射偏出
10'马塞洛左路强突，下底传中找本泽马，又被后卫抢先一步解围出底线                   10'第10分钟，拉莫斯头球摆渡，摩德里奇禁区前射门同样偏出
10'皇马获得左侧的角球机会，J罗主罚                   10'第10分钟，拉莫斯头球摆渡，摩德里奇禁区前射门同样偏出
10'角球开出到禁区，混战中球被后卫顶出                   10'第10分钟，拉莫斯头球摆渡，摩德里奇禁区前射门同样偏出
10'禁区外围莫德里奇拿球，横切，禁区外起左脚打门，打偏                   10'第10分钟，拉莫斯头球摆渡，摩德里奇禁区前射门同样偏出
10'上半场10分钟，比分还是0-0                   10'第10分钟，拉莫斯头球摆渡，摩德里奇禁区前射门同样偏出
12'皇马后场连续的一脚传递，马塞洛左路拿球，过了中线                   10'第10分钟，拉莫斯头球摆渡，摩德里奇禁区前射门同样偏出
12'短传交给C罗，C罗横传再给本泽马，被断啦                   10'第10分钟，拉莫斯头球摆渡，摩德里奇禁区前射门同样偏出
12'科尔多瓦的反击，过顶长传找哈维纳尔                   10'第10分钟，拉莫斯头球摆渡，摩德里奇禁区前射门同样偏出
12'边裁举旗，哈维纳尔的越位在先                   10'第10分钟，拉莫斯头球摆渡，摩德里奇禁区前射门同样偏出
13'克罗斯中路的斜传球到左侧找马塞洛                   10'第10分钟，拉莫斯头球摆渡，摩德里奇禁区前射门同样偏出
25'而身前的潘蒂奇争顶时鞋子还被踩掉啦                   25'第25分钟，克罗斯远射被封堵，哈梅斯-罗德里格斯挑传，拉莫斯禁区右肋12码处凌空扫射被没收
26'克罗斯右路拿球，外脚背给到贝尔                   25'第25分钟，克罗斯远射被封堵，哈梅斯-罗德里格斯挑传，拉莫斯禁区右肋12码处凌空扫射被没收
26'贝尔底线附近横传门前，被后卫出脚解围                   25'第25分钟，克罗斯远射被封堵，哈梅斯-罗德里格斯挑传，拉莫斯禁区右肋12码处凌空扫射被没收
26'贝尔右路拿球，强突下底传中，潘蒂奇将球挡出                   25'第25分钟，克罗斯远射被封堵，哈梅斯-罗德里格斯挑传，拉莫斯禁区右肋12码处凌空扫射被没收
27'皇马右侧角球，开出到禁区，并未形成威胁                   25'第25分钟，克罗斯远射被封堵，哈梅斯-罗德里格斯挑传，拉莫斯禁区右肋12码处凌空扫射被没收
27'这次争抢中，罗西禁区内和抢点攻门的拉莫斯相撞，倒在禁区，有点伤了                   25'第25分钟，克罗斯远射被封堵，哈梅斯-罗德里格斯挑传，拉莫斯禁区右肋12码处凌空扫射被没收
28'不过问题不大，硬伤而已，休息一下起身继续比赛                   25'第25分钟，克罗斯远射被封堵，哈梅斯-罗德里格斯挑传，拉莫斯禁区右肋12码处凌空扫射被没收
28'克罗斯左路背身拿球，吕德身后上抢推人犯规                   25'第25分钟，克罗斯远射被封堵，哈梅斯-罗德里格斯挑传，拉莫斯禁区右肋12码处凌空扫射被没收
30'马塞洛左路得球再传，角球机会                   30'皇马第30分钟打破僵局，克罗斯开出角球，本泽马10码处强力冲顶，皮球击中右侧立柱内侧入网
30'进球啦！！！                   30'皇马第30分钟打破僵局，克罗斯开出角球，本泽马10码处强力冲顶，皮球击中右侧立柱内侧入网
30'本泽马，打进皇马本赛季西甲联赛第一个进球！！！                   30'皇马第30分钟打破僵局，克罗斯开出角球，本泽马10码处强力冲顶，皮球击中右侧立柱内侧入网
31'克罗斯右侧角球开出到禁区，本泽马和拉莫斯一起抢点，球打在本泽马头上弹入网窝，胡安-卡洛斯毫无反应啊！！！                   30'皇马第30分钟打破僵局，克罗斯开出角球，本泽马10码处强力冲顶，皮球击中右侧立柱内侧入网
32'这球打进之后，本泽马已经在庆祝，而拉莫斯好像还没反应过来，有意思啊                   30'皇马第30分钟打破僵局，克罗斯开出角球，本泽马10码处强力冲顶，皮球击中右侧立柱内侧入网
33'摩德里奇中场拿球，身后上抢的罗西直接将摩德里奇撞翻在地                   30'皇马第30分钟打破僵局，克罗斯开出角球，本泽马10码处强力冲顶，皮球击中右侧立柱内侧入网
44'阿韦洛亚回防，抢在罗西之前将球踢出底线                   44'第44分钟，哈维纳尔小禁区边缘接角球后头球攻门偏出
44'科尔多瓦获得左侧角球机会                   44'第44分钟，哈维纳尔小禁区边缘接角球后头球攻门偏出
44'角球开出到点球点附近，克雷斯波高高跃起，头球攻门，顶高                   44'第44分钟，哈维纳尔小禁区边缘接角球后头球攻门偏出
45'马塞洛左路拿球，左脚弧线球找C罗                   44'第44分钟，哈维纳尔小禁区边缘接角球后头球攻门偏出
45'边裁再次举旗，C罗的越位在先                   44'第44分钟，哈维纳尔小禁区边缘接角球后头球攻门偏出
45'哈维纳尔前场中路拿球，强突中遭遇夹击，球丢啦                   44'第44分钟，哈维纳尔小禁区边缘接角球后头球攻门偏出
46'下半场比赛开始，科尔多瓦开球                   44'第44分钟，哈维纳尔小禁区边缘接角球后头球攻门偏出
46'科尔多瓦下半场一开始就做出人员调整                   44'第44分钟，哈维纳尔小禁区边缘接角球后头球攻门偏出
