4'C罗延左边路带球~                   4'第4分钟，内马尔突入禁区右侧的小角度射门被迭戈-洛佩斯在近角没收
4'禁区角上被抢断了~                   4'第4分钟，内马尔突入禁区右侧的小角度射门被迭戈-洛佩斯在近角没收
4'C罗的倒地，裁判并没有理会                   4'第4分钟，内马尔突入禁区右侧的小角度射门被迭戈-洛佩斯在近角没收
4'巴萨趁势反击~                   4'第4分钟，内马尔突入禁区右侧的小角度射门被迭戈-洛佩斯在近角没收
4'内马尔杀入禁区，小角度打门被洛佩兹封住了角度~                   4'第4分钟，内马尔突入禁区右侧的小角度射门被迭戈-洛佩斯在近角没收
5'巴萨今天失误不少啊~                   4'第4分钟，内马尔突入禁区右侧的小角度射门被迭戈-洛佩斯在近角没收
5'伊涅斯塔后场拿球被断~                   4'第4分钟，内马尔突入禁区右侧的小角度射门被迭戈-洛佩斯在近角没收
5'本泽马接到队友的传球~禁区内左脚施射~                   4'第4分钟，内马尔突入禁区右侧的小角度射门被迭戈-洛佩斯在近角没收
5'推射打偏了一些                   4'第4分钟，内马尔突入禁区右侧的小角度射门被迭戈-洛佩斯在近角没收
5'袁翊翔04:05 为什么赛前默哀啊？---为西班牙的前首相默哀                   4'第4分钟，内马尔突入禁区右侧的小角度射门被迭戈-洛佩斯在近角没收
6'皇马右边路起球~C罗又倒在了禁区内                   4'第4分钟，内马尔突入禁区右侧的小角度射门被迭戈-洛佩斯在近角没收
6'看起来是跟阿尔维斯又一个冲撞                   4'第4分钟，内马尔突入禁区右侧的小角度射门被迭戈-洛佩斯在近角没收
6'不过裁判也没有理会                   4'第4分钟，内马尔突入禁区右侧的小角度射门被迭戈-洛佩斯在近角没收
6'梅西拿球~迪马利亚紧跟不舍                   4'第4分钟，内马尔突入禁区右侧的小角度射门被迭戈-洛佩斯在近角没收
6'巴萨推进到了前场                   4'第4分钟，内马尔突入禁区右侧的小角度射门被迭戈-洛佩斯在近角没收
6'有意识的放慢了节奏                   4'第4分钟，内马尔突入禁区右侧的小角度射门被迭戈-洛佩斯在近角没收
7'伊涅斯塔~~                   4'第4分钟，内马尔突入禁区右侧的小角度射门被迭戈-洛佩斯在近角没收
7'Gooooooooooooooooooal~~~~~~~~~~~~~                   4'第4分钟，内马尔突入禁区右侧的小角度射门被迭戈-洛佩斯在近角没收
7'小白最近状态太牛了~~~                   4'第4分钟，内马尔突入禁区右侧的小角度射门被迭戈-洛佩斯在近角没收
7'又是一个左脚破门！！！                   4'第4分钟，内马尔突入禁区右侧的小角度射门被迭戈-洛佩斯在近角没收
7'伊涅斯塔~~                   7'巴萨第7分钟取得领先，梅西直传贡献他在世纪大战中的第12次助攻(其中8次在伯纳乌)，无人防守的伊涅斯塔禁区左侧12码处左脚斜射上角入网
7'Gooooooooooooooooooal~~~~~~~~~~~~~                   7'巴萨第7分钟取得领先，梅西直传贡献他在世纪大战中的第12次助攻(其中8次在伯纳乌)，无人防守的伊涅斯塔禁区左侧12码处左脚斜射上角入网
