1'上半场比赛开始！！                   1'双方第1分钟均显得小心谨慎，均以高强度拼抢限制对方的进攻威胁
1'首先由浅蓝色球衣白色短裤的曼城开球！！                   1'双方第1分钟均显得小心谨慎，均以高强度拼抢限制对方的进攻威胁
1'从画面的左侧向右进攻！！                   1'双方第1分钟均显得小心谨慎，均以高强度拼抢限制对方的进攻威胁
1'这是曼城历史上首次参加欧冠半决赛！！                   1'双方第1分钟均显得小心谨慎，均以高强度拼抢限制对方的进攻威胁
2'萨尼亚右路的直塞球找纳瓦斯，直接出了边线！                   1'双方第1分钟均显得小心谨慎，均以高强度拼抢限制对方的进攻威胁
2'马塞洛左路拿球，强突过中线！！                   1'双方第1分钟均显得小心谨慎，均以高强度拼抢限制对方的进攻威胁
2'纳瓦斯上抢，拉人犯规！！                   1'双方第1分钟均显得小心谨慎，均以高强度拼抢限制对方的进攻威胁
3'皇马前场的斜传球到禁区，孔帕尼将球解围出底线！                   1'双方第1分钟均显得小心谨慎，均以高强度拼抢限制对方的进攻威胁
3'皇马获得右侧角球机会！！                   1'双方第1分钟均显得小心谨慎，均以高强度拼抢限制对方的进攻威胁
3'克罗斯角球开出到禁区，第一点被曼城球员解围！                   1'双方第1分钟均显得小心谨慎，均以高强度拼抢限制对方的进攻威胁
3'皇马前场再攻，贝尔右路拿球强突，被克里希回防拦截                   1'双方第1分钟均显得小心谨慎，均以高强度拼抢限制对方的进攻威胁
4'奥塔门迪后场拿球，分球左侧给克里希                   1'双方第1分钟均显得小心谨慎，均以高强度拼抢限制对方的进攻威胁
4'克里希过顶长传找阿圭罗，卡瓦哈尔头球解围！                   1'双方第1分钟均显得小心谨慎，均以高强度拼抢限制对方的进攻威胁
71'德布劳内左路拿球，内切后斜传禁区找阿圭罗                   71'皇马第71分钟险些破门，卡瓦哈尔右路传中，赫塞10码处抢在费尔南多之前头球攻门，皮球砸中横梁弹出
71'莫德里奇回防，禁区线上抢先将球拦截！！                   71'皇马第71分钟险些破门，卡瓦哈尔右路传中，赫塞10码处抢在费尔南多之前头球攻门，皮球砸中横梁弹出
71'阿圭罗向裁判示意莫德里奇手球，裁判没理会！！                   71'皇马第71分钟险些破门，卡瓦哈尔右路传中，赫塞10码处抢在费尔南多之前头球攻门，皮球砸中横梁弹出
71'横梁！！                   71'皇马第71分钟险些破门，卡瓦哈尔右路传中，赫塞10码处抢在费尔南多之前头球攻门，皮球砸中横梁弹出
71'赫塞的头球！！                   71'皇马第71分钟险些破门，卡瓦哈尔右路传中，赫塞10码处抢在费尔南多之前头球攻门，皮球砸中横梁弹出
72'皇马前场进攻，右路的传中到门前，赫塞力压费尔南多头球攻门，顶中横梁上沿出界！！                   71'皇马第71分钟险些破门，卡瓦哈尔右路传中，赫塞10码处抢在费尔南多之前头球攻门，皮球砸中横梁弹出
72'用户1428301270 两个纳瓦斯？（曼城中场和皇马门将！！）                   71'皇马第71分钟险些破门，卡瓦哈尔右路传中，赫塞10码处抢在费尔南多之前头球攻门，皮球砸中横梁弹出
73'皇马前场进攻，贝尔中路拿球，分球右侧给莫德里奇                   71'皇马第71分钟险些破门，卡瓦哈尔右路传中，赫塞10码处抢在费尔南多之前头球攻门，皮球砸中横梁弹出
73'莫德里奇停球一趟，直接起脚远射，打飞！！                   71'皇马第71分钟险些破门，卡瓦哈尔右路传中，赫塞10码处抢在费尔南多之前头球攻门，皮球砸中横梁弹出
