26'AC米兰球员本田圭佑大禁区外左脚射门,命中门柱横梁.                   26'本田圭佑第26分钟险些破门
27'AC米兰球员库奇卡大禁区外右脚射门,被防守球员封堵.                   26'本田圭佑第26分钟险些破门
29'都灵球员因莫比莱大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是Andrea Belotti.                   26'本田圭佑第26分钟险些破门
44'AC米兰球员本田圭佑大禁区外左脚射门,被防守球员封堵.                   44'AC米兰第44分钟取得领先
44'AC米兰球员库奇卡大禁区中央左脚射门,被防守球员封堵.                   44'AC米兰第44分钟取得领先
44'格里克将球处理出底线,AC米兰获得角球.                   44'AC米兰第44分钟取得领先
44'进球啦！！！AC米兰球员安东内利大禁区中央左脚射门,球从右下角飞进球门,球进了!助攻的是库奇卡. AC米兰 1-0 都灵.                   44'AC米兰第44分钟取得领先
45'+1'都灵球员阿库瓦拼抢犯规,对手获得控球权.                   44'AC米兰第44分钟取得领先
45'+1'安东内利为AC米兰赢得一个任意球.                   44'AC米兰第44分钟取得领先
45'+1'上半场结束,AC米兰 1-0 都灵,稍事休息,我们一会来看看下半场两队的表现.                   44'AC米兰第44分钟取得领先
60'射门!!!AC米兰球员本田圭佑大禁区外左脚射门,被对方守门员横身扑出.给他传球的是阿巴特.                   60'第60分钟，博纳文图拉右侧开出角球，安东内利头球摆渡，巴卡远门柱边顶进，但越位在先，进球无效
60'格里克将球处理出底线,AC米兰获得角球.                   60'第60分钟，博纳文图拉右侧开出角球，安东内利头球摆渡，巴卡远门柱边顶进，但越位在先，进球无效
61'AC米兰球员安东内利大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是博纳文图拉.                   60'第60分钟，博纳文图拉右侧开出角球，安东内利头球摆渡，巴卡远门柱边顶进，但越位在先，进球无效
61'AC米兰球员安东内利一脚直塞球给巴卡,但是边裁举旗显示后者已经越位.                   60'第60分钟，博纳文图拉右侧开出角球，安东内利头球摆渡，巴卡远门柱边顶进，但越位在先，进球无效
