38'进球啦！！！巴列卡诺球员布雷诺大禁区中央头球,球从左下角飞进球门,球进了!助攻的是法尔克. 巴列卡诺 1-0 阿尔梅里亚.                   38'第38分钟，法尔克开出角球，布埃诺12码处头球破门
40'阿尔梅里亚球员迪巴比耶拼抢犯规,对手获得控球权.                   38'第38分钟，法尔克开出角球，布埃诺12码处头球破门
40'诺奇纳为巴列卡诺在对方半场,赢得一个任意球.                   38'第38分钟，法尔克开出角球，布埃诺12码处头球破门
41'巴列卡诺球员加尔维斯大禁区外尝试右脚射门,可惜皮球高出球门.                   38'第38分钟，法尔克开出角球，布埃诺12码处头球破门
41'泽-卡斯特罗将球处理出底线,阿尔梅里亚获得角球.                   38'第38分钟，法尔克开出角球，布埃诺12码处头球破门
72'进球啦！！！阿尔梅里亚球员索里亚诺大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是罗德里. 巴列卡诺 2-1 阿尔梅里亚.                   72'阿尔梅里亚第72分钟扳回一城，罗德里禁区右侧回传，索里亚诺12码处推射破门
74'巴列卡诺换人,拉斯换下诺奇纳                   72'阿尔梅里亚第72分钟扳回一城，罗德里禁区右侧回传，索里亚诺12码处推射破门
74'阿尔梅里亚球员巴尔博萨大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是苏索.                   72'阿尔梅里亚第72分钟扳回一城，罗德里禁区右侧回传，索里亚诺12码处推射破门
77'进球啦！！！巴列卡诺球员拉里维球门线跟前右脚射门,球从右下角飞进球门,球进了!助攻的是比埃拉. 巴列卡诺 3-1 阿尔梅里亚.                   77'第77分钟，特拉肖拉斯直传，比埃拉禁区左侧传中，拉里维近距离铲射打入本赛季第8粒联赛入球
78'阿尔梅里亚球员罗德里手球犯规,对手获得球权.                   77'第77分钟，特拉肖拉斯直传，比埃拉禁区左侧传中，拉里维近距离铲射打入本赛季第8粒联赛入球
79'黄牌！阿尔梅里亚球员罗德里因为故意手球,被主裁判出示黄牌.                   77'第77分钟，特拉肖拉斯直传，比埃拉禁区左侧传中，拉里维近距离铲射打入本赛季第8粒联赛入球
79'阿尔梅里亚球员科罗纳拼抢犯规,对手获得控球权.                   77'第77分钟，特拉肖拉斯直传，比埃拉禁区左侧传中，拉里维近距离铲射打入本赛季第8粒联赛入球
79'比埃拉为巴列卡诺赢得一个任意球.                   77'第77分钟，特拉肖拉斯直传，比埃拉禁区左侧传中，拉里维近距离铲射打入本赛季第8粒联赛入球
79'阿尔梅里亚球员科罗纳被主裁判出示了一张黄牌.                   77'第77分钟，特拉肖拉斯直传，比埃拉禁区左侧传中，拉里维近距离铲射打入本赛季第8粒联赛入球
