14'斯帕尔大巴摆得很有心得                   14'开场14分钟，尤文首次射正就取得领先
14'鲁加尼分给利希施泰纳，直传，萨拉蒙解围                   14'开场14分钟，尤文首次射正就取得领先
14'迪巴拉断球传中                   14'开场14分钟，尤文首次射正就取得领先
15'科斯塔横敲，贝纳德斯基禁区边缘得球外脚背撩射，球直挂球门左上角球进！                   14'开场14分钟，尤文首次射正就取得领先
15'贝纳德斯基打进世界波                   14'开场14分钟，尤文首次射正就取得领先
16'打破缺口后尤文图斯就好打了                   14'开场14分钟，尤文首次射正就取得领先
16'利希施泰纳带球，突进，急停                   14'开场14分钟，尤文首次射正就取得领先
16'交给贝纳德斯基                   14'开场14分钟，尤文首次射正就取得领先
16'利希施泰纳直传给深了                   14'开场14分钟，尤文首次射正就取得领先
16'菲利佩回传给戈米斯                   14'开场14分钟，尤文首次射正就取得领先
16'长传上来，巴尔扎利顶给桑德罗                   14'开场14分钟，尤文首次射正就取得领先
16'桑德罗后场直接起球长传到对方禁区，戈米斯将球接住                   14'开场14分钟，尤文首次射正就取得领先
17'菲利佩控球，交给斯基亚冯                   14'开场14分钟，尤文首次射正就取得领先
17'回传给维维安尼，转移右路的拉扎里                   14'开场14分钟，尤文首次射正就取得领先
17'再交给斯基亚冯，回传给萨拉蒙                   14'开场14分钟，尤文首次射正就取得领先
17'分边左路的马蒂耶罗                   14'开场14分钟，尤文首次射正就取得领先
17'里佐接应回传给菲利佩，再回传给萨拉蒙                   14'开场14分钟，尤文首次射正就取得领先
17'分边给了菲利佩                   14'开场14分钟，尤文首次射正就取得领先
17'直传失误                   14'开场14分钟，尤文首次射正就取得领先
53'帕洛斯基得球变向打门被巴尔扎利放铲半球挡出底线                   53'8分钟后，萨拉蒙放倒伊瓜因，在门前22米处左脚任意球越过人墙挂右上角，2比0
53'斯帕尔右路的角球机会                   53'8分钟后，萨拉蒙放倒伊瓜因，在门前22米处左脚任意球越过人墙挂右上角，2比0
53'维维安尼传到禁区内，帕洛斯基头球顶在横梁上                   53'8分钟后，萨拉蒙放倒伊瓜因，在门前22米处左脚任意球越过人墙挂右上角，2比0
