5'阿森纳中场的横向转移出现失误                   5'第5分钟，孔特传球，阿切姆蓬禁区左侧的射门被钱伯斯挡出
6'阿奇姆彭左路禁区内拿球，传球的时候被钱伯斯挡出底线                   5'第5分钟，孔特传球，阿切姆蓬禁区左侧的射门被钱伯斯挡出
6'安德莱赫特角球送中路                   5'第5分钟，孔特传球，阿切姆蓬禁区左侧的射门被钱伯斯挡出
6'斯泽斯尼将球拿到                   5'第5分钟，孔特传球，阿切姆蓬禁区左侧的射门被钱伯斯挡出
6'拉姆塞中场控球在找机会                   5'第5分钟，孔特传球，阿切姆蓬禁区左侧的射门被钱伯斯挡出
7'安德莱赫特这边的防守很严密                   5'第5分钟，孔特传球，阿切姆蓬禁区左侧的射门被钱伯斯挡出
7'阿森纳长传找张伯伦                   5'第5分钟，孔特传球，阿切姆蓬禁区左侧的射门被钱伯斯挡出
7'张伯伦禁区内停球被断                   5'第5分钟，孔特传球，阿切姆蓬禁区左侧的射门被钱伯斯挡出
7'底线附近，张伯伦又将球反抢回来                   5'第5分钟，孔特传球，阿切姆蓬禁区左侧的射门被钱伯斯挡出
7'张伯伦右路拿球传到门前                   5'第5分钟，孔特传球，阿切姆蓬禁区左侧的射门被钱伯斯挡出
7'后点没有机会                   5'第5分钟，孔特传球，阿切姆蓬禁区左侧的射门被钱伯斯挡出
8'桑切斯禁区外围远射打门将球打偏                   5'第5分钟，孔特传球，阿切姆蓬禁区左侧的射门被钱伯斯挡出
9'阿森纳前场送直塞到禁区内                   9'第9分钟，西里亚克传球，普莱特禁区左侧的射门被默特萨克挡出近角
9'维尔贝克停球后没有打门的机会                   9'第9分钟，西里亚克传球，普莱特禁区左侧的射门被默特萨克挡出近角
9'维尔贝克回敲出来                   9'第9分钟，西里亚克传球，普莱特禁区左侧的射门被默特萨克挡出近角
9'安德莱赫特后场断球直接发动反击                   9'第9分钟，西里亚克传球，普莱特禁区左侧的射门被默特萨克挡出近角
10'普拉特前场禁区边缘打球，被后卫挡了一下后险些飞进自家球门啊                   9'第9分钟，西里亚克传球，普莱特禁区左侧的射门被默特萨克挡出近角
10'安德莱赫特角球开出，阿森纳这边解围的时候也是险些失误                   9'第9分钟，西里亚克传球，普莱特禁区左侧的射门被默特萨克挡出近角
11'安德莱赫特前场拿球被断                   9'第9分钟，西里亚克传球，普莱特禁区左侧的射门被默特萨克挡出近角
11'阿森纳中场组织反击                   9'第9分钟，西里亚克传球，普莱特禁区左侧的射门被默特萨克挡出近角
12'上半场比赛打了10分钟，两队都是获得了一些不错的射门机会                   9'第9分钟，西里亚克传球，普莱特禁区左侧的射门被默特萨克挡出近角
12'卡索拉边路拿球将球回敲                   9'第9分钟，西里亚克传球，普莱特禁区左侧的射门被默特萨克挡出近角
12'阿森纳转移到右路进攻                   9'第9分钟，西里亚克传球，普莱特禁区左侧的射门被默特萨克挡出近角
12'张伯伦右路变线突破后给到中路                   9'第9分钟，西里亚克传球，普莱特禁区左侧的射门被默特萨克挡出近角
