3'马内试图突破被断下                   3'开场仅3分钟，迪马利亚传球，姆巴佩禁区内低射被洛夫伦挡出底线
3'巴黎发起快速进攻，维拉蒂给到前锋姆巴佩                   3'开场仅3分钟，迪马利亚传球，姆巴佩禁区内低射被洛夫伦挡出底线
4'姆巴佩禁区内起右脚打门，打到利物浦后卫身上，角球                   3'开场仅3分钟，迪马利亚传球，姆巴佩禁区内低射被洛夫伦挡出底线
5'迪玛利亚开出战术角球，传给内马尔                   3'开场仅3分钟，迪马利亚传球，姆巴佩禁区内低射被洛夫伦挡出底线
5'内马尔带球被断，利物浦快速反击给到萨拉赫                   3'开场仅3分钟，迪马利亚传球，姆巴佩禁区内低射被洛夫伦挡出底线
5'萨拉赫右侧边路突破造成角球机会                   3'开场仅3分钟，迪马利亚传球，姆巴佩禁区内低射被洛夫伦挡出底线
6'利物浦发出角球，被巴黎后卫解围                   3'开场仅3分钟，迪马利亚传球，姆巴佩禁区内低射被洛夫伦挡出底线
6'巴黎左侧边路配合                   3'开场仅3分钟，迪马利亚传球，姆巴佩禁区内低射被洛夫伦挡出底线
13'巴黎左侧边路发起进攻 内马尔传给前面的姆巴佩                   13'巴黎第13分钟取得领先，姆巴佩禁区左侧传中，范戴克勉强拦截，跟进的贝尔纳特禁区左肋12码处低射左下角入网
13'姆巴佩起脚打门 被阿利松没收                   13'巴黎第13分钟取得领先，姆巴佩禁区左侧传中，范戴克勉强拦截，跟进的贝尔纳特禁区左肋12码处低射左下角入网
14'球进了！贝尔纳特                   13'巴黎第13分钟取得领先，姆巴佩禁区左侧传中，范戴克勉强拦截，跟进的贝尔纳特禁区左肋12码处低射左下角入网
15'姆巴佩横传中路，利物浦后卫解围不远，贝尔纳特禁区内拿球，起右脚打门球进                   13'巴黎第13分钟取得领先，姆巴佩禁区左侧传中，范戴克勉强拦截，跟进的贝尔纳特禁区左肋12码处低射左下角入网
16'巴黎暂时1比0领先利物浦                   13'巴黎第13分钟取得领先，姆巴佩禁区左侧传中，范戴克勉强拦截，跟进的贝尔纳特禁区左肋12码处低射左下角入网
16'巴黎后场控球                   13'巴黎第13分钟取得领先，姆巴佩禁区左侧传中，范戴克勉强拦截，跟进的贝尔纳特禁区左肋12码处低射左下角入网
16'中场传球失误 给到左侧的马内                   13'巴黎第13分钟取得领先，姆巴佩禁区左侧传中，范戴克勉强拦截，跟进的贝尔纳特禁区左肋12码处低射左下角入网
16'马内传中找到萨拉赫 但是越位了                   13'巴黎第13分钟取得领先，姆巴佩禁区左侧传中，范戴克勉强拦截，跟进的贝尔纳特禁区左肋12码处低射左下角入网
37'球进了内马尔！                   37'巴黎第37分钟扩大比分，姆巴佩禁区左侧传中，卡瓦尼近距离推射被阿利松勉强扑出，跟进的内马尔小禁区前射入右下角，2-0
37'利物浦前场传球失误 巴黎打出快速反击                   37'巴黎第37分钟扩大比分，姆巴佩禁区左侧传中，卡瓦尼近距离推射被阿利松勉强扑出，跟进的内马尔小禁区前射入右下角，2-0
38'内尔马给到左侧边路的姆巴佩 姆巴佩横传中路卡瓦尼 卡瓦尼打门被阿利松封出 内马尔再补射将球打进                   37'巴黎第37分钟扩大比分，姆巴佩禁区左侧传中，卡瓦尼近距离推射被阿利松勉强扑出，跟进的内马尔小禁区前射入右下角，2-0
38'巴黎主场暂时2比0领先利物浦                   37'巴黎第37分钟扩大比分，姆巴佩禁区左侧传中，卡瓦尼近距离推射被阿利松勉强扑出，跟进的内马尔小禁区前射入右下角，2-0
39'利物浦右侧边线球 禁区内范戴克犯规                   37'巴黎第37分钟扩大比分，姆巴佩禁区左侧传中，卡瓦尼近距离推射被阿利松勉强扑出，跟进的内马尔小禁区前射入右下角，2-0
