4'双方上来节奏还是很慢的                   4'开场4分钟，埃尼奥左路似传似射，被耿晓峰直接抱住皮球
5'申花反击，莫雷诺脚后跟磕给鲁伊斯时力量给小了                   4'开场4分钟，埃尼奥左路似传似射，被耿晓峰直接抱住皮球
5'费神空间 :送啥？会员？---是的  新浪的会员哦                   4'开场4分钟，埃尼奥左路似传似射，被耿晓峰直接抱住皮球
6'李文博后场长传找曹赟定，高度不是很够，被张笑飞跳起将球拦下来                   4'开场4分钟，埃尼奥左路似传似射，被耿晓峰直接抱住皮球
6'[qiangda]大上海共有哪几支中超球队？                   4'开场4分钟，埃尼奥左路似传似射，被耿晓峰直接抱住皮球
10'徐亮弧顶挑传给高迪，高迪低平球打偏了，但路易斯快马赶到，倒地将球捅进大门！！                   10'第10分钟瓦尔特禁区前沿对徐亮犯规，绿地申花获得禁区中路的任意球机会
11'伊格莱西亚斯禁区弧顶前沿推倒了徐亮，申花获得一个位置不错的任意球                   10'第10分钟瓦尔特禁区前沿对徐亮犯规，绿地申花获得禁区中路的任意球机会
11'徐亮直接起脚打门，被人墙挡出                   10'第10分钟瓦尔特禁区前沿对徐亮犯规，绿地申花获得禁区中路的任意球机会
12'申花前场反抢犯规                   10'第10分钟瓦尔特禁区前沿对徐亮犯规，绿地申花获得禁区中路的任意球机会
12'奋斗2014考研 :天哪！刚进来亚泰就丢球了！！---考研同学，你有点眼熟啊                   10'第10分钟瓦尔特禁区前沿对徐亮犯规，绿地申花获得禁区中路的任意球机会
17'目前双方节奏还是很慢的                   17'今天比赛步调不错的绿地申花继续进攻，第17分钟绿地申花快攻到前场，路易斯斜传右路，曹S定虽然没有第一时间拿到皮球，但他返身重新拿球后传中，徐亮禁区外围射门被宋振瑜扑住
17'下午不免让人犯困啊                   17'今天比赛步调不错的绿地申花继续进攻，第17分钟绿地申花快攻到前场，路易斯斜传右路，曹S定虽然没有第一时间拿到皮球，但他返身重新拿球后传中，徐亮禁区外围射门被宋振瑜扑住
17'申花后场放倒了吕建军，亚泰获得前场左侧定位球                   17'今天比赛步调不错的绿地申花继续进攻，第17分钟绿地申花快攻到前场，路易斯斜传右路，曹S定虽然没有第一时间拿到皮球，但他返身重新拿球后传中，徐亮禁区外围射门被宋振瑜扑住
18'皮球开到了前点，第一点被曹秉钧顶出                   17'今天比赛步调不错的绿地申花继续进攻，第17分钟绿地申花快攻到前场，路易斯斜传右路，曹S定虽然没有第一时间拿到皮球，但他返身重新拿球后传中，徐亮禁区外围射门被宋振瑜扑住
18'同桌的你555 :琪琪姐--怎么了吗                   17'今天比赛步调不错的绿地申花继续进攻，第17分钟绿地申花快攻到前场，路易斯斜传右路，曹S定虽然没有第一时间拿到皮球，但他返身重新拿球后传中，徐亮禁区外围射门被宋振瑜扑住
18'[qiangda]上海申花目前排名第几？                   17'今天比赛步调不错的绿地申花继续进攻，第17分钟绿地申花快攻到前场，路易斯斜传右路，曹S定虽然没有第一时间拿到皮球，但他返身重新拿球后传中，徐亮禁区外围射门被宋振瑜扑住
19'亚泰获得右侧角球，皮球开到前点，艾尼尼奥跃起顶到第一点，皮球高出了横梁出了底线                   17'今天比赛步调不错的绿地申花继续进攻，第17分钟绿地申花快攻到前场，路易斯斜传右路，曹S定虽然没有第一时间拿到皮球，但他返身重新拿球后传中，徐亮禁区外围射门被宋振瑜扑住
