40'进球啦！！！多特蒙德球员罗伊斯右脚射门,球从中路飞进球门,球进了! 多特蒙德 1-0 弗赖堡.                   40'多特蒙德第40分钟取得领先
41'彼得森为弗赖堡在对方半场,赢得一个任意球.                   40'多特蒙德第40分钟取得领先
41'多特蒙德球员托普拉克拼抢犯规,对手获得控球权.                   40'多特蒙德第40分钟取得领先
42'弗赖堡球员Jérôme Gondorf大禁区外右脚射门,命中门柱横梁.                   40'多特蒙德第40分钟取得领先
42'弗赖堡球员海因茨大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了左球门.                   40'多特蒙德第40分钟取得领先
48'射门!!!多特蒙德球员罗伊斯大禁区右侧右脚射门,被对方守门员横身扑出.                   47'弗赖堡2分钟后几乎扳平，贡多夫左侧距门28米处主罚任意球越过人墙击中横梁
49'弗赖堡球员Janik Haberer一脚直塞球给弗朗茨,但是边裁举旗显示后者已经越位.                   47'弗赖堡2分钟后几乎扳平，贡多夫左侧距门28米处主罚任意球越过人墙击中横梁
50'Jérôme Gondorf为弗赖堡赢得一个任意球.                   47'弗赖堡2分钟后几乎扳平，贡多夫左侧距门28米处主罚任意球越过人墙击中横梁
50'多特蒙德球员罗伊斯拼抢犯规,对手获得控球权.                   47'弗赖堡2分钟后几乎扳平，贡多夫左侧距门28米处主罚任意球越过人墙击中横梁
79'多特蒙德球员皮什切克大禁区右侧右脚射门,命中门柱横梁.                   79'多特第79分钟几乎扩大比分，桑乔禁区右侧突破被对方破坏，但皮什切克在门前11米处截球大力斜射击中远端横梁下沿弹回
81'多特蒙德换人,菲利普换下罗伊斯                   79'多特第79分钟几乎扩大比分，桑乔禁区右侧突破被对方破坏，但皮什切克在门前11米处截球大力斜射击中远端横梁下沿弹回
82'阿什拉夫-哈基米将球处理出底线,弗赖堡获得角球.                   79'多特第79分钟几乎扩大比分，桑乔禁区右侧突破被对方破坏，但皮什切克在门前11米处截球大力斜射击中远端横梁下沿弹回
82'桑乔将球处理出底线,弗赖堡获得角球.                   79'多特第79分钟几乎扩大比分，桑乔禁区右侧突破被对方破坏，但皮什切克在门前11米处截球大力斜射击中远端横梁下沿弹回
