1'上半场比赛开始~                   1'第1分钟国米攻势占优
1'主场作战的国米开球~                   1'第1分钟国米攻势占优
2'这是两队第284次交锋~                   1'第1分钟国米攻势占优
2'梅德尔长传想找伊卡尔迪~                   1'第1分钟国米攻势占优
2'直接传给了洛佩斯                   1'第1分钟国米攻势占优
3'国米在前场抢断~                   1'第1分钟国米攻势占优
3'阿巴特放倒了帕拉西奥                   1'第1分钟国米攻势占优
3'国米的边路定位球                   1'第1分钟国米攻势占优
3'埃尔纳内斯接球想要趟过梅克斯~                   1'第1分钟国米攻势占优
3'被梅克斯转身大脚破坏出边线                   1'第1分钟国米攻势占优
4'德莫亚右路传中~被对方后卫头球解围                   1'第1分钟国米攻势占优
4'球还在国米的控制之下                   1'第1分钟国米攻势占优
20'帕拉西奥前场逼抢犯规了                   20'第20分钟，苏索右路内切，禁区前沿左脚大力抽射被汉达诺维奇封出
21'梅内长传转移到右路                   20'第20分钟，苏索右路内切，禁区前沿左脚大力抽射被汉达诺维奇封出
21'苏索内切~~又是一脚打门！                   20'第20分钟，苏索右路内切，禁区前沿左脚大力抽射被汉达诺维奇封出
21'汉达诺维奇这次不敢怠慢，双拳将球击出                   20'第20分钟，苏索右路内切，禁区前沿左脚大力抽射被汉达诺维奇封出
23'整体来看比赛还是稍显沉闷了                   20'第20分钟，苏索右路内切，禁区前沿左脚大力抽射被汉达诺维奇封出
23'米兰扛住了对方的开场进攻之后逐渐开始进入状态                   20'第20分钟，苏索右路内切，禁区前沿左脚大力抽射被汉达诺维奇封出
45'阿巴特为米兰制造了一个角球                   45'第45分钟，波利与科瓦契奇争顶落地时摔伤左肩，到场边接受治疗
45'角球传前点，伊卡尔迪头球解围出去                   45'第45分钟，波利与科瓦契奇争顶落地时摔伤左肩，到场边接受治疗
45'场上有球员倒地受伤                   45'第45分钟，波利与科瓦契奇争顶落地时摔伤左肩，到场边接受治疗
45'波利在争抢高球的时候狠狠的摔到了地上                   45'第45分钟，波利与科瓦契奇争顶落地时摔伤左肩，到场边接受治疗
45'腰部可能受伤了                   45'第45分钟，波利与科瓦契奇争顶落地时摔伤左肩，到场边接受治疗
46'主裁判中断了比赛，队医进场                   45'第45分钟，波利与科瓦契奇争顶落地时摔伤左肩，到场边接受治疗
46'波利自己站了起来                   45'第45分钟，波利与科瓦契奇争顶落地时摔伤左肩，到场边接受治疗
46'上半场补时1分钟                   45'第45分钟，波利与科瓦契奇争顶落地时摔伤左肩，到场边接受治疗
46'比赛恢复进行                   45'第45分钟，波利与科瓦契奇争顶落地时摔伤左肩，到场边接受治疗
46'下半场开始~~~                   45'第45分钟，波利与科瓦契奇争顶落地时摔伤左肩，到场边接受治疗
47'两队看起来都没有换人                   45'第45分钟，波利与科瓦契奇争顶落地时摔伤左肩，到场边接受治疗
47'替补席上还是有不少人可以用的                   45'第45分钟，波利与科瓦契奇争顶落地时摔伤左肩，到场边接受治疗
46'抱歉刚才网络出了问题                   45'第45分钟，波利与科瓦契奇争顶落地时摔伤左肩，到场边接受治疗
63'两队再起争执                   63'第63分钟，帕拉西奥左路低传，埃尔纳内斯在门前9米处左脚推射，球打在安东内利抬起的右手上变线偏出，国米再次抗议
64'而刚刚埃尔纳内斯的射门是打在了安东内利的手臂上                   63'第63分钟，帕拉西奥左路低传，埃尔纳内斯在门前9米处左脚推射，球打在安东内利抬起的右手上变线偏出，国米再次抗议
64'但是裁判没有吹罚手球~只给了国米角球                   63'第63分钟，帕拉西奥左路低传，埃尔纳内斯在门前9米处左脚推射，球打在安东内利抬起的右手上变线偏出，国米再次抗议
64'这次角球没有形成什么威胁                   63'第63分钟，帕拉西奥左路低传，埃尔纳内斯在门前9米处左脚推射，球打在安东内利抬起的右手上变线偏出，国米再次抗议
64'德莫亚已经拼得抽筋了                   63'第63分钟，帕拉西奥左路低传，埃尔纳内斯在门前9米处左脚推射，球打在安东内利抬起的右手上变线偏出，国米再次抗议
65'国米这边准备让奥比登场                   63'第63分钟，帕拉西奥左路低传，埃尔纳内斯在门前9米处左脚推射，球打在安东内利抬起的右手上变线偏出，国米再次抗议
72'挡不住的韦婕 AC go gogoho---终于有其他球迷朋友睡醒了，呵呵~                   72'第72分钟，帕拉西奥中路反击分球，埃尔纳内斯禁区左侧传中，帕拉西奥将球漏过，梅克斯不慎碰进自家大门，但班蒂与助理裁判商议后，判帕拉西奥此前在禁区前沿拉到了阿莱士，进球无效
72'国米有反击的机会~                   72'第72分钟，帕拉西奥中路反击分球，埃尔纳内斯禁区左侧传中，帕拉西奥将球漏过，梅克斯不慎碰进自家大门，但班蒂与助理裁判商议后，判帕拉西奥此前在禁区前沿拉到了阿莱士，进球无效
72'帕拉西奥分边~                   72'第72分钟，帕拉西奥中路反击分球，埃尔纳内斯禁区左侧传中，帕拉西奥将球漏过，梅克斯不慎碰进自家大门，但班蒂与助理裁判商议后，判帕拉西奥此前在禁区前沿拉到了阿莱士，进球无效
72'乌龙球~~~                   72'第72分钟，帕拉西奥中路反击分球，埃尔纳内斯禁区左侧传中，帕拉西奥将球漏过，梅克斯不慎碰进自家大门，但班蒂与助理裁判商议后，判帕拉西奥此前在禁区前沿拉到了阿莱士，进球无效
72'梅克斯~~~                   72'第72分钟，帕拉西奥中路反击分球，埃尔纳内斯禁区左侧传中，帕拉西奥将球漏过，梅克斯不慎碰进自家大门，但班蒂与助理裁判商议后，判帕拉西奥此前在禁区前沿拉到了阿莱士，进球无效
72'Goooooooooooooooooooal~~~~~~~~~                   72'第72分钟，帕拉西奥中路反击分球，埃尔纳内斯禁区左侧传中，帕拉西奥将球漏过，梅克斯不慎碰进自家大门，但班蒂与助理裁判商议后，判帕拉西奥此前在禁区前沿拉到了阿莱士，进球无效
