9'国际米兰球员巴内加大禁区外左脚射门,被防守球员封堵.给他传球的是坎德雷瓦.                   9'国米第9分钟扩大比分
9'进球啦！！！国际米兰球员坎德雷瓦大禁区中央左脚射门,球从中路飞进球门,球进了! 国际米兰 2-0 佛罗伦萨.                   9'国米第9分钟扩大比分
11'佛罗伦萨球员冈萨洛一脚直塞球给卡利尼奇,但是边裁举旗显示后者已经越位.                   9'国米第9分钟扩大比分
12'射门!!!佛罗伦萨球员博尔加-巴雷罗小禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是贝尔纳代斯基.                   9'国米第9分钟扩大比分
12'汉达诺维奇将球处理出底线,佛罗伦萨获得角球.                   9'国米第9分钟扩大比分
19'进球啦！！！国际米兰球员伊卡尔迪大禁区中央右脚射门,球从中路飞进球门,球进了!助攻的是坎德雷瓦. 国际米兰 3-0 佛罗伦萨.                   19'国米第19分钟再添一分，坎德雷瓦后场右路过掉米利奇后带球突进捅传，伊卡尔迪突入禁区右侧扣球骗倒冈萨洛-罗德里格斯，再变线摆脱阿斯托里，在门前7米处推射入网，3比0
20'国际米兰球员佩里西奇大禁区中央尝试左脚射门,可惜皮球偏出球门.                   19'国米第19分钟再添一分，坎德雷瓦后场右路过掉米利奇后带球突进捅传，伊卡尔迪突入禁区右侧扣球骗倒冈萨洛-罗德里格斯，再变线摆脱阿斯托里，在门前7米处推射入网，3比0
37'进球啦！！！佛罗伦萨球员卡利尼奇大禁区中央左脚射门,球从中路飞进球门,球进了!助攻的是巴德尔吉. 国际米兰 3-1 佛罗伦萨.                   37'紫百合第37分钟追回一分，巴代利后场45米长传，卡利尼奇甩开坎德雷瓦盯防，在门前8米处左脚半凌空抽射入网，1比3
37'巴内加为国际米兰赢得一个任意球.                   37'紫百合第37分钟追回一分，巴代利后场45米长传，卡利尼奇甩开坎德雷瓦盯防，在门前8米处左脚半凌空抽射入网，1比3
37'佛罗伦萨球员特略拼抢犯规,对手获得控球权.                   37'紫百合第37分钟追回一分，巴代利后场45米长传，卡利尼奇甩开坎德雷瓦盯防，在门前8米处左脚半凌空抽射入网，1比3
38'国际米兰球员布罗佐维奇拼抢犯规,对手获得控球权.                   37'紫百合第37分钟追回一分，巴代利后场45米长传，卡利尼奇甩开坎德雷瓦盯防，在门前8米处左脚半凌空抽射入网，1比3
38'博尔加-巴雷罗为佛罗伦萨赢得一个任意球.                   37'紫百合第37分钟追回一分，巴代利后场45米长传，卡利尼奇甩开坎德雷瓦盯防，在门前8米处左脚半凌空抽射入网，1比3
39'国际米兰球员孔多比亚拼抢犯规,对手获得控球权.                   37'紫百合第37分钟追回一分，巴代利后场45米长传，卡利尼奇甩开坎德雷瓦盯防，在门前8米处左脚半凌空抽射入网，1比3
39'贝尔纳代斯基为佛罗伦萨在对方半场,赢得一个任意球.                   37'紫百合第37分钟追回一分，巴代利后场45米长传，卡利尼奇甩开坎德雷瓦盯防，在门前8米处左脚半凌空抽射入网，1比3
39'黄牌！国际米兰球员孔多比亚因为恶意犯规,被主裁判出示黄牌.                   37'紫百合第37分钟追回一分，巴代利后场45米长传，卡利尼奇甩开坎德雷瓦盯防，在门前8米处左脚半凌空抽射入网，1比3
40'佛罗伦萨球员伊利西奇大禁区外左脚射门,被防守球员封堵.                   37'紫百合第37分钟追回一分，巴代利后场45米长传，卡利尼奇甩开坎德雷瓦盯防，在门前8米处左脚半凌空抽射入网，1比3
40'佛罗伦萨球员伊利西奇大禁区外尝试右脚射门,可惜皮球高出球门.                   37'紫百合第37分钟追回一分，巴代利后场45米长传，卡利尼奇甩开坎德雷瓦盯防，在门前8米处左脚半凌空抽射入网，1比3
58'国际米兰球员佩里西奇大禁区左侧左脚射门,命中门柱左侧立柱.给他传球的是巴内加.                   58'国米第58分钟错过进球，巴内加与若昂-马里奥踢墙配合，禁区前沿分球，佩里希奇左侧距门9米处左脚抽射击中近门柱外侧弹出
58'国际米兰球员米兰达拼抢犯规,对手获得控球权.                   58'国米第58分钟错过进球，巴内加与若昂-马里奥踢墙配合，禁区前沿分球，佩里希奇左侧距门9米处左脚抽射击中近门柱外侧弹出
58'伊利西奇为佛罗伦萨在右路,赢得一个任意球.                   58'国米第58分钟错过进球，巴内加与若昂-马里奥踢墙配合，禁区前沿分球，佩里希奇左侧距门9米处左脚抽射击中近门柱外侧弹出
58'黄牌！国际米兰球员米兰达因为恶意犯规,被主裁判出示黄牌.                   58'国米第58分钟错过进球，巴内加与若昂-马里奥踢墙配合，禁区前沿分球，佩里希奇左侧距门9米处左脚抽射击中近门柱外侧弹出
60'安萨尔迪为国际米兰赢得一个任意球.                   58'国米第58分钟错过进球，巴内加与若昂-马里奥踢墙配合，禁区前沿分球，佩里希奇左侧距门9米处左脚抽射击中近门柱外侧弹出
