2'拉卡泽特分弧顶姆希塔良！                   2'开场仅2分钟，拉卡泽特回敲，姆希塔良禁区弧内劲射打中左侧立柱弹回
2'一脚远射！                   2'开场仅2分钟，拉卡泽特回敲，姆希塔良禁区弧内劲射打中左侧立柱弹回
2'碰！！打中左侧立柱弹出啊！                   2'开场仅2分钟，拉卡泽特回敲，姆希塔良禁区弧内劲射打中左侧立柱弹回
2'拉卡泽特跟进想补！越位了！                   2'开场仅2分钟，拉卡泽特回敲，姆希塔良禁区弧内劲射打中左侧立柱弹回
61'扎卡吃到黄牌！                   61'布莱顿第61分钟扳平，马奇突入禁区左侧被扎卡绊倒，穆雷主罚点球命中，1-1
61'穆雷来主罚点球！                   61'布莱顿第61分钟扳平，马奇突入禁区左侧被扎卡绊倒，穆雷主罚点球命中，1-1
61'穆雷助跑！骗过莱诺！                   61'布莱顿第61分钟扳平，马奇突入禁区左侧被扎卡绊倒，穆雷主罚点球命中，1-1
61'推射右下角！                   61'布莱顿第61分钟扳平，马奇突入禁区左侧被扎卡绊倒，穆雷主罚点球命中，1-1
61'球进了！！                   61'布莱顿第61分钟扳平，马奇突入禁区左侧被扎卡绊倒，穆雷主罚点球命中，1-1
61'布莱顿扳平了比分！                   61'布莱顿第61分钟扳平，马奇突入禁区左侧被扎卡绊倒，穆雷主罚点球命中，1-1
64'照目前比分的话切尔西71分排名第三！热刺70分第四！阿森纳67分第五！阿森纳要进前四很困难了！                   61'布莱顿第61分钟扳平，马奇突入禁区左侧被扎卡绊倒，穆雷主罚点球命中，1-1
74'球被解围到阿森纳后场！                   74'阿森纳第74分钟再次错过机会，姆希塔良禁区左侧传中偏转，无人防守的奥巴梅杨小禁区前二踢脚射门偏出左侧立柱
74'厄齐尔直塞禁区左侧姆希塔良！                   74'阿森纳第74分钟再次错过机会，姆希塔良禁区左侧传中偏转，无人防守的奥巴梅杨小禁区前二踢脚射门偏出左侧立柱
74'挑传禁区中路！                   74'阿森纳第74分钟再次错过机会，姆希塔良禁区左侧传中偏转，无人防守的奥巴梅杨小禁区前二踢脚射门偏出左侧立柱
