9'佩斯卡拉球员科西克犯规,致使对方获得点球.                   9'第9分钟，诺切里诺禁区左侧被乔西奇绊倒，点球
9'点球,诺切里诺在禁区内被侵犯,AC米兰获得点球.                   9'第9分钟，诺切里诺禁区左侧被乔西奇绊倒，点球
9'进球啦！！！AC米兰球员巴洛特利右脚射门,球从右下角飞进球门,球进了! 佩斯卡拉 0-1 AC米兰.                   9'第9分钟，诺切里诺禁区左侧被乔西奇绊倒，点球
10'康斯坦特将球处理出底线,佩斯卡拉获得角球.                   9'第9分钟，诺切里诺禁区左侧被乔西奇绊倒，点球
11'佩斯卡拉球员里佐拼抢犯规,对手获得控球权.                   9'第9分钟，诺切里诺禁区左侧被乔西奇绊倒，点球
11'罗比尼奥为AC米兰赢得一个任意球.                   9'第9分钟，诺切里诺禁区左侧被乔西奇绊倒，点球
11'黄牌！佩斯卡拉球员里佐因为恶意犯规,被主裁判出示黄牌.                   9'第9分钟，诺切里诺禁区左侧被乔西奇绊倒，点球
12'佩斯卡拉球员斯弗齐尼拼抢犯规,对手获得控球权.                   9'第9分钟，诺切里诺禁区左侧被乔西奇绊倒，点球
12'阿巴特为AC米兰在右路,赢得一个任意球.                   9'第9分钟，诺切里诺禁区左侧被乔西奇绊倒，点球
18'佩斯卡拉球员卡希奥尼拼抢犯规,对手获得控球权.                   17'第17分钟，尼昂反越位单刀突入禁区左侧，外脚背凌空吊射踢空错过机会
18'康斯坦特为AC米兰赢得一个任意球.                   17'第17分钟，尼昂反越位单刀突入禁区左侧，外脚背凌空吊射踢空错过机会
33'进球啦！！！AC米兰球员蒙塔里大禁区中央左脚射门,球从中路偏上飞进球门,球进了!助攻的是罗比尼奥. 佩斯卡拉 0-2 AC米兰.                   33'AC米兰第33分钟扩大优势，罗比尼奥右侧开出任意球，蒙塔里后点距门9米处左脚凌空打出弹地球，蹭斯库利身体击中横梁下沿弹进，2比0，这是蒙塔里本赛季意甲首球（点击观看视频）
34'佩斯卡拉球员佩林一脚直塞球给斯库利,但是边裁举旗显示后者已经越位.                   33'AC米兰第33分钟扩大优势，罗比尼奥右侧开出任意球，蒙塔里后点距门9米处左脚凌空打出弹地球，蹭斯库利身体击中横梁下沿弹进，2比0，这是蒙塔里本赛季意甲首球（点击观看视频）
35'佩斯卡拉球员扎乌里拼抢犯规,对手获得控球权.                   33'AC米兰第33分钟扩大优势，罗比尼奥右侧开出任意球，蒙塔里后点距门9米处左脚凌空打出弹地球，蹭斯库利身体击中横梁下沿弹进，2比0，这是蒙塔里本赛季意甲首球（点击观看视频）
35'罗比尼奥为AC米兰在左路,赢得一个任意球.                   33'AC米兰第33分钟扩大优势，罗比尼奥右侧开出任意球，蒙塔里后点距门9米处左脚凌空打出弹地球，蹭斯库利身体击中横梁下沿弹进，2比0，这是蒙塔里本赛季意甲首球（点击观看视频）
51'进球啦！！！AC米兰球员弗拉米尼球门线跟前右脚射门,球从中路飞进球门,球进了!助攻的是罗比尼奥. 佩斯卡拉 0-3 AC米兰.                   50'下半时开始5分钟，巴洛特利挑传，扎乌里回传门将却没有踢正部位，罗比尼奥断球左路切入禁区传中，弗拉米尼在门前5米处半凌空推射入网，3比0，他个人近5场意甲有4场取得进球
52'佩斯卡拉球员弗兰塞斯克拼抢犯规,对手获得控球权.                   50'下半时开始5分钟，巴洛特利挑传，扎乌里回传门将却没有踢正部位，罗比尼奥断球左路切入禁区传中，弗拉米尼在门前5米处半凌空推射入网，3比0，他个人近5场意甲有4场取得进球
52'诺切里诺为AC米兰赢得一个任意球.                   50'下半时开始5分钟，巴洛特利挑传，扎乌里回传门将却没有踢正部位，罗比尼奥断球左路切入禁区传中，弗拉米尼在门前5米处半凌空推射入网，3比0，他个人近5场意甲有4场取得进球
53'阿巴特将球处理出底线,佩斯卡拉获得角球.                   50'下半时开始5分钟，巴洛特利挑传，扎乌里回传门将却没有踢正部位，罗比尼奥断球左路切入禁区传中，弗拉米尼在门前5米处半凌空推射入网，3比0，他个人近5场意甲有4场取得进球
53'AC米兰球员尼昂大禁区右侧左脚射门,被防守球员封堵.给他传球的是诺切里诺.                   50'下半时开始5分钟，巴洛特利挑传，扎乌里回传门将却没有踢正部位，罗比尼奥断球左路切入禁区传中，弗拉米尼在门前5米处半凌空推射入网，3比0，他个人近5场意甲有4场取得进球
