5'维罗纳球员托尼大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是Artur Ionita.                   5'开场5分钟，约尼塔右路传中，托尼在门前13米处头球偏出
8'AC米兰球员波利大禁区中央右脚射门,被防守球员封堵.给他传球的是托雷斯.                   5'开场5分钟，约尼塔右路传中，托尼在门前13米处头球偏出
8'射门!!!AC米兰球员沙拉维大禁区中央右脚射门,被对方守门员横身扑出.                   5'开场5分钟，约尼塔右路传中，托尼在门前13米处头球偏出
8'AC米兰球员拉米拼抢犯规,对手获得控球权.                   5'开场5分钟，约尼塔右路传中，托尼在门前13米处头球偏出
8'托尼为维罗纳赢得一个任意球.                   5'开场5分钟，约尼塔右路传中，托尼在门前13米处头球偏出
13'AC米兰球员托雷斯大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是波利.                   13'第13分钟，托雷斯接到波利传球，在门前11米处停球转身低射偏出右门柱，维罗纳投诉托雷斯推人
14'AC米兰球员埃辛拼抢犯规,对手获得控球权.                   13'第13分钟，托雷斯接到波利传球，在门前11米处停球转身低射偏出右门柱，维罗纳投诉托雷斯推人
14'Juanito Gómez为维罗纳在对方半场,赢得一个任意球.                   13'第13分钟，托雷斯接到波利传球，在门前11米处停球转身低射偏出右门柱，维罗纳投诉托雷斯推人
15'维罗纳球员马科斯大禁区外尝试右脚射门,可惜皮球高出球门.                   13'第13分钟，托雷斯接到波利传球，在门前11米处停球转身低射偏出右门柱，维罗纳投诉托雷斯推人
21'维罗纳球员Rafael Marques自摆乌龙,维罗纳 0-1 AC米兰                   21'AC米兰第21分钟取得领先
22'维罗纳球员塔赫特西迪斯一脚直塞球给托尼,但是边裁举旗显示后者已经越位.                   21'AC米兰第21分钟取得领先
24'维罗纳球员托尼拼抢犯规,对手获得控球权.                   21'AC米兰第21分钟取得领先
24'埃辛为AC米兰赢得一个任意球.                   21'AC米兰第21分钟取得领先
24'阿格斯蒂尼将球处理出底线,AC米兰获得角球.                   21'AC米兰第21分钟取得领先
25'Juanito Gómez为维罗纳赢得一个任意球.                   25'第25分钟，哈尔弗雷特松中路晃开阿莱士，在门前16米处左脚推射滑出右门柱
25'AC米兰球员德希利奥拼抢犯规,对手获得控球权.                   25'第25分钟，哈尔弗雷特松中路晃开阿莱士，在门前16米处左脚推射滑出右门柱
25'维罗纳球员霍尔弗雷德森大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是拉斐尔.                   25'第25分钟，哈尔弗雷特松中路晃开阿莱士，在门前16米处左脚推射滑出右门柱
26'维罗纳球员扬科维奇拼抢犯规,对手获得控球权.                   25'第25分钟，哈尔弗雷特松中路晃开阿莱士，在门前16米处左脚推射滑出右门柱
26'阿巴特为AC米兰赢得一个任意球.                   25'第25分钟，哈尔弗雷特松中路晃开阿莱士，在门前16米处左脚推射滑出右门柱
27'进球啦！！！AC米兰球员本田圭佑大禁区中央左脚射门,球从左下角飞进球门,球进了!助攻的是沙拉维. 维罗纳 0-2 AC米兰.                   25'第25分钟，哈尔弗雷特松中路晃开阿莱士，在门前16米处左脚推射滑出右门柱
28'射门!!!维罗纳球员托尼大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是Artur Ionita.                   25'第25分钟，哈尔弗雷特松中路晃开阿莱士，在门前16米处左脚推射滑出右门柱
28'阿比亚蒂将球处理出底线,维罗纳获得角球.                   25'第25分钟，哈尔弗雷特松中路晃开阿莱士，在门前16米处左脚推射滑出右门柱
47'Juanito Gómez为维罗纳在对方半场,赢得一个任意球.                   46'1分钟后，托尼几乎打进世界波，约尼塔右路传中，托尼后点距门11米处背身凌空勾射被阿比亚蒂托出底线，维罗纳开出角球，AC米兰得球反击，沙拉维右肋疾进，阿戈斯蒂尼背后下铲，但主裁判瓦莱里只亮出黄牌
47'AC米兰球员沙拉维拼抢犯规,对手获得控球权.                   46'1分钟后，托尼几乎打进世界波，约尼塔右路传中，托尼后点距门11米处背身凌空勾射被阿比亚蒂托出底线，维罗纳开出角球，AC米兰得球反击，沙拉维右肋疾进，阿戈斯蒂尼背后下铲，但主裁判瓦莱里只亮出黄牌
