33'皇家社会球员格里斯曼被主裁判出示了一张黄牌.                   33'第33分钟，鲁文-帕尔多右路任意球传中，安索特吉10码处头球破门
33'进球啦！！！皇家社会球员安索特吉大禁区中央头球,球从右下角飞进球门,球进了!助攻的是鲁本-帕尔多. 皇家社会 1-0 奥萨苏纳.                   33'第33分钟，鲁文-帕尔多右路任意球传中，安索特吉10码处头球破门
35'德拉斯奎瓦斯为奥萨苏纳在对方半场,赢得一个任意球.                   33'第33分钟，鲁文-帕尔多右路任意球传中，安索特吉10码处头球破门
35'皇家社会球员祖鲁图萨拼抢犯规,对手获得控球权.                   33'第33分钟，鲁文-帕尔多右路任意球传中，安索特吉10码处头球破门
56'射门!!!皇家社会球员鲁本-帕尔多大禁区外右脚射门,被对方守门员横身扑出.                   56'第56分钟，奥萨苏纳门将安德列斯扑救角球脱手，格里兹曼远点近距离头球顶入空门，这是他本赛季第7粒联赛入球
56'安德雷斯将球处理出底线,皇家社会获得角球.                   56'第56分钟，奥萨苏纳门将安德列斯扑救角球脱手，格里兹曼远点近距离头球顶入空门，这是他本赛季第7粒联赛入球
56'进球啦！！！皇家社会球员格里斯曼小禁区右侧头球,球从中路飞进球门,球进了! 皇家社会 3-0 奥萨苏纳.                   56'第56分钟，奥萨苏纳门将安德列斯扑救角球脱手，格里兹曼远点近距离头球顶入空门，这是他本赛季第7粒联赛入球
58'皇家社会球员卡斯特罗球门右侧小角度尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是贝拉.                   56'第56分钟，奥萨苏纳门将安德列斯扑救角球脱手，格里兹曼远点近距离头球顶入空门，这是他本赛季第7粒联赛入球
88'进球啦！！！皇家社会球员塞费罗维奇大禁区中央左脚射门,球从右下角飞进球门,球进了!助攻的是乔-安赫尔. 皇家社会 5-0 奥萨苏纳.                   88'第88分钟，何塞-安赫尔禁区左侧传中，无人防守的塞费洛维奇小禁区边缘推射破门
90'+3'皇家社会球员埃卢斯顿多大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是卡斯特罗.                   88'第88分钟，何塞-安赫尔禁区左侧传中，无人防守的塞费洛维奇小禁区边缘推射破门
90'+3'皇家社会球员卡斯特罗一脚直塞球给阿吉雷谢,但是边裁举旗显示后者已经越位.                   88'第88分钟，何塞-安赫尔禁区左侧传中，无人防守的塞费洛维奇小禁区边缘推射破门
90'+3'下半场结束,皇家社会 5-0 奥萨苏纳                   88'第88分钟，何塞-安赫尔禁区左侧传中，无人防守的塞费洛维奇小禁区边缘推射破门
