20'广州富力球员张远拼抢犯规,对手获得控球权.                   19'第19分钟罗斯伊顿对裁判张远进攻犯规不满，言语不敬结果吃到黄牌
20'乔尼为上海申鑫赢得一个任意球.                   19'第19分钟罗斯伊顿对裁判张远进攻犯规不满，言语不敬结果吃到黄牌
21'广州富力球员罗斯伊顿被主裁判出示了一张黄牌.                   19'第19分钟罗斯伊顿对裁判张远进攻犯规不满，言语不敬结果吃到黄牌
21'罗斯伊顿为广州富力赢得一个任意球.                   19'第19分钟罗斯伊顿对裁判张远进攻犯规不满，言语不敬结果吃到黄牌
21'上海申鑫球员王佳玉拼抢犯规,对手获得控球权.                   19'第19分钟罗斯伊顿对裁判张远进攻犯规不满，言语不敬结果吃到黄牌
21'广州富力球员罗斯伊顿被主裁判出示了一张黄牌.                   21'第21分钟杨家威左路带球中直塞，雅伊尔顿反越位成功，但他的左脚传中却一脚踢空
21'罗斯伊顿为广州富力赢得一个任意球.                   21'第21分钟杨家威左路带球中直塞，雅伊尔顿反越位成功，但他的左脚传中却一脚踢空
21'上海申鑫球员王佳玉拼抢犯规,对手获得控球权.                   21'第21分钟杨家威左路带球中直塞，雅伊尔顿反越位成功，但他的左脚传中却一脚踢空
23'广州富力球员程月磊拼抢犯规,对手获得控球权.                   21'第21分钟杨家威左路带球中直塞，雅伊尔顿反越位成功，但他的左脚传中却一脚踢空
23'雅伊尔顿为上海申鑫在对方半场,赢得一个任意球.                   21'第21分钟杨家威左路带球中直塞，雅伊尔顿反越位成功，但他的左脚传中却一脚踢空
23'裁判将广州富力的程月磊直接红牌罚下.                   21'第21分钟杨家威左路带球中直塞，雅伊尔顿反越位成功，但他的左脚传中却一脚踢空
31'张远为广州富力赢得一个任意球.                   30'第30分钟于涛从侧铲球踢倒张远吃到黄牌
31'上海申鑫球员于涛拼抢犯规,对手获得控球权.                   30'第30分钟于涛从侧铲球踢倒张远吃到黄牌
31'黄牌！上海申鑫球员于涛因为恶意犯规,被主裁判出示黄牌.                   30'第30分钟于涛从侧铲球踢倒张远吃到黄牌
32'广州富力球员李岩拼抢犯规,对手获得控球权.                   30'第30分钟于涛从侧铲球踢倒张远吃到黄牌
32'杨家威为上海申鑫赢得一个任意球.                   30'第30分钟于涛从侧铲球踢倒张远吃到黄牌
44'广州富力球员雅库布拼抢犯规,对手获得控球权.                   43'第43分钟雅库布背后脚踩雅伊尔顿吃到黄牌
44'雅伊尔顿为上海申鑫在对方半场,赢得一个任意球.                   43'第43分钟雅库布背后脚踩雅伊尔顿吃到黄牌
44'黄牌！广州富力球员雅库布因为恶意犯规,被主裁判出示黄牌.                   43'第43分钟雅库布背后脚踩雅伊尔顿吃到黄牌
45'+2'上半场结束,上海申鑫 1-0 广州富力,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟雅库布背后脚踩雅伊尔顿吃到黄牌
56'射门!!!广州富力球员雅库布大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是李文博.                   55'第55分钟雅库布左路带球突破入禁区，避开张永海防守后起脚射门，被刘殿座快速倒地扑住来球
57'射门!!!广州富力球员张远大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是唐淼.                   55'第55分钟雅库布左路带球突破入禁区，避开张永海防守后起脚射门，被刘殿座快速倒地扑住来球
62'广州富力球员雅库布大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是唐淼.                   62'第62分钟张远带球中禁区外远射高出，接着张远就被卢琳换下
63'广州富力球员张远大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是雅库布.                   62'第62分钟张远带球中禁区外远射高出，接着张远就被卢琳换下
64'广州富力换人,卢琳换下张远                   62'第62分钟张远带球中禁区外远射高出，接着张远就被卢琳换下
66'上海申鑫换人,朱家伟换下王佳玉                   66'此后申鑫攻势再起，第66分钟申鑫反击到前场，姜至鹏左路下底传中，但此球起得过高，身材不够高大的安东尼奥跃起没碰到球
